phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	35	2	0	-1	5	0	0.093304015962746192	0.65466427803039551	0.65466427803039551	0	2.6488609054064574	-2	2	-0.37752076674126228	0.19732886552810669	0.19732886552810669	243431	1.9218174372885939e-06	0.46782994057659966
0	2	34	9	2	0	21	0.093304015962746192	0.10541994277750623	0.65466427803039551	0.56136026206764933	-0.34911326708805029	2.376341572431905	-2	2	0.14691207322134844	0.36672806739807129	0.36672806739807129	133140	3.5138195927339617e-06	0.46782994057659966
0	3	33	44	9	-1	83	0.10541994277750623	0.14817022510409478	0.65466427803039551	0.54924433525288929	-0.27084529549887426	2.6135630516585198	-2	2	-0.27898875599669093	0.25951683521270752	0.25951683521270752	48221	9.7017884443831452e-06	0.46782994057659966
0	4	32	93	44	0	257	0.14817022510409478	0.15352527761662682	0.65466427803039551	0.50649405292630068	-0.23651280283497855	2.30017014916106	-2	2	0.10282404669986772	0.40122628211975098	0.40122628211975098	28975	1.6145985869770479e-05	0.46782994057659966
0	5	31	282	93	0	663	0.15352527761662682	0.16188996859074542	0.65466427803039551	0.50113900041376869	0.27636607534527019	2.1391383902871919	-1	2	-0.12919504254615638	0.43303549289703369	0.43303549289703369	17595	2.6588800260107967e-05	0.46782994057659966
0	6	30	686	282	0	1625	0.16188996859074542	0.16302094236016318	0.65466427803039551	0.49277430943965012	-0.10294919996001269	2.1489224287986182	-2	2	0.0479073597912828	0.4513486921787262	0.4513486921787262	11305	4.1382568825882323e-05	0.46782994057659966
0	7	29	1574	686	0	3579	0.16302094236016318	0.17038302248781648	0.65466427803039551	0.49164333567023233	0.26057138330571383	2.129371940254551	-1	2	-0.12237006526655199	0.43897682428359985	0.43897682428359985	6477	7.2229418029427157e-05	0.46782994057659966
0	8	28	3850	1574	-1	7085	0.17038302248781648	0.23506495340708103	0.65466427803039551	0.484281255542579	-0.27220400359575936	1.9914389812987037	-2	1	-0.36546236326538778	0.28366145491600037	0.28366145491600037	2343	0.0001996713361402474	0.46782994057659966
0	9	27	10411	3850	0	13445	0.23506495340708103	0.23519859023409448	0.65466427803039551	0.41959932462331445	-0.033264580893016975	1.863959056927603	-1	1	0.01784619719482872	0.58504253625869751	0.58504253625869751	1639	0.00028543620535485034	0.46782994057659966
0	10	26	19539	10411	-1	23017	0.23519859023409448	0.23533746828106131	0.65466427803039551	0.41946568779630106	-0.96771930314909616	1.774084583120493	-2	0	-0.018195692109631182	0.59800064563751221	0.59800064563751221	1173	0.00039883200390161948	0.46782994057659966
0	11	25	31563	19539	1	35155	0.23533746828106131	0.23934613364809265	0.65466427803039551	0.41932680974933423	0.83754839056447605	1.6615003279583285	0	2	0.097774045964316131	0.57347351312637329	0.57347351312637329	834	0.00056094717095515542	0.46782994057659966
0	12	24	48143	31563	-1	57147	0.23934613364809265	0.24611379008606152	0.65466427803039551	0.41531814438230286	-1.2326612794950462	1.8226169836732933	-3	0	0.12765231619105288	0.48180276155471802	0.48180276155471802	512	0.0009137303526886712	0.46782994057659966
0	13	23	94650	48143	0	82885	0.24611379008606152	0.25799533761725457	0.65466427803039551	0.40855048794433402	0.28626470639974011	1.6786268637620505	-1	1	-0.17053504419569376	0.52501964569091797	0.52501964569091797	328	0.0014263107944408526	0.46782994057659966
0	14	22	143815	94650	0	102835	0.25799533761725457	0.26051264514683203	0.65466427803039551	0.39666894041314094	-0.11680282465146065	1.4662205634631356	-1	1	0.079662519788686187	0.62221020460128784	0.62221020460128784	245	0.0019095099615371413	0.46782994057659966
0	15	21	226105	143815	0	118413	0.26051264514683203	0.27247543642942296	0.65466427803039551	0.39415163288356347	-0.24747838934153932	1.4205374352113587	-1	1	0.17421461990877948	0.57611125707626343	0.57611125707626343	173	0.0027042193096913276	0.46782994057659966
0	16	20	294055	226105	1	129465	0.27247543642942296	0.28353642501055298	0.65466427803039551	0.38218884160097255	0.75877877735850074	1.4179389875276889	0	2	0.17012101702774343	0.57939976453781128	0.57939976453781128	116	0.0040330167291086176	0.46782994057659966
0	17	19	447622	294055	-1	119581	0.28353642501055298	0.30450747022367053	0.65466427803039551	0.37112785301984252	-0.68822932312323648	1.3115564941450937	-1	0	-0.23771044424585289	0.63970035314559937	0.63970035314559937	81	0.0057756782787234525	0.46782994057659966
0	18	18	542526	447622	1	96561	0.30450747022367053	0.306842822014325	0.65466427803039551	0.35015680780672498	0.90038813829680708	1.2197369739313462	0	2	0.081666673907681051	0.68350732326507568	0.68350732326507568	68	0.0068798520673029363	0.46782994057659966
0	19	17	713710	542526	0	75926	0.306842822014325	0.30685932666239041	0.65466427803039551	0.34782145601607051	-0.0085939486234519052	1.2475782746915651	-1	1	0.0068885045514090566	0.71014463901519775	0.71014463901519775	51	0.009173136089737249	0.46782994057659966
0	20	16	881051	713710	1	51201	0.30685932666239041	0.30691944088387968	0.65466427803039551	0.3478049513680051	0.98563292117796664	1.0928177516510311	0	2	0.013146820501705436	0.7521933913230896	0.7521933913230896	42	0.011138808108966659	0.46782994057659966
