phase	depth	coefficient	nodes
0	0	-1	1
0	1	35	7
0	2	34	35
0	3	33	149
0	4	32	473
0	5	31	1745
0	6	30	5695
0	7	29	15247
0	8	28	40217
0	9	27	96621
0	10	26	218175
0	11	25	421337
0	12	24	748975
0	13	23	1045711
0	14	22	1174284
0	15	21	1133477
0	16	20	1001575
0	17	19	826424
0	18	18	639643
0	19	17	484879
0	20	16	373467
0	21	15	270134
0	22	14	189734
0	23	13	128651
0	24	12	82352
0	25	11	46349
0	26	10	26830
0	27	9	13967
0	28	8	7207
0	29	7	3667
0	30	6	1659
0	31	5	753
0	32	4	333
0	33	3	150
0	34	2	45
0	35	1	27
0	36	0	5
1	0	-1	1
1	1	35	7
1	2	34	29
1	3	33	135
1	4	32	547
1	5	31	1813
1	6	30	5679
1	7	29	15851
1	8	28	39021
1	9	27	85579
1	10	26	178377
1	11	25	309845
1	12	24	529314
1	13	23	731862
1	14	22	810064
1	15	21	835226
1	16	20	764308
1	17	19	672745
1	18	18	603248
1	19	17	532858
1	20	16	435131
1	21	15	348721
1	22	14	263008
1	23	13	180978
1	24	12	114379
1	25	11	72772
1	26	10	41407
1	27	9	22808
1	28	8	12498
1	29	7	6028
1	30	6	2872
1	31	5	1250
1	32	4	540
1	33	3	208
1	34	2	99
1	35	1	39
1	36	0	10
2	0	-1	1
2	1	35	5
2	2	34	21
2	3	33	85
2	4	32	329
2	5	31	983
2	6	30	2597
2	7	29	5703
2	8	28	11389
2	9	27	21729
2	10	26	37415
2	11	25	58407
2	12	24	83777
2	13	23	113725
2	14	22	151433
2	15	21	170923
2	16	20	190517
2	17	19	204991
2	18	18	200917
2	19	17	181569
2	20	16	153555
2	21	15	116175
2	22	14	86125
2	23	13	63305
2	24	12	41655
2	25	11	25173
2	26	10	14151
2	27	9	7925
2	28	8	3917
2	29	7	1913
2	30	6	861
2	31	5	403
2	32	4	135
2	33	3	41
2	34	2	13
2	35	1	1
2	36	0	3
