phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	35	1	0	0	7	0	0	0.86667203903198242	0.86667203903198242	0	3.1809301677437687	-3	3	0	0.32959440350532532	0.32959440350532532	4493929	1.2696793329271323e-06	2.2116487516985743
0	2	34	6	1	-1	35	0	0.09169729848627628	0.86667203903198242	0.86667203903198242	0	3.074320366677127	-3	3	-0.32527514400877094	0.18136689202015766	0.18136689202015766	1019263	2.1698509135508445e-06	2.2116487516985743
0	3	33	23	6	0	149	0.09169729848627628	0.10071464297906783	0.86667203903198242	0.77497474054570614	0.30250528511864089	2.8043835414258371	-2	3	-0.10786872788621404	0.32038038969039917	0.32038038969039917	401631	5.5066684386876868e-06	2.2116487516985743
0	4	32	204	23	-1	473	0.10071464297906783	0.34477422100505239	0.86667203903198242	0.76595739605291457	0.47948718572619958	2.6209913458167544	-2	3	-0.56447618115471543	0.14312684322704608	0.14312684322704608	66556	3.322989289768878e-05	2.2116487516985743
0	5	31	640	204	0	1745	0.34477422100505239	0.34851389652160031	0.86667203903198242	0.52189781802693003	-0.21882369525596734	2.5850570241203221	-2	2	0.084649465452481309	0.36714081531087295	0.36714081531087295	31310	7.0637136751790943e-05	2.2116487516985743
0	6	30	3149	640	1	5695	0.34851389652160031	0.3747857991843534	0.86667203903198242	0.51815814251038217	0.4601932539567819	2.3973073013813755	-1	2	0.22517211111490415	0.33139078355994345	0.33139078355994345	12840	0.00017224678751546528	2.2116487516985743
0	7	29	9966	3149	-1	15247	0.3747857991843534	0.44313624141079788	0.86667203903198242	0.49188623984762903	-0.22630738633642078	2.0755352954803064	-2	1	-0.37276774591517436	0.26981072311253879	0.26981072311253879	4311	0.00051302453066540815	2.2116487516985743
0	8	28	32475	9966	0	40217	0.44313624141079788	0.48601777937995316	0.86667203903198242	0.42353579762118454	-0.64597810337629558	2.0301479178468607	-2	1	0.31819262906784085	0.30889004008635818	0.30889004008635818	1683	0.0013141109635760987	2.2116487516985743
0	9	27	68443	32475	0	96621	0.48601777937995316	0.49402434653308014	0.86667203903198242	0.38065425965202926	-0.27105677165672504	1.8689704430068137	-2	1	0.14502999374385336	0.44058871269226074	0.44058871269226074	986	0.0022430514723109272	2.2116487516985743
0	10	26	161068	68443	0	218175	0.49402434653308014	0.49431086163647547	0.86667203903198242	0.37264769249890228	0.050644652999415708	1.82645534169665	-1	1	-0.027728382864467053	0.55978112638365607	0.55978112638365607	648	0.0034130381970657012	2.2116487516985743
0	11	25	319763	161068	1	421337	0.49431086163647547	0.49431382145358593	0.86667203903198242	0.37236117739550695	0.99538064341159604	1.6384426626361406	0	2	0.0028193580976289493	0.59849281010766042	0.59849281010766042	469	0.0047156689801675358	2.2116487516985743
0	12	24	526803	319763	0	748975	0.49431382145358593	0.50041092945004473	0.86667203903198242	0.37235821757839649	0.20557386696358523	1.6065210959564522	-1	1	-0.12796213350761856	0.54233694076538086	0.54233694076538086	334	0.0066217028493969288	2.2116487516985743
