phase	depth	coefficient	nodes
0	0	-1	1
0	1	35	5
0	2	34	29
0	3	33	123
0	4	32	431
0	5	31	1399
0	6	30	3963
0	7	29	9529
0	8	28	21067
0	9	27	51403
0	10	26	112933
0	11	25	228333
0	12	24	400037
0	13	23	657295
0	14	22	958494
0	15	21	1142350
0	16	20	1138511
0	17	19	1064951
0	18	18	885383
0	19	17	728322
0	20	16	551950
0	21	15	361278
0	22	14	263328
0	23	13	175193
0	24	12	110147
0	25	11	63207
0	26	10	36221
0	27	9	18417
0	28	8	9051
0	29	7	4021
0	30	6	1579
0	31	5	640
0	32	4	242
0	33	3	102
0	34	2	38
0	35	1	20
0	36	0	7
1	0	-1	1
1	1	35	5
1	2	34	23
1	3	33	83
1	4	32	301
1	5	31	859
1	6	30	2205
1	7	29	5615
1	8	28	12309
1	9	27	25479
1	10	26	49671
1	11	25	83517
1	12	24	124455
1	13	23	168131
1	14	22	224801
1	15	21	268133
1	16	20	309713
1	17	19	323107
1	18	18	310881
1	19	17	280605
1	20	16	215193
1	21	15	180225
1	22	14	135981
1	23	13	98553
1	24	12	62947
1	25	11	40547
1	26	10	22683
1	27	9	12477
1	28	8	6299
1	29	7	2731
1	30	6	1201
1	31	5	457
1	32	4	163
1	33	3	57
1	34	2	25
1	35	1	5
1	36	0	3
