phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	35	1	0	0	7	0	0	0.91311454772949219	0.91311454772949219	0	3.7607277288566316	-3	3	0	0.30570530891418457	0.30570530891418457	3016657	7.424270885172515e-08	0.22396478735651865
0	2	34	12	1	-2	37	0	0.31719877121646384	0.91311454772949219	0.91311454772949219	0	3.3933361091549297	-3	3	-0.589390480537478	0.10034601390361786	0.10034601390361786	340528	6.5769859558250324e-07	0.22396478735651865
0	3	33	85	12	0	171	0.31719877121646384	0.36369647348094875	0.91311454772949219	0.59591577651302829	0.71735443251782671	2.568091430476418	-1	3	-0.27933368103827483	0.26307031512260437	0.26307031512260437	127584	1.7554300488816674e-06	0.22396478735651865
0	4	32	212	85	-1	649	0.36369647348094875	0.36863609473210435	0.91311454772949219	0.54941807424854339	-0.76289836232892116	2.5005710544520983	-3	1	-0.094818996344429154	0.38414305448532104	0.38414305448532104	74634	3.0008412701519235e-06	0.22396478735651865
0	5	31	672	212	1	2111	0.36863609473210435	0.36872533742380476	0.91311454772949219	0.54447845299738784	0.97022167103903334	2.325971246755357	-1	3	0.012802535286068711	0.44716095924377441	0.44716095924377441	48942	4.5761265856834348e-06	0.22396478735651865
0	6	30	1718	672	0	6213	0.36872533742380476	0.38486573492804171	0.91311454772949219	0.54438921030568743	0.40167527342409376	2.3327743927124689	-1	2	-0.17218779264678044	0.38057652115821838	0.38057652115821838	25548	8.7664313197322162e-06	0.22396478735651865
0	7	29	3904	1718	0	17433	0.38486573492804171	0.38752047919005789	0.91311454772949219	0.52824881280145053	0.1656033747404537	2.3360229343883399	-2	2	-0.070891159629738396	0.41512537002563477	0.41512537002563477	15473	1.4474554860500139e-05	0.22396478735651865
0	8	28	11106	3904	0	41493	0.38752047919005789	0.3959999946592026	0.91311454772949219	0.52559406853943424	-0.26968992217589854	2.1232661069072893	-2	1	0.12701654366287793	0.4365876317024231	0.4365876317024231	9356	2.393809185084637e-05	0.22396478735651865
0	9	27	25644	11106	1	91839	0.3959999946592026	0.42538364250832017	0.91311454772949219	0.51711455307028953	1.4902809097692706	2.0567689537642071	0	3	-0.23837432438484657	0.36622735857963562	0.36622735857963562	4548	4.9244676199762238e-05	0.22396478735651865
0	10	26	52665	25644	-2	174289	0.42538364250832017	0.45313100602975404	0.91311454772949219	0.48773090522117202	-1.5729350068675958	1.7904955635911315	-3	0	-0.23851776112522477	0.40733981132507324	0.40733981132507324	2424	9.2394714255989542e-05	0.22396478735651865
0	11	25	170144	52665	0	344671	0.45313100602975404	0.51607531096836812	0.91311454772949219	0.45998354169973815	0.70207407152946333	1.8979110729222235	-1	2	-0.36991937164288535	0.29297402501106262	0.29297402501106262	904	0.00024774865858021976	0.22396478735651865
0	12	24	348416	170144	-1	626181	0.51607531096836812	0.52832676434667569	0.91311454772949219	0.39703923676112407	-0.70242298823513605	1.6940346380637261	-2	0	-0.17566170435865064	0.51890546083450317	0.51890546083450317	561	0.00039922421988684251	0.22396478735651865
0	13	23	634170	348416	0	993559	0.52832676434667569	0.55743318660045726	0.91311454772949219	0.3847877833828165	-0.43697454845292638	1.58881147249529	-2	1	0.2750323471460342	0.42023977637290955	0.42023977637290955	304	0.00073672627419907452	0.22396478735651865
0	14	22	1241646	634170	0	1262064	0.55743318660045726	0.58513687749570908	0.91311454772949219	0.35568136112903492	-0.42889893112934119	1.5367976973434279	-1	1	0.27908613597661786	0.47546583414077759	0.47546583414077759	166	0.0013491854660031245	0.22396478735651865
0	15	21	2207837	1241646	-1	1174015	0.58513687749570908	0.61616010847813374	0.91311454772949219	0.32797767023378316	-0.57392833103166552	1.3853556569958887	-1	0	-0.30755399656162008	0.55316245555877686	0.55316245555877686	94	0.002382604120814028	0.22396478735651865
0	16	20	3111669	2207837	0	991566	0.61616010847813374	0.61782119507972977	0.91311454772949219	0.29695443925135839	0.095226335056824415	1.2732270112980035	-1	1	-0.074791324886946134	0.6719319224357605	0.6719319224357605	76	0.0029469050967962981	0.22396478735651865
0	17	19	4523841	3111669	1	775889	0.61782119507972977	0.61784296390376758	0.91311454772949219	0.29529335264976242	0.98995742702244593	1.1696457503598472	0	2	0.0085859953532634939	0.73095101118087769	0.73095101118087769	68	0.0032935998140664509	0.22396478735651865
0	18	18	5267066	4523841	0	595064	0.61784296390376758	0.61918154647556511	0.91311454772949219	0.2952715838257246	-0.076147335917231176	1.130948834705491	-1	1	0.067330487092336591	0.71739548444747925	0.71739548444747925	55	0.0040720870428457932	0.22396478735651865
0	19	17	5986256	5267066	0	491738	0.61918154647556511	0.62004306708438672	0.91311454772949219	0.29393300125392707	0.065910160878417848	1.2174291908799959	-1	1	-0.054138804434922347	0.69752305746078491	0.69752305746078491	41	0.0054625557891833819	0.22396478735651865
0	20	16	6694712	5986256	-1	354408	0.62004306708438672	0.67014351351056711	0.91311454772949219	0.29307148064510546	-1.4440072273794646	1.0738806594493273	-2	-1	0.41346049346595559	0.55195242166519165	0.55195242166519165	23	0.0097375994502834195	0.22396478735651865
0	21	15	6925878	6694712	-1	267590	0.67014351351056711	0.6706944999823975	0.91311454772949219	0.24297103421892502	-1.0487636298461023	1.0240067258438896	-2	-1	0.047620419490815337	0.85353881120681763	0.85353881120681763	21	0.010664989874119936	0.22396478735651865
0	22	14	7599693	6925878	1	180434	0.6706944999823975	0.67162874825557595	0.91311454772949219	0.24242004774709466	0.9426899169565317	0.92317524871343937	1	1	0.062079310643712679	1	1	20	0.011198239367825932	0.22396478735651865
0	23	13	7927896	7599693	-1	114902	0.67162874825557595	0.67581657997108058	0.91311454772949219	0.24148579947391619	-1.1146976211275117	0.87097481740147664	-1	-1	0.13168879149653046	1	1	19	0.011787620387185192	0.22396478735651865
0	24	12	8022706	7927896	-1	70742	0.67581657997108058	0.71079417528735289	0.91311454772949219	0.23729796775841158	-0.67766706680189992	0.83956962030990423	-1	0	-0.38392638966512355	0.69982558488845825	0.69982558488845825	16	0.013997799209782415	0.22396478735651865
0	25	11	8272058	8022706	-1	40578	0.71079417528735289	0.71904248160846551	0.91311454772949219	0.20232037244213932	-0.8514389414362552	0.73577055315847739	-1	-1	-0.20191221016662006	1	1	15	0.014930985823767911	0.22396478735651865
0	26	10	8441760	8272058	0	23016	0.71904248160846551	0.74085882732055797	0.91311454772949219	0.19407206612102668	0.23880600205649868	0.71225539778383995	0	0	-0.33528142124234644	1	1	14	0.015997484811179904	0.22396478735651865
0	27	9	8486702	8441760	0	11704	0.74085882732055797	0.82379129356045755	0.91311454772949219	0.17225572040893422	0.43067057630421773	0.62068283883792741	0	1	-0.69386577065758759	0.60987681150436401	0.60987681150436401	10	0.022396478735651863	0.22396478735651865
0	28	8	8599710	8486702	-1	5834	0.82379129356045755	0.83722674116788109	0.91311454772949219	0.08932325416903468	-0.83126030486242575	0.4350843466068639	-1	-1	-0.38783214439577407	1	1	9	0.024884976372946517	0.22396478735651865
0	29	7	8618917	8599710	-1	2635	0.83722674116788109	0.83722742207321643	0.91311454772949219	0.075887806561611038	-1.0011134751633333	0.37172619466438689	-1	-1	0.0029954175393492118	1	1	8	0.027995598419564831	0.22396478735651865
0	30	6	8631356	8618917	0	1004	0.83722742207321643	0.83982858406905714	0.91311454772949219	0.075887125656275728	0.061323111671099897	0.33122608815059668	0	0	-0.18513973948579335	1	1	7	0.031994969622359808	0.22396478735651865
0	31	5	8649472	8631356	0	338	0.83982858406905714	0.83984989839106938	0.91311454772949219	0.073285963660435105	0.0055324199951018336	0.32440667550603575	0	0	-0.017053964707945415	1	1	6	0.037327464559419772	0.22396478735651865
0	32	4	8659168	8649472	2	126	0.83984989839106938	0.84267520003882856	0.91311454772949219	0.073264649338422763	2.060793898038225	0.30958136945861475	2	2	-0.19637453682868286	1	1	5	0.044792957471303727	0.22396478735651865
0	33	3	8660996	8659168	0	56	0.84267520003882856	0.8589814785648654	0.91311454772949219	0.070439347690663609	0.14138657000436594	0.29385859202097342	0	0	-0.48113811827654446	1	1	4	0.055991196839129662	0.22396478735651865
0	34	2	8661779	8660996	-1	24	0.8589814785648654	0.86164051259493335	0.91311454772949219	0.054133069164626839	-1.0571698246333552	0.25795041905470462	-1	-1	0.22163105934412547	1	1	3	0.074654929118839544	0.22396478735651865
0	35	1	8662136	8661779	2	10	0.86164051259493335	0.90044331334707406	0.91311454772949219	0.051474035134558831	2.2050748793045574	0.23619735779093273	2	2	-0.8682352809639674	1	1	2	0.11198239367825932	0.22396478735651865
