phase	depth	coefficient	nodes
0	0	-1	1
0	1	35	5
0	2	34	23
0	3	33	81
0	4	32	243
0	5	31	625
0	6	30	1537
0	7	29	3397
0	8	28	6727
0	9	27	12465
0	10	26	21237
0	11	25	33829
0	12	24	52413
0	13	23	76561
0	14	22	98877
0	15	21	119349
0	16	20	125517
0	17	19	125731
0	18	18	115017
0	19	17	103789
0	20	16	82653
0	21	15	62875
0	22	14	44551
0	23	13	30617
0	24	12	20579
0	25	11	12615
0	26	10	6977
0	27	9	3757
0	28	8	1781
0	29	7	759
0	30	6	303
0	31	5	117
0	32	4	39
0	33	3	23
0	34	2	15
0	35	1	3
0	36	0	3
1	0	-1	1
1	1	35	5
1	2	34	21
1	3	33	83
1	4	32	241
1	5	31	649
1	6	30	1697
1	7	29	3789
1	8	28	7819
1	9	27	14101
1	10	26	24695
1	11	25	39349
1	12	24	59713
1	13	23	79125
1	14	22	97377
1	15	21	112945
1	16	20	117741
1	17	19	114945
1	18	18	98035
1	19	17	80421
1	20	16	60259
1	21	15	44317
1	22	14	29039
1	23	13	18369
1	24	12	11273
1	25	11	6507
1	26	10	3491
1	27	9	1861
1	28	8	905
1	29	7	395
1	30	6	151
1	31	5	59
1	32	4	17
1	33	3	9
1	34	2	7
1	35	1	3
1	36	0	3
