phase	depth	coefficient	nodes
0	0	-1	1
0	1	35	7
0	2	34	27
0	3	33	113
0	4	32	371
0	5	31	1019
0	6	30	2579
0	7	29	5813
0	8	28	11593
0	9	27	21433
0	10	26	38433
0	11	25	61647
0	12	24	97611
0	13	23	135559
0	14	22	163571
0	15	21	199667
0	16	20	229955
0	17	19	245275
0	18	18	228275
0	19	17	187747
0	20	16	149479
0	21	15	107763
0	22	14	80581
0	23	13	52967
0	24	12	33923
0	25	11	21543
0	26	10	13021
0	27	9	7011
0	28	8	3623
0	29	7	1621
0	30	6	753
0	31	5	345
0	32	4	141
0	33	3	63
0	34	2	25
0	35	1	7
0	36	0	3
1	0	-1	1
1	1	35	5
1	2	34	27
1	3	33	105
1	4	32	361
1	5	31	1059
1	6	30	2669
1	7	29	5585
1	8	28	11285
1	9	27	20935
1	10	26	38529
1	11	25	63587
1	12	24	91255
1	13	23	128059
1	14	22	160377
1	15	21	189371
1	16	20	204711
1	17	19	193675
1	18	18	161789
1	19	17	131749
1	20	16	97547
1	21	15	64279
1	22	14	46151
1	23	13	28675
1	24	12	18661
1	25	11	11647
1	26	10	6673
1	27	9	3647
1	28	8	1909
1	29	7	933
1	30	6	451
1	31	5	207
1	32	4	77
1	33	3	19
1	34	2	5
1	35	1	3
1	36	0	3
