phase	depth	coefficient	nodes
0	0	-1	1
0	1	36	5
0	2	35	27
0	3	34	95
0	4	33	321
0	5	32	1019
0	6	31	2579
0	7	30	6205
0	8	29	13615
0	9	28	25727
0	10	27	45367
0	11	26	77453
0	12	25	114869
0	13	24	154795
0	14	23	215577
0	15	22	300487
0	16	21	368391
0	17	20	408927
0	18	19	404965
0	19	18	402531
0	20	17	361175
0	21	16	306615
0	22	15	253344
0	23	14	192743
0	24	13	136627
0	25	12	95099
0	26	11	59255
0	27	10	34033
0	28	9	18469
0	29	8	9791
0	30	7	5301
0	31	6	2433
0	32	5	1191
0	33	4	481
0	34	3	205
0	35	2	71
0	36	1	21
0	37	0	7
1	0	-1	1
1	1	36	5
1	2	35	23
1	3	34	75
1	4	33	261
1	5	32	785
1	6	31	1881
1	7	30	4169
1	8	29	8855
1	9	28	15793
1	10	27	26213
1	11	26	38871
1	12	25	53429
1	13	24	81641
1	14	23	109461
1	15	22	143495
1	16	21	181231
1	17	20	198003
1	18	19	195763
1	19	18	188881
1	20	17	167351
1	21	16	134259
1	22	15	101561
1	23	14	76657
1	24	13	55737
1	25	12	38407
1	26	11	23677
1	27	10	13791
1	28	9	7535
1	29	8	4191
1	30	7	2085
1	31	6	1015
1	32	5	489
1	33	4	203
1	34	3	91
1	35	2	37
1	36	1	11
1	37	0	3
