phase	depth	coefficient	nodes
0	0	-1	1
0	1	36	7
0	2	35	33
0	3	34	131
0	4	33	455
0	5	32	1359
0	6	31	3737
0	7	30	9169
0	8	29	20361
0	9	28	41663
0	10	27	74785
0	11	26	121665
0	12	25	179621
0	13	24	246531
0	14	23	313911
0	15	22	369749
0	16	21	424505
0	17	20	469879
0	18	19	450177
0	19	18	413117
0	20	17	340778
0	21	16	268181
0	22	15	195646
0	23	14	132527
0	24	13	86426
0	25	12	50055
0	26	11	28803
0	27	10	15717
0	28	9	8381
0	29	8	4535
0	30	7	2249
0	31	6	1065
0	32	5	419
0	33	4	215
0	34	3	73
0	35	2	19
0	36	1	5
0	37	0	5
1	0	-1	1
1	1	36	5
1	2	35	23
1	3	34	97
1	4	33	305
1	5	32	843
1	6	31	2091
1	7	30	4873
1	8	29	11009
1	9	28	21539
1	10	27	35171
1	11	26	52005
1	12	25	72593
1	13	24	89151
1	14	23	109313
1	15	22	121531
1	16	21	129003
1	17	20	120773
1	18	19	108975
1	19	18	88479
1	20	17	73109
1	21	16	54109
1	22	15	37169
1	23	14	23687
1	24	13	14881
1	25	12	9013
1	26	11	5273
1	27	10	2883
1	28	9	1515
1	29	8	745
1	30	7	363
1	31	6	165
1	32	5	87
1	33	4	21
1	34	3	11
1	35	2	3
1	36	1	1
1	37	0	3
