phase	depth	coefficient	nodes
0	0	-1	1
0	1	36	7
0	2	35	35
0	3	34	153
0	4	33	565
0	5	32	1767
0	6	31	5035
0	7	30	12775
0	8	29	32247
0	9	28	69231
0	10	27	137609
0	11	26	273285
0	12	25	460795
0	13	24	702255
0	14	23	919489
0	15	22	1087915
0	16	21	1175201
0	17	20	1070202
0	18	19	893362
0	19	18	698620
0	20	17	507531
0	21	16	355247
0	22	15	227758
0	23	14	147795
0	24	13	89270
0	25	12	57392
0	26	11	34416
0	27	10	19576
0	28	9	10506
0	29	8	5224
0	30	7	2732
0	31	6	1206
0	32	5	504
0	33	4	190
0	34	3	66
0	35	2	26
0	36	1	10
0	37	0	2
1	0	-1	1
1	1	36	5
1	2	35	19
1	3	34	69
1	4	33	219
1	5	32	535
1	6	31	1295
1	7	30	2779
1	8	29	5843
1	9	28	10849
1	10	27	17701
1	11	26	27505
1	12	25	40559
1	13	24	56261
1	14	23	67947
1	15	22	75763
1	16	21	74953
1	17	20	75221
1	18	19	65751
1	19	18	56207
1	20	17	42705
1	21	16	29155
1	22	15	20845
1	23	14	13299
1	24	13	8085
1	25	12	4819
1	26	11	2765
1	27	10	1579
1	28	9	787
1	29	8	387
1	30	7	153
1	31	6	65
1	32	5	35
1	33	4	13
1	34	3	7
1	35	2	5
1	36	1	3
1	37	0	3
