phase	depth	coefficient	nodes
0	0	-1	1
0	1	36	7
0	2	35	31
0	3	34	115
0	4	33	409
0	5	32	1301
0	6	31	3369
0	7	30	8625
0	8	29	19037
0	9	28	39675
0	10	27	81375
0	11	26	146425
0	12	25	238785
0	13	24	388719
0	14	23	581393
0	15	22	852795
0	16	21	1080336
0	17	20	1199659
0	18	19	1172864
0	19	18	1044152
0	20	17	795241
0	21	16	523955
0	22	15	343482
0	23	14	219601
0	24	13	123178
0	25	12	67310
0	26	11	35475
0	27	10	17677
0	28	9	8495
0	29	8	3781
0	30	7	1654
0	31	6	627
0	32	5	289
0	33	4	110
0	34	3	37
0	35	2	10
0	36	1	4
0	37	0	1
1	0	-1	1
1	1	36	7
1	2	35	27
1	3	34	115
1	4	33	463
1	5	32	1491
1	6	31	4075
1	7	30	10681
1	8	29	24213
1	9	28	52517
1	10	27	104099
1	11	26	203569
1	12	25	355539
1	13	24	554857
1	14	23	845147
1	15	22	1124561
1	16	21	1279215
1	17	20	1257408
1	18	19	1094413
1	19	18	807291
1	20	17	515098
1	21	16	334849
1	22	15	195679
1	23	14	111605
1	24	13	62183
1	25	12	32065
1	26	11	16354
1	27	10	7408
1	28	9	3092
1	29	8	1256
1	30	7	464
1	31	6	150
1	32	5	66
1	33	4	34
1	34	3	6
1	35	2	2
1	36	1	0
1	37	0	0
