phase	depth	coefficient	nodes
0	0	-1	1
0	1	36	7
0	2	35	33
0	3	34	133
0	4	33	433
0	5	32	1269
0	6	31	3219
0	7	30	7665
0	8	29	17217
0	9	28	34411
0	10	27	65325
0	11	26	115721
0	12	25	177899
0	13	24	265969
0	14	23	378456
0	15	22	450678
0	16	21	520079
0	17	20	560377
0	18	19	551043
0	19	18	523019
0	20	17	464540
0	21	16	380206
0	22	15	303606
0	23	14	229705
0	24	13	155571
0	25	12	94781
0	26	11	51206
0	27	10	30699
0	28	9	17454
0	29	8	9725
0	30	7	4830
0	31	6	2050
0	32	5	946
0	33	4	412
0	34	3	193
0	35	2	70
0	36	1	21
0	37	0	7
1	0	-1	1
1	1	36	5
1	2	35	23
1	3	34	93
1	4	33	295
1	5	32	801
1	6	31	1925
1	7	30	4645
1	8	29	9379
1	9	28	18521
1	10	27	34509
1	11	26	56215
1	12	25	90371
1	13	24	140689
1	14	23	194175
1	15	22	244133
1	16	21	300329
1	17	20	330545
1	18	19	337765
1	19	18	324997
1	20	17	277611
1	21	16	230399
1	22	15	180359
1	23	14	126081
1	24	13	78989
1	25	12	43933
1	26	11	28139
1	27	10	17285
1	28	9	10119
1	29	8	5119
1	30	7	2269
1	31	6	1153
1	32	5	529
1	33	4	261
1	34	3	75
1	35	2	25
1	36	1	1
1	37	0	3
