phase	depth	coefficient	nodes
0	0	-1	1
0	1	36	7
0	2	35	35
0	3	34	145
0	4	33	557
0	5	32	1725
0	6	31	5205
0	7	30	13707
0	8	29	32181
0	9	28	63875
0	10	27	123271
0	11	26	209123
0	12	25	335119
0	13	24	547601
0	14	23	788439
0	15	22	1037438
0	16	21	1220456
0	17	20	1174247
0	18	19	947232
0	19	18	748370
0	20	17	549304
0	21	16	444898
0	22	15	313110
0	23	14	200252
0	24	13	120866
0	25	12	62830
0	26	11	31798
0	27	10	15694
0	28	9	7152
0	29	8	3200
0	30	7	1364
0	31	6	542
0	32	5	184
0	33	4	50
0	34	3	22
0	35	2	0
0	36	1	0
0	37	0	0
