phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	36	1	0	0	7	0	0	0.75690937042236328	0.75690937042236328	0	3.3647258352386404	-3	3	0	0.32796001434326172	0.32796001434326172	4030346	0	0
0	2	35	3	1	0	35	0	0	0.75690937042236328	0.75690937042236328	0	3.2229941118901544	-3	3	0	0.33734890818595886	0.33734890818595886	1836183	0	0
0	3	34	16	3	0	145	0	0	0.75690937042236328	0.75690937042236328	0	3.2439417450701078	-3	3	0	0.33590653538703918	0.33590653538703918	814746	0	0
0	4	33	49	16	0	557	0	0	0.75690937042236328	0.75690937042236328	0	3.2003971731955065	-3	3	0	0.33892723917961121	0.33892723917961121	356879	0	0
0	5	32	144	49	0	1725	0	0	0.75690937042236328	0.75690937042236328	0	2.9082282624141684	-2	2	0	0.39825862646102905	0.39825862646102905	168070	0	0
0	6	31	421	144	0	5205	0	0	0.75690937042236328	0.75690937042236328	0	3.1138685280368192	-3	3	0	0.34519430994987488	0.34519430994987488	70144	0	0
0	7	30	1136	421	0	13707	0	0	0.75690937042236328	0.75690937042236328	0	2.8465488341383116	-2	2	0	0.40302795171737671	0.40302795171737671	31884	0	0
0	8	29	3283	1136	0	32181	0	0	0.75690937042236328	0.75690937042236328	0	2.7311468140624884	-2	2	0	0.4125484824180603	0.4125484824180603	14809	0	0
0	9	28	6358	3283	0	63875	0	0	0.75690937042236328	0.75690937042236328	0	2.4474171865271206	-2	2	0	0.4398520290851593	0.4398520290851593	7584	0	0
0	10	27	14301	6358	0	123271	0	0	0.75690937042236328	0.75690937042236328	0	2.4922761758854852	-2	2	0	0.43511775135993958	0.43511775135993958	3732	0	0
0	11	26	31290	14301	0	209123	0	0	0.75690937042236328	0.75690937042236328	0	2.2913499495966629	-2	2	0	0.45775657892227173	0.45775657892227173	1974	0	0
0	12	25	60827	31290	0	335119	0	0	0.75690937042236328	0.75690937042236328	0	2.2676117035479209	-2	2	0	0.46069216728210449	0.46069216728210449	1033	0	0
0	13	24	130998	60827	0	547601	0	0	0.75690937042236328	0.75690937042236328	0	2.3957090964712902	-2	2	0	0.44552850723266602	0.44552850723266602	474	0	0
0	14	23	287821	130998	0	788439	0	0	0.75690937042236328	0.75690937042236328	0	2.1951953480122053	-2	2	0	0.47002843022346497	0.47002843022346497	243	0	0
0	15	22	869777	287821	1	1037438	0	0.16578840487185062	0.75690937042236328	0.75690937042236328	0	2.1367064666058559	-2	2	0.46801000307192098	0.18747009336948395	0.18747009336948395	48	0	0
0	16	21	2387955	869777	0	1220456	0.16578840487185062	0.1661912897716033	0.75690937042236328	0.59112096555051263	-0.050075977971379172	1.9181259729996445	-1	1	0.026106720140527732	0.57345491647720337	0.57345491647720337	28	0	0
0	17	20	4325750	2387955	0	1174247	0.1661912897716033	0.17828415152357674	0.75690937042236328	0.59071808065076004	0.26503315233659769	1.8523616885599248	-1	2	-0.14307851105614341	0.46592205762863159	0.46592205762863159	13	0	0
0	18	19	6011672	4325750	0	947232	0.17828415152357674	0.21035606599184528	0.75690937042236328	0.57862521889878649	0.39282408967234839	1.6685312664676861	-1	2	-0.23543106297550229	0.43322321772575378	0.43322321772575378	6	0	0
0	19	18	7338080	6011672	0	748370	0.21035606599184528	0.25580591174032735	0.75690937042236328	0.54655330443051797	0.45869414273805964	1.5906449457646294	-1	2	-0.28836991181433236	0.40948465466499329	0.40948465466499329	2	0	0
0	20	17	8913283	7338080	0	549304	0.25580591174032735	0.26625328941848936	0.75690937042236328	0.50110345868203587	-0.2038622508595844	1.4118770136276793	-1	1	0.14439094120229379	0.59712362289428711	0.59712362289428711	1	0	0
0	21	16	-1	8913283	0	444898	0.26625328941848936	0.28228674572468981	0.75690937042236328	0.49065608100387392	-0.28018274715790603	1.5499454221096225	-1	1	0.18076942785285352	0.54282057285308838	0.54282057285308838	0	0	0
0	22	15	-1	-1	0	313110	0.28228674572468981	0.32390506563927679	0.75690937042236328	0.47462262469767347	-0.3973802791299863	1.3419559390423526	-1	0	0.29612021346510459	0	0	0	0	0
0	23	14	-1	-1	0	200252	0.32390506563927679	0.34066405606519556	0.75690937042236328	0.43300430478308649	-0.22934925043762625	1.1657877988272471	-1	0	0.19673327398720913	0	0	0	0	0
0	24	13	-1	-1	0	120866	0.34066405606519556	0.34433714036178342	0.75690937042236328	0.41624531435716772	-0.10193689437508303	1.0851521352735376	-1	0	0.093937883050276158	0	0	0	0	0
0	25	12	-1	-1	0	62830	0.34433714036178342	0.344927148966307	0.75690937042236328	0.41257223006057986	-0.035642507783701052	0.94251674935966812	0	0	0.037816312344492599	0	0	0	0	0
0	26	11	-1	-1	0	31798	0.344927148966307	0.38206531178184655	0.75690937042236328	0.41198222145605629	-0.2758064728391173	0.91861489678603192	-1	0	0.30024167233090215	0	0	0	0	0
0	27	10	-1	-1	0	15694	0.38206531178184655	0.42576314917184593	0.75690937042236328	0.37484405864051673	-0.30213032454317934	0.88489076129694999	-1	0	0.34143234143427903	0	0	0	0	0
0	28	9	-1	-1	0	7152	0.42576314917184593	0.46993764963648854	0.75690937042236328	0.33114622125051735	0.2883736251997292	0.78954995901126868	0	1	-0.36523797121191853	0	0	0	0	0
0	29	8	-1	-1	0	3200	0.46993764963648854	0.50293618823373265	0.75690937042236328	0.28697172078587474	0.23520584136523262	0.69361791365945658	0	0	-0.33910000986611033	0	0	0	0	0
0	30	7	-1	-1	0	1364	0.50293618823373265	0.52070390458464855	0.75690937042236328	0.25397318218863063	0.17632900596790771	0.666656139908126	0	0	-0.26449768540676483	0	0	0	0	0
0	31	6	-1	-1	0	542	0.52070390458464855	0.52541124576135867	0.75690937042236328	0.23620546583771479	0.08318608015259063	0.5892611292418215	0	0	-0.14117014685768056	0	0	0	0	0
0	32	5	-1	-1	0	184	0.52541124576135867	0.56198169822913246	0.75690937042236328	0.23149812466100467	0.21794708584292719	0.54835226063513853	0	0	-0.39745816966357755	0	0	0	0	0
0	33	4	-1	-1	0	50	0.56198169822913246	0.57298735003569323	0.75690937042236328	0.19492767219323082	0.11114768812441486	0.46776669601988047	0	0	-0.23761351346760051	0	0	0	0	0
0	34	3	-1	-1	0	22	0.57298735003569323	0.57708304154792822	0.75690937042236328	0.18392202038667002	-0.065365050833565946	0.43802494999825542	0	0	0.14922677540132426	0	0	0	0	0
0	35	2	-1	-1	0	0	0.57708304154792822	0.62931618775309639	0.75690937042236328	0.17982632887443503	-0.21189899721621153	0.39317187869358555	0	0	0.53894749014171683	0	0	0	0	0
0	36	1	-1	-1	0	0	0.62931618775309639	0.67574165507326145	0.75690937042236328	0.12759318266926689	0.19110111518261191	0.31680995125497663	0	0	-0.60320426939117489	0	0	0	0	0
