phase	depth	coefficient	nodes
0	0	-1	1
0	1	37	7
0	2	36	39
0	3	35	221
0	4	34	971
0	5	33	3655
0	6	32	12837
0	7	31	38997
0	8	30	108323
0	9	29	277873
0	10	28	642739
0	11	27	1237267
0	12	26	1839481
0	13	25	1505483
0	14	24	1035763
0	15	23	752650
0	16	22	511415
0	17	21	333434
0	18	20	248462
0	19	19	173706
0	20	18	111060
0	21	17	70498
0	22	16	41894
0	23	15	24970
0	24	14	13962
0	25	13	7364
0	26	12	3770
0	27	11	1768
0	28	10	782
0	29	9	346
0	30	8	162
0	31	7	64
0	32	6	22
0	33	5	10
0	34	4	2
0	35	3	2
0	36	2	0
0	37	1	0
0	38	0	0
