phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	37	1	0	0	7	0	0	1.0014770030975342	1.0014770030975342	0	3.3936586850482979	-3	3	0	0.32614555954933167	0.32614555954933167	3301344	0	0
0	2	36	3	1	0	39	0	0	1.0014770030975342	1.0014770030975342	0	3.804276102101777	-3	3	0	0.3035607635974884	0.3035607635974884	1119827	0	0
0	3	35	16	3	0	221	0	0	1.0014770030975342	1.0014770030975342	0	4.0254460239246237	-4	4	0	0.2715950608253479	0.2715950608253479	336212	0	0
0	4	34	55	16	0	971	0	0	1.0014770030975342	1.0014770030975342	0	3.7596586404742052	-3	3	0	0.30575862526893616	0.30575862526893616	109907	0	0
0	5	33	189	55	0	3655	0	0	1.0014770030975342	1.0014770030975342	0	3.5697119143350382	-3	3	0	0.31577959656715393	0.31577959656715393	37766	0	0
0	6	32	681	189	0	12837	0	0	1.0014770030975342	1.0014770030975342	0	3.5574566139429327	-3	3	0	0.31646567583084106	0.31646567583084106	12550	0	0
0	7	31	1862	681	0	38997	0	0	1.0014770030975342	1.0014770030975342	0	3.3172083914317922	-3	3	0	0.331013023853302	0.331013023853302	4548	0	0
0	8	30	5809	1862	0	108323	0	0	1.0014770030975342	1.0014770030975342	0	3.2374718226616275	-3	3	0	0.33634993433952332	0.33634993433952332	1665	0	0
0	9	29	18098	5809	0	277873	0	0	1.0014770030975342	1.0014770030975342	0	3.1577184233744631	-3	3	0	0.34197321534156799	0.34197321534156799	619	0	0
0	10	28	54267	18098	0	642739	0	0	1.0014770030975342	1.0014770030975342	0	2.9947246556830129	-2	2	0	0.3919130265712738	0.3919130265712738	243	0	0
0	11	27	146788	54267	0	1237267	0	0	1.0014770030975342	1.0014770030975342	0	2.7158093773190846	-2	2	0	0.41387635469436646	0.41387635469436646	100	0	0
0	12	26	374139	146788	0	1839481	0	0	1.0014770030975342	1.0014770030975342	0	2.9753041917979881	-2	2	0	0.39330440759658813	0.39330440759658813	39	0	0
0	13	25	818008	374139	0	1505483	0	0	1.0014770030975342	1.0014770030975342	0	2.6848565356314618	-2	2	0	0.4166034460067749	0.4166034460067749	16	0	0
0	14	24	2277869	818008	0	1035763	0	0	1.0014770030975342	1.0014770030975342	0	2.4762257073507863	-2	2	0	0.43679195642471313	0.43679195642471313	7	0	0
0	15	23	4140956	2277869	0	752650	0	0	1.0014770030975342	1.0014770030975342	0	2.4584727914472415	-2	2	0	0.43866920471191406	0.43866920471191406	3	0	0
0	16	22	7396583	4140956	0	511415	0	0	1.0014770030975342	1.0014770030975342	0	2.2808375623219153	-2	2	0	0.45904922485351562	0.45904922485351562	1	0	0
0	17	21	-1	7396583	0	333434	0	0	1.0014770030975342	1.0014770030975342	0	2.0883828191738742	-2	2	0	0.48493227362632751	0.48493227362632751	0	0	0
0	18	20	-1	-1	0	248462	0	0	1.0014770030975342	1.0014770030975342	0	2.315022865016001	-2	2	0	0	0	0	0	0
0	19	19	-1	-1	0	173706	0	0	1.0014770030975342	1.0014770030975342	0	2.1644488380919782	-2	2	0	0	0	0	0	0
0	20	18	-1	-1	0	111060	0	0	1.0014770030975342	1.0014770030975342	0	1.9644039180792647	-1	1	0	0	0	0	0	0
0	21	17	-1	-1	0	70498	0	0	1.0014770030975342	1.0014770030975342	0	1.9301515836843164	-1	1	0	0	0	0	0	0
0	22	16	-1	-1	0	41894	0	0	1.0014770030975342	1.0014770030975342	0	1.8017112794280739	-1	1	0	0	0	0	0	0
0	23	15	-1	-1	0	24970	0	0	1.0014770030975342	1.0014770030975342	0	1.8137541158371189	-1	1	0	0	0	0	0	0
0	24	14	-1	-1	0	13962	0	0	1.0014770030975342	1.0014770030975342	0	1.7091832818484631	-1	1	0	0	0	0	0	0
0	25	13	-1	-1	0	7364	0	0	1.0014770030975342	1.0014770030975342	0	1.6329771337766075	-1	1	0	0	0	0	0	0
0	26	12	-1	-1	0	3770	0	0	1.0014770030975342	1.0014770030975342	0	1.5815659441233538	-1	1	0	0	0	0	0	0
0	27	11	-1	-1	0	1768	0	0	1.0014770030975342	1.0014770030975342	0	1.4887649941809933	-1	1	0	0	0	0	0	0
0	28	10	-1	-1	0	782	0	0	1.0014770030975342	1.0014770030975342	0	1.4552105286749626	-1	1	0	0	0	0	0	0
0	29	9	-1	-1	0	346	0	0	1.0014770030975342	1.0014770030975342	0	1.4507868235503822	-1	1	0	0	0	0	0	0
0	30	8	-1	-1	0	162	0	0	1.0014770030975342	1.0014770030975342	0	1.5338011946644259	-1	1	0	0	0	0	0	0
0	31	7	-1	-1	0	64	0	0	1.0014770030975342	1.0014770030975342	0	1.3386911972332591	-1	1	0	0	0	0	0	0
0	32	6	-1	-1	0	22	0	0	1.0014770030975342	1.0014770030975342	0	1.2311388824859113	-1	1	0	0	0	0	0	0
0	33	5	-1	-1	0	10	0	0	1.0014770030975342	1.0014770030975342	0	1.2026679663403546	-1	1	0	0	0	0	0	0
0	34	4	-1	-1	0	2	0	0	1.0014770030975342	1.0014770030975342	0	1.1016111306468679	-1	1	0	0	0	0	0	0
0	35	3	-1	-1	0	2	0	0	1.0014770030975342	1.0014770030975342	0	0.98992674887485133	0	0	0	0	0	0	0	0
0	36	2	-1	-1	0	0	0	0	1.0014770030975342	1.0014770030975342	0	1.0005402042833176	-1	1	0	0	0	0	0	0
0	37	1	-1	-1	0	0	0	0	1.0014770030975342	1.0014770030975342	0	0.95940916738794757	0	0	0	0	0	0	0	0
0	38	0	-1	-1	1	0	0	1.0014770030975342	1.0014770030975342	1.0014770030975342	0	1.000000000002	-1	1	0.99999999999800004	0	0	0	0	0
