phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	37	1	0	0	7	0	0	0.77798271179199219	0.77798271179199219	0	3.0744261263378125	-3	3	0	0.34817403554916382	0.34817403554916382	4239781	0	0
0	2	36	3	1	0	31	0	0	0.77798271179199219	0.77798271179199219	0	3.408229170864435	-3	3	0	0.32524421811103821	0.32524421811103821	1757390	0	0
0	3	35	16	3	0	135	0	0	0.77798271179199219	0.77798271179199219	0	3.173328589793142	-3	3	0	0.34084910154342651	0.34084910154342651	765791	0	0
0	4	34	97	16	1	527	0	0.073901155851257894	0.77798271179199219	0.77798271179199219	0	3.2445865057699792	-3	3	0.30820568298045364	0.18132486939430237	0.18132486939430237	165479	0	0
0	5	33	249	97	0	1681	0.073901155851257894	0.091101787630909925	0.77798271179199219	0.70408155594073429	0.43965183895577986	2.8128603965759327	-2	3	-0.15630062533176681	0.30099973082542419	0.30099973082542419	57772	0	0
0	6	32	744	249	0	4937	0.091101787630909925	0.10247983772980492	0.77798271179199219	0.68688092416108226	0.3601936495790618	2.7986130735138723	-2	3	-0.12870434037057191	0.3180091381072998	0.3180091381072998	21225	0	0
0	7	31	2282	744	0	12891	0.10247983772980492	0.11025400080065288	0.77798271179199219	0.67550287406218723	-0.28661897553041416	2.6717247698145803	-2	2	0.10727863093109914	0.36139973998069763	0.36139973998069763	8282	0	0
0	8	30	6832	2282	0	32627	0.11025400080065288	0.11311332014560144	0.77798271179199219	0.66772871099133935	-0.1800925041192582	2.7521007632379293	-2	2	0.065438194169669117	0.37748292088508606	0.37748292088508606	3273	0	0
0	9	29	19043	6832	0	69053	0.11311332014560144	0.11587206190494169	0.77798271179199219	0.66486939164639081	-0.15450118734996984	2.3985262005229893	-2	2	0.064415050924305703	0.41165271401405334	0.41165271401405334	1442	0	0
0	10	28	41398	19043	0	139391	0.11587206190494169	0.12434404586248381	0.77798271179199219	0.66211064988705048	-0.27172057624790485	2.4021230539513745	-2	2	0.1131168429531276	0.38384315371513367	0.38384315371513367	592	0	0
0	11	27	98654	41398	0	252379	0.12434404586248381	0.12931542055413081	0.77798271179199219	0.65363866592950837	0.19607255933213125	2.248264673954445	-2	2	-0.087210621419969062	0.41646385192871094	0.41646385192871094	263	0	0
0	12	26	226352	98654	0	438713	0.12931542055413081	0.130459904958242	0.77798271179199219	0.64866729123786138	0.093951983810695194	2.2367220285552754	-2	2	-0.042004318199244398	0.44291040301322937	0.44291040301322937	121	0	0
0	13	25	521208	226352	0	682361	0.130459904958242	0.14314793159236508	0.77798271179199219	0.64752280683375019	-0.29155446597327001	2.0828125805807169	-2	1	0.13998113353625921	0.43300768733024597	0.43300768733024597	52	0	0
0	14	24	1105910	521208	0	1059911	0.14314793159236508	0.14724293570531288	0.77798271179199219	0.63483478019962714	-0.17632179617505861	2.1953773853539937	-2	2	0.080315027999902436	0.42712193727493286	0.42712193727493286	22	0	0
0	15	23	2180158	1105910	0	1337029	0.14724293570531288	0.15054738990225947	0.77798271179199219	0.6307397760866793	0.15159380325238531	2.0943858276446177	-1	2	-0.072381029918861861	0.47693288326263428	0.47693288326263428	10	0	0
0	16	22	4115632	2180158	0	1312183	0.15054738990225947	0.16751112572081694	0.77798271179199219	0.62743532188973272	-0.33279372195207513	2.023945699494798	-2	1	0.16442818699886297	0.4240240752696991	0.4240240752696991	4	0	0
0	17	21	6647415	4115632	0	1015935	0.16751112572081694	0.1728221126731122	0.77798271179199219	0.61047158607117524	0.16288004327154207	1.7462764057849882	-1	1	-0.093272773274585954	0.56175845861434937	0.56175845861434937	1	0	0
0	18	20	-1	6647415	0	814972	0.1728221126731122	0.17771920258682192	0.77798271179199219	0.60516059911887998	0.1602831642705482	1.7817804548532012	-1	1	-0.089956741771395024	0.55806541442871094	0.55806541442871094	0	0	0
0	19	19	-1	-1	0	621064	0.17771920258682192	0.1984565925101113	0.77798271179199219	0.60026350920517024	-0.31212268438121038	1.6792650835105254	-1	1	0.18586862041382643	0	0	0	0	0
0	20	18	-1	-1	0	439884	0.1984565925101113	0.21477277375687898	0.77798271179199219	0.57952611928188091	0.25262552446880565	1.5055822113502932	-1	1	-0.16779258054745244	0	0	0	0	0
0	21	17	-1	-1	0	302926	0.21477277375687898	0.2169042863305457	0.77798271179199219	0.56320993803511321	0.087519257608999382	1.4226393936109001	-1	1	-0.061518933049408017	0	0	0	0	0
0	22	16	-1	-1	0	194398	0.2169042863305457	0.24820691756433594	0.77798271179199219	0.56107842546144648	0.31356970686299712	1.3275639856879373	-1	1	-0.23619931712783457	0	0	0	0	0
0	23	15	-1	-1	0	122252	0.24820691756433594	0.24838877368523965	0.77798271179199219	0.5297757942276563	0.023610046699857688	1.2743212937425901	-1	1	-0.018527546244257346	0	0	0	0	0
0	24	14	-1	-1	0	69340	0.24838877368523965	0.25178123956873721	0.77798271179199219	0.52959393810675248	-0.092626329271460847	1.1573060189581379	-1	1	0.08003615962772534	0	0	0	0	0
0	25	13	-1	-1	0	37946	0.25178123956873721	0.26071090490579985	0.77798271179199219	0.52620147222325497	0.14704897260307853	1.1288089197851965	0	1	-0.13026914478232579	0	0	0	0	0
0	26	12	-1	-1	0	19352	0.26071090490579985	0.27077626344908795	0.77798271179199219	0.51727180688619234	0.14884050641688265	1.0670036827420855	0	1	-0.13949390130911118	0	0	0	0	0
0	27	11	-1	-1	0	9642	0.27077626344908795	0.27336418209764801	0.77798271179199219	0.50720644834290418	0.074496581486612687	1.0429258146224432	0	1	-0.071430374473549413	0	0	0	0	0
0	28	10	-1	-1	0	4688	0.27336418209764801	0.2883255126469173	0.77798271179199219	0.50461852969434418	0.17945649219066659	1.0422110231508739	0	1	-0.17218824998427204	0	0	0	0	0
0	29	9	-1	-1	0	2184	0.2883255126469173	0.40781401590031696	0.77798271179199219	0.48965719914507488	0.48599207820133994	0.98381219519057028	0	1	-0.49398867037544741	0	0	0	0	0
0	30	8	-1	-1	0	924	0.40781401590031696	0.43518369694171849	0.77798271179199219	0.37016869589167523	0.22719944063893291	0.83554959710444598	0	1	-0.27191616323708473	0	0	0	0	0
0	31	7	-1	-1	0	386	0.43518369694171849	0.43534468933435522	0.77798271179199219	0.3427990148502737	-0.016148881394715122	0.74517718561375856	0	0	0.021671196738818888	0	0	0	0	0
0	32	6	-1	-1	0	142	0.43534468933435522	0.44389555273593151	0.77798271179199219	0.34263802245763697	0.1175983373865143	0.74441304452301538	0	0	-0.15797457910193627	0	0	0	0	0
0	33	5	-1	-1	0	64	0.44389555273593151	0.44389715631132326	0.77798271179199219	0.33408715905606068	0.0015005212394407575	0.68490028565055194	0	0	-0.0021908608754856755	0	0	0	0	0
0	34	4	-1	-1	0	28	0.44389715631132326	0.44523466401249612	0.77798271179199219	0.33408555548066893	-0.038438569276976725	0.60750228838505582	0	0	0.063273126722138431	0	0	0	0	0
0	35	3	-1	-1	0	12	0.44523466401249612	0.52774131687620351	0.77798271179199219	0.33274804777949607	0.30579016194769543	0.61409672676635563	0	0	-0.4979511347632356	0	0	0	0	0
0	36	2	-1	-1	0	4	0.52774131687620351	0.6218156562263103	0.77798271179199219	0.25024139491578862	-0.33663816599123675	0.54904423992763207	0	0	0.61313486511689497	0	0	0	0	0
0	37	1	-1	-1	0	0	0.6218156562263103	0.68424712182016956	0.77798271179199219	0.15616705556568186	-0.24784834613096185	0.3919935952212632	0	0	0.63227651969941578	0	0	0	0	0
0	38	0	-1	-1	0	0	0.68424712182016956	0.77798271179199219	0.77798271179199219	0.093735589971822686	-0.30979938770762394	0.30979938771050497	0	0	0.99999999999070022	0	0	0	0	0
