phase	depth	coefficient	nodes
0	0	-1	1
0	1	37	7
0	2	36	33
0	3	35	153
0	4	34	627
0	5	33	2331
0	6	32	7013
0	7	31	19625
0	8	30	48311
0	9	29	103635
0	10	28	205301
0	11	27	352779
0	12	26	566839
0	13	25	865489
0	14	24	1179923
0	15	23	1316467
0	16	22	1088030
0	17	21	868727
0	18	20	706538
0	19	19	545715
0	20	18	396494
0	21	17	271600
0	22	16	177030
0	23	15	113790
0	24	14	70528
0	25	13	43418
0	26	12	25190
0	27	11	12620
0	28	10	6250
0	29	9	3152
0	30	8	1394
0	31	7	600
0	32	6	228
0	33	5	98
0	34	4	40
0	35	3	18
0	36	2	6
0	37	1	0
0	38	0	0
