phase	depth	coefficient	nodes
0	0	-1	1
0	1	37	7
0	2	36	39
0	3	35	167
0	4	34	661
0	5	33	2181
0	6	32	6119
0	7	31	16329
0	8	30	39525
0	9	29	84799
0	10	28	151831
0	11	27	250567
0	12	26	381345
0	13	25	496227
0	14	24	625425
0	15	23	760509
0	16	22	825447
0	17	21	918915
0	18	20	897453
0	19	19	872237
0	20	18	786539
0	21	17	653744
0	22	16	466568
0	23	15	295099
0	24	14	193679
0	25	13	123929
0	26	12	74715
0	27	11	40019
0	28	10	19286
0	29	9	9148
0	30	8	4132
0	31	7	1932
0	32	6	814
0	33	5	370
0	34	4	162
0	35	3	56
0	36	2	18
0	37	1	6
0	38	0	0
