phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	37	1	0	0	5	0	0	0.8515467643737793	0.8515467643737793	0	2.9176136669151118	-2	2	0	0.39755120873451233	0.39755120873451233	4337111	0	0
0	2	36	3	1	0	23	0	0	0.8515467643737793	0.8515467643737793	0	2.840199383682898	-2	2	0	0.40353107452392578	0.40353107452392578	2103107	0	0
0	3	35	14	3	0	113	0	0	0.8515467643737793	0.8515467643737793	0	3.3841265986233844	-3	3	0	0.32673969864845276	0.32673969864845276	772634	0	0
0	4	34	31	14	0	469	0	0	0.8515467643737793	0.8515467643737793	0	3.3262323592138121	-3	3	0	0.33042612671852112	0.33042612671852112	286325	0	0
0	5	33	104	31	0	1549	0	0	0.8515467643737793	0.8515467643737793	0	3.1411915820271266	-3	3	0	0.34317612648010254	0.34317612648010254	109361	0	0
0	6	32	307	104	0	4941	0	0	0.8515467643737793	0.8515467643737793	0	3.2296372367886139	-3	3	0	0.3368893563747406	0.3368893563747406	41135	0	0
0	7	31	934	307	0	12741	0	0	0.8515467643737793	0.8515467643737793	0	2.8670664583826153	-2	2	0	0.40141788125038147	0.40141788125038147	16512	0	0
0	8	30	2601	934	0	31885	0	0	0.8515467643737793	0.8515467643737793	0	2.9027127340054144	-2	2	0	0.39867660403251648	0.39867660403251648	6583	0	0
0	9	29	6000	2601	0	80887	0	0	0.8515467643737793	0.8515467643737793	0	3.1135017716903466	-3	3	0	0.34522166848182678	0.34522166848182678	2520	0	0
0	10	28	17513	6000	0	177483	0	0	0.8515467643737793	0.8515467643737793	0	2.8369428655998372	-2	2	0	0.40379002690315247	0.40379002690315247	1017	0	0
0	11	27	48052	17513	0	335321	0	0	0.8515467643737793	0.8515467643737793	0	2.5623557505867427	-2	2	0	0.42805469036102295	0.42805469036102295	436	0	0
0	12	26	89095	48052	0	603519	0	0	0.8515467643737793	0.8515467643737793	0	2.5389020826527893	-2	2	0	0.43037480115890503	0.43037480115890503	188	0	0
