phase	depth	coefficient	nodes
0	0	-1	1
0	1	37	5
0	2	36	23
0	3	35	99
0	4	34	381
0	5	33	1173
0	6	32	3227
0	7	31	8081
0	8	30	18315
0	9	29	36243
0	10	28	66613
0	11	27	114947
0	12	26	194919
0	13	25	289479
0	14	24	397433
0	15	23	487947
0	16	22	548305
0	17	21	581109
0	18	20	548971
0	19	19	521915
0	20	18	471281
0	21	17	420041
0	22	16	327539
0	23	15	246431
0	24	14	174635
0	25	13	123225
0	26	12	82473
0	27	11	49283
0	28	10	29627
0	29	9	17113
0	30	8	9793
0	31	7	4841
0	32	6	2297
0	33	5	1037
0	34	4	501
0	35	3	193
0	36	2	63
0	37	1	15
0	38	0	5
1	0	-1	1
1	1	37	5
1	2	36	23
1	3	35	97
1	4	34	315
1	5	33	941
1	6	32	2501
1	7	31	6179
1	8	30	14497
1	9	29	29849
1	10	28	54717
1	11	27	92985
1	12	26	162109
1	13	25	238841
1	14	24	321965
1	15	23	384335
1	16	22	427585
1	17	21	436875
1	18	20	456449
1	19	19	435909
1	20	18	406203
1	21	17	337453
1	22	16	268643
1	23	15	209587
1	24	14	152883
1	25	13	105493
1	26	12	63927
1	27	11	38929
1	28	10	23049
1	29	9	12647
1	30	8	6555
1	31	7	3229
1	32	6	1445
1	33	5	685
1	34	4	261
1	35	3	97
1	36	2	35
1	37	1	11
1	38	0	3
