phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	37	1	0	0	5	0	0	0.70572042465209961	0.70572042465209961	0	2.9357227675222264	-2	2	0	0.39619949460029602	0.39619949460029602	3347445	1.5569338429416759e-07	0.46044219757457555
0	2	36	3	1	0	23	0	0	0.70572042465209961	0.70572042465209961	0	2.980105317892499	-2	2	0	0.39295867085456848	0.39295867085456848	1880314	2.77174472342699e-07	0.46044219757457555
0	3	35	14	3	0	99	0	0	0.70572042465209961	0.70572042465209961	0	2.7665476514581036	-2	2	0	0.40954113006591797	0.40954113006591797	1117871	4.1189206766664092e-07	0.46044219757457555
0	4	34	35	14	0	381	0	0	0.70572042465209961	0.70572042465209961	0	3.1035369972727374	-3	3	0	0.34596717357635498	0.34596717357635498	582084	7.9102362816118558e-07	0.46044219757457555
0	5	33	80	35	0	1173	0	0	0.70572042465209961	0.70572042465209961	0	2.9240377231882344	-2	2	0	0.39706972241401672	0.39706972241401672	315945	1.4573492144980156e-06	0.46044219757457555
0	6	32	263	80	0	3227	0	0	0.70572042465209961	0.70572042465209961	0	2.8000441418341104	-2	2	0	0.40676742792129517	0.40676742792129517	175188	2.6282747538334564e-06	0.46044219757457555
0	7	31	644	263	0	8081	0	0	0.70572042465209961	0.70572042465209961	0	2.7776895190353716	-2	2	0	0.40861088037490845	0.40861088037490845	95195	4.8368317408957987e-06	0.46044219757457555
0	8	30	1383	644	0	18315	0	0	0.70572042465209961	0.70572042465209961	0	2.655344665307048	-2	2	0	0.41926401853561401	0.41926401853561401	52462	8.776680217577972e-06	0.46044219757457555
0	9	29	3622	1383	0	36243	0	0	0.70572042465209961	0.70572042465209961	0	2.4335664909093282	-2	2	0	0.44134899973869324	0.44134899973869324	30345	1.517357711565581e-05	0.46044219757457555
0	10	28	8153	3622	0	66613	0	0	0.70572042465209961	0.70572042465209961	0	2.3731056945416871	-2	2	0	0.44808703660964966	0.44808703660964966	17082	2.6954817795022571e-05	0.46044219757457555
0	11	27	23025	8153	-1	114947	0	0.12989827120969369	0.70572042465209961	0.70572042465209961	0	2.3308517821586925	-2	2	-0.42902770894932718	0.19206607341766357	0.19206607341766357	3895	0.00011821365791388333	0.46044219757457555
0	12	26	107510	23025	1	194919	0.12989827120969369	0.17127862743527969	0.70572042465209961	0.57582215344240595	0.42174355089555066	2.1570864819357265	-1	2	0.26807290942991469	0.33230277895927429	0.33230277895927429	1668	0.00027604448295837861	0.46044219757457555
0	13	25	248219	107510	1	289479	0.17127862743527969	0.17439944351630782	0.70572042465209961	0.53444179721681995	0.85525662379606548	1.8941519648352558	-1	2	0.076415925908311991	0.50391972064971924	0.50391972064971924	1108	0.00041556155015755916	0.46044219757457555
0	14	24	543915	248219	-1	397433	0.17439944351630782	0.18076158794612451	0.70572042465209961	0.53132098113579174	-0.80170638543855499	1.812113727275158	-2	1	-0.10942669412896919	0.49607861042022705	0.49607861042022705	719	0.00064039248619551542	0.46044219757457555
0	15	23	896469	543915	0	487947	0.18076158794612451	0.18113465912171464	0.70572042465209961	0.5249588367059751	0.04432898826205732	1.6628558277880545	-1	1	-0.026658347357163326	0.61179542541503906	0.61179542541503906	535	0.00086063962163472065	0.46044219757457555
0	16	22	1450895	896469	1	548305	0.18113465912171464	0.25840187887438326	0.70572042465209961	0.52458576553038494	0.39645930320650757	1.5725960051431922	-1	1	0.383786232967403	0.37508067488670349	0.37508067488670349	230	0.0020019225981503285	0.46044219757457555
0	17	21	1769203	1450895	-1	581109	0.25840187887438326	0.27712119013001729	0.70572042465209961	0.44731854577771635	-0.71206117409175307	1.4075497333139722	-2	0	-0.2045674259980258	0.55901539325714111	0.55901539325714111	155	0.0029705948230617776	0.46044219757457555
0	18	20	2179359	1769203	0	548971	0.27712119013001729	0.28500661756597512	0.70572042465209961	0.42859923452208232	0.17157660912304354	1.2649435832793126	-1	1	-0.13563973238888524	0.64114058017730713	0.64114058017730713	124	0.0037132435288272222	0.46044219757457555
0	19	19	2935124	2179359	-1	521915	0.28500661756597512	0.2850906828555938	0.70572042465209961	0.42071380708612449	-0.98171670693394053	1.2934196257674628	-2	0	-0.014135623661355009	0.69518446922302246	0.69518446922302246	102	0.0045141391919076039	0.46044219757457555
0	20	18	3774619	2935124	0	471281	0.2850906828555938	0.2930394370138818	0.70572042465209961	0.42062974179650581	0.17285191751347917	1.2574034795812086	-1	1	-0.13746734466732136	0.64225608110427856	0.64225608110427856	78	0.005903105097109943	0.46044219757457555
0	21	17	4717521	3774619	1	420041	0.2930394370138818	0.31323225841217789	0.70572042465209961	0.41268098763821781	0.72061424269547103	1.2630280369404385	0	1	0.22120313178582607	0.6678958535194397	0.6678958535194397	59	0.007804105043636874	0.46044219757457555
0	22	16	5189844	4717521	0	327519	0.31323225841217789	0.34631000906067444	0.70572042465209961	0.39248816623992172	-0.32008487397340402	1.1025808633426484	-1	0	0.29030512374667561	0.6576198935508728	0.6576198935508728	40	0.011511054939364388	0.46044219757457555
0	23	15	5531390	5189844	-1	246359	0.34631000906067444	0.38012874084462234	0.70572042465209961	0.35941041559142517	-1.3186911819575133	1.0389310298180636	-2	-1	0.30674912271445215	0.66775733232498169	0.66775733232498169	31	0.014852974115308889	0.46044219757457555
0	24	14	5716163	5531390	1	174408	0.38012874084462234	0.45196653885009169	0.70459342002868652	0.32446467918406419	0.55315390359301575	0.94965350603908805	0	1	0.47053593080568473	0.55573928356170654	0.55573928356170654	20	0.023022109878728776	0.46044219757457555
0	25	13	5752639	5716163	0	122777	0.45196653885009169	0.47317170946476084	0.70459342002868652	0.25262688117859483	0.24692562830365183	0.85228542618700465	0	1	-0.28972175367160685	0.76633745431900024	0.76633745431900024	17	0.027084835151445621	0.46044219757457555
0	26	12	5773524	5752639	-1	81825	0.47317170946476084	0.48882880219064567	0.70459342002868652	0.23142171056392566	-1.2064929294486857	0.79387417312261765	-2	-1	0.26010788162621312	0.81440025568008423	0.81440025568008423	15	0.030696146504971704	0.46044219757457555
0	27	11	5774698	5773524	1	48658	0.48882880219064567	0.48997993447516131	0.70459342002868652	0.21576461783804085	1.0505560005090824	0.69214997352628405	1	1	-0.073041974200353771	1	1	14	0.032888728398183971	0.46044219757457555
0	28	10	5775103	5774698	-1	29083	0.48997993447516131	0.49640804547981454	0.70459342002868652	0.21461348555352522	-1.1223145070811391	0.70674832775970042	-1	-1	0.17306656737181125	1	1	13	0.035418630582659656	0.46044219757457555
0	29	9	5775338	5775103	0	16698	0.49640804547981454	0.55471191215572746	0.70459342002868652	0.20818537454887198	-0.36128368760408391	0.6826919505861333	-1	0	0.52920455161936442	0.69269752502441406	0.69269752502441406	10	0.046044219757457552	0.46044219757457555
0	30	8	5775582	5775338	1	9494	0.55471191215572746	0.58284118603777058	0.70459342002868652	0.14988150787295909	1.2519247970836733	0.58152137594887265	1	1	-0.43321674404935817	1	1	9	0.051160244174952837	0.46044219757457555
0	31	7	5775639	5775582	0	4652	0.58284118603777058	0.61819681765197532	0.70459342002868652	0.12175223399091592	-0.2511741526122806	0.46610537918226119	0	0	0.53887846789698601	1	1	8	0.057555274696821944	0.46044219757457555
0	32	6	5775704	5775639	2	2186	0.61819681765197532	0.65170378925920602	0.70459342002868652	0.086396602376711248	1.7612400757403233	0.38339123112571455	2	2	0.62275791639425127	1	1	7	0.065777456796367942	0.46044219757457555
0	33	5	5775770	5775704	1	988	0.65170378925920602	0.66719256496980406	0.70459342002868652	0.052889630769480507	1.1590873728402031	0.2939763762003576	1	1	-0.54115699668254358	1	1	6	0.076740366262429263	0.46044219757457555
0	34	4	5775800	5775770	1	472	0.66719256496980406	0.66804121904962466	0.70459342002868652	0.037400855058882458	0.96226103943562868	0.25053323613248696	1	1	0.15063454712417551	1	1	5	0.092088439514915105	0.46044219757457555
0	35	3	5775818	5775800	1	182	0.66804121904962466	0.6708858435365771	0.70459342002868652	0.036552200979061873	0.9379247421125847	0.22251681082650654	1	1	0.27896884580021514	1	1	4	0.11511054939364389	0.46044219757457555
0	36	2	5775835	5775818	-2	58	0.6708858435365771	0.67088831072610622	0.70459342002868652	0.033707576492109481	-2.0017228535026677	0.2013774596279351	-2	-2	0.0085553443064117496	1	1	3	0.15348073252485853	0.46044219757457555
0	37	1	5775857	5775835	2	14	0.67088831072610622	0.68869623902743404	0.70459342002868652	0.033705109302580263	1.8591466534152372	0.19377972744382119	2	2	0.72687348900104976	1	1	2	0.23022109878728778	0.46044219757457555
0	38	0	5775883	5775857	3	3	0.68869623902743404	0.68882369995117188	0.70459342002868652	0.015897181001252488	3.0134391619476446	0.15008722093817725	3	3	-0.089542346534489128	1	1	1	0.46044219757457555	0.46044219757457555
1	1	37	1	0	0	5	0	0	2.7552947998046875	2.7552947998046875	0	2.900365551027277	-2	2	0	0.39885494112968445	0.39885494112968445	2760940	0	0
1	2	36	3	1	0	23	0	0	2.7552947998046875	2.7552947998046875	0	2.9442135674628744	-2	2	0	0.39557161927223206	0.39557161927223206	1573887	0	0
1	3	35	14	3	0	97	0	0	2.7552947998046875	2.7552947998046875	0	2.733227943841857	-2	2	0	0.41236945986747742	0.41236945986747742	950764	0	0
1	4	34	35	14	0	315	0	0	2.7552947998046875	2.7552947998046875	0	2.7493455395386155	-2	2	0	0.41099253296852112	0.41099253296852112	561441	0	0
1	5	33	80	35	0	941	0	0	2.7552947998046875	2.7552947998046875	0	2.789903143107479	-2	2	0	0.40759995579719543	0.40759995579719543	321552	0	0
1	6	32	201	80	0	2501	0	0	2.7552947998046875	2.7552947998046875	0	2.6626854955317882	-2	2	0	0.41859659552574158	0.41859659552574158	189979	0	0
1	7	31	484	201	0	6179	0	0	2.7552947998046875	2.7552947998046875	0	2.7334266297050198	-2	2	0	0.41235238313674927	0.41235238313674927	107116	0	0
1	8	30	1175	484	0	14497	0	0	2.7552947998046875	2.7552947998046875	0	2.7368210498026713	-2	2	0	0.41206106543540955	0.41206106543540955	59271	0	0
1	9	29	2724	1175	0	29849	0	0	2.7552947998046875	2.7552947998046875	0	2.5393011526046103	-2	2	0	0.43033495545387268	0.43033495545387268	34748	0	0
1	10	28	6981	2724	0	54717	0	0	2.7552947998046875	2.7552947998046875	0	2.3678729007047075	-2	2	0	0.44868624210357666	0.44868624210357666	21539	0	0
1	11	27	16744	6981	0	92985	0	0	2.7552947998046875	2.7552947998046875	0	2.300323134497575	-2	2	0	0.45666229724884033	0.45666229724884033	13430	0	0
1	12	26	35437	16744	0	162109	0	0	2.7552947998046875	2.7552947998046875	0	2.4604256129437285	-2	2	0	0.43846139311790466	0.43846139311790466	7635	0	0
1	13	25	80864	35437	0	238841	0	0	2.7552947998046875	2.7552947998046875	0	2.1611822932978639	-2	2	0	0.47462174296379089	0.47462174296379089	4916	0	0
1	14	24	187031	80864	0	321965	0	0	2.7552947998046875	2.7552947998046875	0	2.0460188881991419	-2	2	0	0.49125096201896667	0.49125096201896667	3185	0	0
1	15	23	345216	187031	0	384335	0	0	2.7552947998046875	2.7552947998046875	0	1.875141781978962	-1	1	0	0.59228968620300293	0.59228968620300293	2252	0	0
1	16	22	463276	345216	0	427585	0	0	2.7552947998046875	2.7552947998046875	0	1.8055116443110155	-1	1	0	0.60218369960784912	0.60218369960784912	1611	0	0
1	17	21	683159	463276	0	436875	0	0	2.7552947998046875	2.7552947998046875	0	1.7034859373680313	-1	1	0	0.61796414852142334	0.61796414852142334	1216	0	0
1	18	20	837734	683159	0	456449	0	0	2.7552947998046875	2.7552947998046875	0	1.7919013334422971	-1	1	0	0.60419750213623047	0.60419750213623047	851	0	0
1	19	19	1224753	837734	0	435909	0	0	2.7552947998046875	2.7552947998046875	0	1.6845995534390188	-1	1	0	0.62106680870056152	0.62106680870056152	622	0	0
1	20	18	1467492	1224753	0	406203	0	0	2.7552947998046875	2.7552947998046875	0	1.6870579721255237	-1	1	0	0.62065953016281128	0.62065953016281128	445	0	0
1	21	17	1766257	1467492	0	337453	0	0	2.7552947998046875	2.7552947998046875	0	1.5358559642092142	-1	1	0	0.64772593975067139	0.64772593975067139	328	0	0
1	22	16	2141446	1766257	0	268643	0	0	2.7552947998046875	2.7552947998046875	0	1.5068785834835194	-1	1	0	0.65341848134994507	0.65341848134994507	247	0	0
1	23	15	2637945	2141446	0	209587	0	0	2.7552947998046875	2.7552947998046875	0	1.5087708722510258	-1	1	0	0.65304142236709595	0.65304142236709595	174	0	0
1	24	14	3470144	2637945	0	152883	0	0	2.7552947998046875	2.7552947998046875	0	1.4399770361202682	-1	1	0	0.66724789142608643	0.66724789142608643	135	0	0
1	25	13	4312477	3470144	0	105493	0	0	2.7552947998046875	2.7552947998046875	0	1.3921071770406108	-1	1	0	0.67776596546173096	0.67776596546173096	88	0	0
1	26	12	4553606	4312477	0	63927	0	0	2.7552947998046875	2.7552947998046875	0	1.2381546333426399	-1	1	0	0.71548199653625488	0.71548199653625488	71	0	0
1	27	11	4622957	4553606	0	38929	0	0	2.7552947998046875	2.7552947998046875	0	1.2744434933781952	-1	1	0	0.70602697134017944	0.70602697134017944	58	0	0
1	28	10	4685162	4622957	0	23049	0	0	2.7552947998046875	2.7552947998046875	0	1.258215345669345	-1	1	0	0.71021032333374023	0.71021032333374023	43	0	0
1	29	9	4693777	4685162	0	12647	0	0	2.7552947998046875	2.7552947998046875	0	1.1855342275719962	-1	1	0	0.72984886169433594	0.72984886169433594	32	0	0
1	30	8	4696524	4693777	0	6555	0	0	2.7552947998046875	2.7552947998046875	0	1.1528350762606017	-1	1	0	0.73917913436889648	0.73917913436889648	25	0	0
1	31	7	4696887	4696524	0	3229	0	0	2.7552947998046875	2.7552947998046875	0	1.1046409064414906	-1	1	0	0.7535054087638855	0.7535054087638855	20	0	0
1	32	6	4697098	4696887	0	1445	0	0	2.7552947998046875	2.7552947998046875	0	1.0605270486247613	-1	1	0	0.76722496747970581	0.76722496747970581	15	0	0
1	33	5	4697217	4697098	0	685	0	0	2.7552947998046875	2.7552947998046875	0	1.0704867243996936	-1	1	0	0.76407676935195923	0.76407676935195923	12	0	0
1	34	4	4697242	4697217	0	261	0	0	2.7552947998046875	2.7552947998046875	0	0.94235010279171894	0	0	0	1	1	11	0	0
1	35	3	4697265	4697242	0	97	0	0	2.7552947998046875	2.7552947998046875	0	0.90710343750653255	0	0	0	1	1	10	0	0
1	36	2	4697274	4697265	0	35	0	0	2.7552947998046875	2.7552947998046875	0	1.0237799379017229	-1	1	0	0.77909457683563232	0.77909457683563232	7	0	0
1	37	1	4697291	4697274	0	11	0	0	2.7552947998046875	2.7552947998046875	0	1.0067433415185294	-1	1	0	0.78473162651062012	0.78473162651062012	4	0	0
1	38	0	4697306	4697291	1	3	0	2.7552947998046875	2.7552947998046875	2.7552947998046875	0	1.000000000002	-1	1	0.99999999999800004	0.10650698095560074	0.10650698095560074	1	0	0
