phase	depth	coefficient	nodes
0	0	-1	1
0	1	37	7
0	2	36	31
0	3	35	137
0	4	34	515
0	5	33	1623
0	6	32	4903
0	7	31	12707
0	8	30	33059
0	9	29	77269
0	10	28	166437
0	11	27	325767
0	12	26	587831
0	13	25	910789
0	14	24	1233748
0	15	23	1370100
0	16	22	1098905
0	17	21	890303
0	18	20	677381
0	19	19	508053
0	20	18	357766
0	21	17	246946
0	22	16	177702
0	23	15	126012
0	24	14	82654
0	25	13	50682
0	26	12	28170
0	27	11	15550
0	28	10	7916
0	29	9	3908
0	30	8	1854
0	31	7	790
0	32	6	326
0	33	5	106
0	34	4	36
0	35	3	12
0	36	2	2
0	37	1	2
0	38	0	0
