phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	37	1	0	0	7	0	0	0.82355046272277832	0.82355046272277832	0	3.1394466377841526	-3	3	0	0.34330391883850098	0.34330391883850098	4129643	0	0
0	2	36	3	1	0	31	0	0	0.82355046272277832	0.82355046272277832	0	2.9160962868265901	-2	2	0	0.39766526222229004	0.39766526222229004	1980822	0	0
0	3	35	16	3	0	137	0	0	0.82355046272277832	0.82355046272277832	0	3.4295432037655469	-3	3	0	0.32394042611122131	0.32394042611122131	725719	0	0
0	4	34	41	16	0	515	0	0	0.82355046272277832	0.82355046272277832	0	3.3282270933140952	-3	3	0	0.3302968442440033	0.3302968442440033	268884	0	0
0	5	33	120	41	0	1623	0	0	0.82355046272277832	0.82355046272277832	0	2.9521151989873249	-2	2	0	0.3949907124042511	0.3949907124042511	111611	0	0
0	6	32	361	120	0	4903	0	0	0.82355046272277832	0.82355046272277832	0	3.0565924314184829	-3	3	0	0.34954774379730225	0.34954774379730225	43259	0	0
0	7	31	910	361	0	12707	0	0	0.82355046272277832	0.82355046272277832	0	2.8429851872242287	-2	2	0	0.40331006050109863	0.40331006050109863	17447	0	0
0	8	30	2553	910	0	33059	0	0	0.82355046272277832	0.82355046272277832	0	3.0251233493302014	-3	3	0	0.35201308131217957	0.35201308131217957	6798	0	0
0	9	29	5220	2553	0	77269	0	0	0.82355046272277832	0.82355046272277832	0	2.8899601957767325	-2	2	0	0.39964926242828369	0.39964926242828369	2717	0	0
0	10	28	17227	5220	0	166437	0	0	0.82355046272277832	0.82355046272277832	0	2.7867880503435405	-2	2	0	0.40785691142082214	0.40785691142082214	1108	0	0
0	11	27	39508	17227	0	325767	0	0	0.82355046272277832	0.82355046272277832	0	2.6507884216758826	-2	2	0	0.4196801483631134	0.4196801483631134	465	0	0
0	12	26	81529	39508	0	587831	0	0	0.82355046272277832	0.82355046272277832	0	2.542757041735217	-2	2	0	0.4299905002117157	0.4299905002117157	200	0	0
0	13	25	178932	81529	0	910789	0	0	0.82355046272277832	0.82355046272277832	0	2.291902462288935	-2	2	0	0.45768895745277405	0.45768895745277405	91	0	0
0	14	24	384031	178932	0	1233748	0	0	0.82355046272277832	0.82355046272277832	0	2.2367796427874564	-2	2	0	0.46459558606147766	0.46459558606147766	42	0	0
0	15	23	834532	384031	0	1370100	0	0	0.82355046272277832	0.82355046272277832	0	2.2863393207417642	-2	2	0	0.45837125182151794	0.45837125182151794	19	0	0
0	16	22	2478172	834532	1	1098905	0	0.19956085053052963	0.82355046272277832	0.82355046272277832	0	2.0314560674510505	-2	2	0.49225775345205475	0.18437410891056061	0.18437410891056061	3	0	0
