phase	depth	coefficient	nodes
0	0	-1	1
0	1	37	5
0	2	36	21
0	3	35	65
0	4	34	183
0	5	33	523
0	6	32	1321
0	7	31	2997
0	8	30	6623
0	9	29	12717
0	10	28	23039
0	11	27	40159
0	12	26	61189
0	13	25	84665
0	14	24	117959
0	15	23	146997
0	16	22	175201
0	17	21	197521
0	18	20	204025
0	19	19	206591
0	20	18	185457
0	21	17	162511
0	22	16	132571
0	23	15	104971
0	24	14	81709
0	25	13	58091
0	26	12	35869
0	27	11	22011
0	28	10	12963
0	29	9	6833
0	30	8	3545
0	31	7	1683
0	32	6	813
0	33	5	377
0	34	4	177
0	35	3	77
0	36	2	39
0	37	1	15
0	38	0	7
1	0	-1	1
1	1	37	5
1	2	36	17
1	3	35	59
1	4	34	173
1	5	33	445
1	6	32	1085
1	7	31	2363
1	8	30	5027
1	9	29	9119
1	10	28	15039
1	11	27	24305
1	12	26	35727
1	13	25	45839
1	14	24	61373
1	15	23	77731
1	16	22	90225
1	17	21	106215
1	18	20	110997
1	19	19	104619
1	20	18	94283
1	21	17	80061
1	22	16	65999
1	23	15	51195
1	24	14	36313
1	25	13	22217
1	26	12	12945
1	27	11	7151
1	28	10	4107
1	29	9	2279
1	30	8	1139
1	31	7	577
1	32	6	251
1	33	5	109
1	34	4	45
1	35	3	19
1	36	2	5
1	37	1	1
1	38	0	3
