phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	37	1	0	0	5	0	0	0.67302489280700684	0.67302489280700684	0	2.3640564088338891	-2	2	0	0.44912487268447876	0.44912487268447876	1519362	1.0799639317006629e-06	1.3380757278619924
0	2	36	3	1	0	21	0	0	0.67302489280700684	0.67302489280700684	0	2.3709588358117299	-2	2	0	0.44833254814147949	0.44833254814147949	1084857	1.5125091686706933e-06	1.3380757278619924
0	3	35	12	3	0	65	0	0	0.67302489280700684	0.67302489280700684	0	2.758551392564939	-2	2	0	0.41021350026130676	0.41021350026130676	654918	2.5054375650029201e-06	1.3380757278619924
0	4	34	27	12	0	183	0	0	0.67302489280700684	0.67302489280700684	0	2.5127254203414231	-2	2	0	0.43301582336425781	0.43301582336425781	426395	3.8482068485713535e-06	1.3380757278619924
0	5	33	62	27	0	523	0	0	0.67302489280700684	0.67302489280700684	0	2.5903147012854784	-2	2	0	0.42534434795379639	0.42534434795379639	263620	6.2243234928934926e-06	1.3380757278619924
0	6	32	151	62	0	1321	0	0	0.67302489280700684	0.67302489280700684	0	2.5522272819995147	-2	2	0	0.42905136942863464	0.42905136942863464	164245	9.9902959554116255e-06	1.3380757278619924
0	7	31	328	151	0	2997	0	0	0.67302489280700684	0.67302489280700684	0	2.4679898918218597	-2	2	0	0.43765947222709656	0.43765947222709656	102998	1.2991278741936662e-05	1.3380757278619924
0	8	30	833	328	0	6623	0	0	0.67302489280700684	0.67302489280700684	0	2.5682825175579178	-2	2	0	0.42747515439987183	0.42747515439987183	61069	2.1910883228184388e-05	1.3380757278619924
0	9	29	1730	833	0	12717	0	0	0.67302489280700684	0.67302489280700684	0	2.341923652129648	-2	2	0	0.45169666409492493	0.45169666409492493	39026	3.4286776196945432e-05	1.3380757278619924
0	10	28	4119	1730	0	23039	0	0	0.67302489280700684	0.67302489280700684	0	2.3628728374186978	-2	2	0	0.44926121830940247	0.44926121830940247	24255	5.5167005890001745e-05	1.3380757278619924
0	11	27	8784	4119	0	40159	0	0	0.67302489280700684	0.67302489280700684	0	2.3537308570891748	-2	2	0	0.45031875371932983	0.45031875371932983	14698	9.1037945833582275e-05	1.3380757278619924
0	12	26	17535	8784	0	61189	0	0	0.67302489280700684	0.67302489280700684	0	2.1497811357532504	-2	2	0	0.47619256377220154	0.47619256377220154	9479	0.00014116211919632793	1.3380757278619924
0	13	25	36156	17535	0	84665	0	0	0.67302489280700684	0.67302489280700684	0	2.0360773594973507	-2	2	0	0.49276944994926453	0.49276944994926453	6342	0.00021098639669851662	1.3380757278619924
0	14	24	79367	36156	0	117959	0	0	0.67302489280700684	0.67302489280700684	0	2.1239024706856737	-2	2	0	0.47981774806976318	0.47981774806976318	3807	0.00035147773256159504	1.3380757278619924
0	15	23	150484	79367	0	146997	0	0	0.67302489280700684	0.67302489280700684	0	1.9585331096727487	-1	1	0	0.58127880096435547	0.58127880096435547	2432	0.00055019561178535866	1.3380757278619924
0	16	22	222359	150484	-1	175201	0	0.17924460505097167	0.67302489280700684	0.67302489280700684	0	1.9377266722945741	-1	1	-0.51606865627536735	0.20802740752696991	0.20802740752696991	506	0.0026444184345098664	1.3380757278619924
0	17	21	395935	222359	0	197521	0.17924460505097167	0.19483162173435364	0.67302489280700684	0.49378028775603516	0.28666350392011225	1.6134584248059278	-1	1	-0.17767021418887385	0.53226453065872192	0.53226453065872192	312	0.0042887042559679239	1.3380757278619924
