phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	37	1	0	0	5	0	0	0.66926407814025879	0.66926407814025879	0	2.6212217814135785	-2	2	0	0.40511173613535967	0.40511173613535967	4827405	3.1820584298051377e-06	3.0147701682078747
0	2	36	3	1	0	29	0	0	0.66926407814025879	0.66926407814025879	0	2.9741222869316384	-2	2	0	0.37827169369812152	0.37827169369812152	2879898	5.3338989000073858e-06	3.0147701682078747
0	3	35	12	3	0	133	0	0	0.66926407814025879	0.66926407814025879	0	3.2901162012100604	-3	3	0	0.31744199991226196	0.31744199991226196	1887041	8.1403026083341426e-06	3.0147701682078747
0	4	34	41	12	0	519	0	0	0.66926407814025879	0.66926407814025879	0	3.039248948212224	-3	3	0	0.33412346492799716	0.33412346492799716	748894	1.1459500263521199e-05	3.0147701682078747
0	5	33	116	41	0	1679	0	0	0.66926407814025879	0.66926407814025879	0	2.8437466800273796	-2	2	0	0.38737944242927114	0.38737944242927114	354671	8.5001879719736729e-06	3.0147701682078747
0	6	32	438	116	-1	4613	0	0.10076004466647036	0.66926407814025879	0.66926407814025879	0	2.5772383316708432	-2	2	-0.38801223298261767	0.19883684813976288	0.19883684813976288	84989	3.5472474887431017e-05	3.0147701682078747
0	7	31	1780	438	0	11899	0.10076004466647036	0.10337272726903868	0.66926407814025879	0.56850403347378842	-0.16540564352446277	2.4399098020740855	-2	2	0.067791704178513892	0.38731613466653125	0.38731613466653125	46636	6.4644698692166447e-05	3.0147701682078747
0	8	30	6050	1780	1	25835	0.10337272726903868	0.14127996220223846	0.66926407814025879	0.56589135087122011	0.44050635346851197	2.1617259392524746	-1	2	0.25881802885936644	0.33253219228189895	0.33253219228189895	20471	0.00014727029301000804	3.0147701682078747
0	9	29	14062	6050	1	57525	0.14127996220223846	0.15491525831772796	0.66926407814025879	0.5279841159380203	0.63691168790554764	2.2593858824297577	-1	2	0.16070221333948717	0.38395644827067799	0.38395644827067799	10620	0.00028387666367305788	3.0147701682078747
0	10	28	33930	14062	-1	117559	0.15491525831772796	0.16420636799797694	0.66926407814025879	0.51434881982253089	-0.71089017293875634	2.1510867953126489	-2	1	-0.13440174877705158	0.41180250645014027	0.41180250645014027	5958	0.00050600372074653818	3.0147701682078747
0	11	27	89498	33930	0	217553	0.16420636799797694	0.16696112874029193	0.66926407814025879	0.50505771014228185	-0.14919392129131456	2.0201317238280785	-2	1	0.073853560899779999	0.46421341178075903	0.46421341178075903	3698	0.00081524342028336258	3.0147701682078747
0	12	26	214388	89498	-1	391161	0.16696112874029193	0.18066674171550404	0.66926407814025879	0.50230294939996689	-0.66228977311594139	2.0444563601100296	-2	1	-0.16518338736557012	0.40515484802194168	0.40515484802194168	2007	0.0015021276373731313	3.0147701682078747
0	13	25	502418	214388	1	618385	0.18066674171550404	0.1862312850053599	0.66926407814025879	0.48859733642475478	0.80325797979542768	1.843562694658361	-1	2	0.10671837783147999	0.46938490867614746	0.46938490867614746	1284	0.0023479518443986565	3.0147701682078747
0	14	24	967343	502418	1	905726	0.1862312850053599	0.19431862365186003	0.66926407814025879	0.48303279313489889	1.2372544051479577	1.8335796417020769	0	3	-0.12939410961594169	0.45687886391760613	0.45687886391760613	800	0.0037684627102598433	3.0147701682078747
0	15	23	2014305	967343	0	1078494	0.19431862365186003	0.2146442035586146	0.66926407814025879	0.47494545448839876	-0.35933966157502717	1.7370229224708384	-2	1	0.20687099572864723	0.42331522072381944	0.42331522072381944	452	0.0066698455048846781	3.0147701682078747
0	16	22	3509744	2014305	0	1011924	0.2146442035586146	0.22486278425799588	0.66926407814025879	0.45461987458164416	-0.23846942743782196	1.5906023815084593	-1	1	0.14992397233283894	0.53329867423057908	0.53329867423057908	279	0.010805627843038977	3.0147701682078747
