phase	depth	coefficient	nodes
0	0	-1	1
0	1	37	7
0	2	36	35
0	3	35	141
0	4	34	487
0	5	33	1421
0	6	32	3847
0	7	31	9065
0	8	30	20773
0	9	29	43817
0	10	28	87925
0	11	27	168447
0	12	26	282769
0	13	25	464459
0	14	24	658879
0	15	23	828791
0	16	22	997435
0	17	21	1156658
0	18	20	1112647
0	19	19	971329
0	20	18	750010
0	21	17	530569
0	22	16	361228
0	23	15	229843
0	24	14	140758
0	25	13	80400
0	26	12	46537
0	27	11	26275
0	28	10	13033
0	29	9	6704
0	30	8	3206
0	31	7	1540
0	32	6	625
0	33	5	222
0	34	4	79
0	35	3	26
0	36	2	9
0	37	1	2
0	38	0	1
1	0	-1	1
1	1	37	5
1	2	36	29
1	3	35	113
1	4	34	379
1	5	33	979
1	6	32	2275
1	7	31	4981
1	8	30	10229
1	9	29	19429
1	10	28	33969
1	11	27	55513
1	12	26	80167
1	13	25	110651
1	14	24	148897
1	15	23	185683
1	16	22	222211
1	17	21	233811
1	18	20	236081
1	19	19	204751
1	20	18	158297
1	21	17	127599
1	22	16	95581
1	23	15	65153
1	24	14	43127
1	25	13	26581
1	26	12	16625
1	27	11	9433
1	28	10	5257
1	29	9	2497
1	30	8	1103
1	31	7	493
1	32	6	183
1	33	5	95
1	34	4	41
1	35	3	19
1	36	2	9
1	37	1	7
1	38	0	3
