phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	38	1	0	0	7	0	0	1.0663721561431885	1.0663721561431885	0	3.5463529491885075	-3	3	0	0.31709170341491699	0.31709170341491699	3225591	0	0
0	2	37	3	1	0	41	0	0	1.0663721561431885	1.0663721561431885	0	3.5184516692395253	-3	3	0	0.31868338584899902	0.31868338584899902	1159326	0	0
0	3	36	16	3	0	203	0	0	1.0663721561431885	1.0663721561431885	0	3.8123420720707397	-3	3	0	0.3031693696975708	0.3031693696975708	385987	0	0
0	4	35	51	16	0	877	0	0	1.0663721561431885	1.0663721561431885	0	3.7121708965320308	-3	3	0	0.30816054344177246	0.30816054344177246	129662	0	0
0	5	34	178	51	0	3541	0	0	1.0663721561431885	1.0663721561431885	0	3.7834129558536755	-3	3	0	0.30458152294158936	0.30458152294158936	39668	0	0
0	6	33	581	178	0	11871	0	0	1.0663721561431885	1.0663721561431885	0	3.4566203042669534	-3	3	0	0.32230880856513977	0.32230880856513977	13969	0	0
0	7	32	1940	581	0	36069	0	0	1.0663721561431885	1.0663721561431885	0	3.3177810512200439	-3	3	0	0.33097568154335022	0.33097568154335022	5082	0	0
0	8	31	5615	1940	0	96499	0	0	1.0663721561431885	1.0663721561431885	0	3.1086521132334872	-3	3	0	0.34558385610580444	0.34558385610580444	1946	0	0
0	9	30	17198	5615	0	225467	0	0	1.0663721561431885	1.0663721561431885	0	2.8688143729808386	-2	2	0	0.40128183364868164	0.40128183364868164	781	0	0
0	10	29	53007	17198	0	501221	0	0	1.0663721561431885	1.0663721561431885	0	2.8731684407229747	-2	2	0	0.40094363689422607	0.40094363689422607	313	0	0
0	11	28	107430	53007	0	958973	0	0	1.0663721561431885	1.0663721561431885	0	2.6318965849752507	-2	2	0	0.42142122983932495	0.42142122983932495	132	0	0
0	12	27	264277	107430	0	1495787	0	0	1.0663721561431885	1.0663721561431885	0	2.6628319542777796	-2	2	0	0.41858333349227905	0.41858333349227905	55	0	0
0	13	26	588914	264277	0	1548727	0	0	1.0663721561431885	1.0663721561431885	0	2.7428760980269153	-2	2	0	0.41154322028160095	0.41154322028160095	22	0	0
0	14	25	1284127	588914	0	1217250	0	0	1.0663721561431885	1.0663721561431885	0	2.7980453682743085	-2	2	0	0.40693101286888123	0.40693101286888123	9	0	0
0	15	24	2889146	1284127	0	894411	0	0	1.0663721561431885	1.0663721561431885	0	2.6655698342325089	-2	2	0	0.41833537817001343	0.41833537817001343	4	0	0
0	16	23	5745005	2889146	0	641877	0	0	1.0663721561431885	1.0663721561431885	0	2.5156718596813135	-2	2	0	0.4327157735824585	0.4327157735824585	1	0	0
0	17	22	-1	5745005	0	451954	0	0	1.0663721561431885	1.0663721561431885	0	2.3779307511549361	-2	2	0	0.44753682613372803	0.44753682613372803	0	0	0
0	18	21	-1	-1	0	301802	0	0	1.0663721561431885	1.0663721561431885	0	2.1683938346023632	-2	2	0	0	0	0	0	0
0	19	20	-1	-1	0	210700	0	0	1.0663721561431885	1.0663721561431885	0	2.1994918999522688	-2	2	0	0	0	0	0	0
0	20	19	-1	-1	0	144248	0	0	1.0663721561431885	1.0663721561431885	0	2.1402815228104268	-2	2	0	0	0	0	0	0
0	21	18	-1	-1	0	99478	0	0	1.0663721561431885	1.0663721561431885	0	2.162897830859003	-2	2	0	0	0	0	0	0
0	22	17	-1	-1	0	68196	0	0	1.0663721561431885	1.0663721561431885	0	2.145957339328926	-2	2	0	0	0	0	0	0
0	23	16	-1	-1	0	41474	0	0	1.0663721561431885	1.0663721561431885	0	1.9227117778788556	-1	1	0	0	0	0	0	0
0	24	15	-1	-1	0	23850	0	0	1.0663721561431885	1.0663721561431885	0	1.8291333738269122	-1	1	0	0	0	0	0	0
0	25	14	-1	-1	0	12760	0	0	1.0663721561431885	1.0663721561431885	0	1.729128563954925	-1	1	0	0	0	0	0	0
0	26	13	-1	-1	0	6698	0	0	1.0663721561431885	1.0663721561431885	0	1.7085235634610973	-1	1	0	0	0	0	0	0
0	27	12	-1	-1	0	3212	0	0	1.0663721561431885	1.0663721561431885	0	1.5432076809138642	-1	1	0	0	0	0	0	0
0	28	11	-1	-1	0	1606	0	0	1.0663721561431885	1.0663721561431885	0	1.6015439366245614	-1	1	0	0	0	0	0	0
0	29	10	-1	-1	0	716	0	0	1.0663721561431885	1.0663721561431885	0	1.5369251427900774	-1	1	0	0	0	0	0	0
0	30	9	-1	-1	0	276	0	0	1.0663721561431885	1.0663721561431885	0	1.4058072262388908	-1	1	0	0	0	0	0	0
0	31	8	-1	-1	0	126	0	0	1.0663721561431885	1.0663721561431885	0	1.3137684510571093	-1	1	0	0	0	0	0	0
0	32	7	-1	-1	0	50	0	0	1.0663721561431885	1.0663721561431885	0	1.2890961738210889	-1	1	0	0	0	0	0	0
0	33	6	-1	-1	0	16	0	0	1.0663721561431885	1.0663721561431885	0	1.3143608497367549	-1	1	0	0	0	0	0	0
0	34	5	-1	-1	0	10	0	0	1.0663721561431885	1.0663721561431885	0	1.2520938286468339	-1	1	0	0	0	0	0	0
0	35	4	-1	-1	0	2	0	0	1.0663721561431885	1.0663721561431885	0	1.2120852876888524	-1	1	0	0	0	0	0	0
0	36	3	-1	-1	0	2	0	0	1.0663721561431885	1.0663721561431885	0	1.0835361511996711	-1	1	0	0	0	0	0	0
0	37	2	-1	-1	0	2	0	0	1.0663721561431885	1.0663721561431885	0	1.1215770381379098	-1	1	0	0	0	0	0	0
0	38	1	-1	-1	0	0	0	0	1.0663721561431885	1.0663721561431885	0	1.1274637694772638	-1	1	0	0	0	0	0	0
0	39	0	-1	-1	1	0	0	1.0663721561431885	1.0663721561431885	1.0663721561431885	0	1.000000000002	-1	1	0.99999999999800004	0	0	0	0	0
