phase	depth	coefficient	nodes
0	0	-1	1
0	1	38	7
0	2	37	41
0	3	36	199
0	4	35	857
0	5	34	3315
0	6	33	11125
0	7	32	35519
0	8	31	96817
0	9	30	239689
0	10	29	546557
0	11	28	1108295
0	12	27	1768669
0	13	26	1630220
0	14	25	1101732
0	15	24	779345
0	16	23	533403
0	17	22	380270
0	18	21	265508
0	19	20	171086
0	20	19	123232
0	21	18	81655
0	22	17	51498
0	23	16	31784
0	24	15	18644
0	25	14	10038
0	26	13	5468
0	27	12	2754
0	28	11	1372
0	29	10	520
0	30	9	232
0	31	8	90
0	32	7	38
0	33	6	18
0	34	5	2
0	35	4	0
0	36	3	0
0	37	2	0
0	38	1	0
0	39	0	0
