phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	38	1	0	0	7	0	0	0.82128405570983887	0.82128405570983887	0	3.3765052222614411	-3	3	0	0.32721731066703796	0.32721731066703796	3822129	0	0
0	2	37	3	1	0	35	0	0	0.82128405570983887	0.82128405570983887	0	3.1138377990652835	-3	3	0	0.34519660472869873	0.34519660472869873	1722047	0	0
0	3	36	16	3	0	151	0	0	0.82128405570983887	0.82128405570983887	0	3.3194323617992629	-3	3	0	0.33086806535720825	0.33086806535720825	673567	0	0
0	4	35	49	16	0	527	0	0	0.82128405570983887	0.82128405570983887	0	2.9933248237568466	-2	2	0	0.39201268553733826	0.39201268553733826	294622	0	0
0	5	34	138	49	0	1831	0	0	0.82128405570983887	0.82128405570983887	0	3.3023879863473233	-3	3	0	0.33198434114456177	0.33198434114456177	109562	0	0
0	6	33	385	138	0	5339	0	0	0.82128405570983887	0.82128405570983887	0	2.9914660385976273	-2	2	0	0.39214515686035156	0.39214515686035156	42964	0	0
0	7	32	1078	385	0	14745	0	0	0.82128405570983887	0.82128405570983887	0	3.0378026200637671	-3	3	0	0.35101336240768433	0.35101336240768433	16707	0	0
0	8	31	2757	1078	0	40027	0	0	0.82128405570983887	0.82128405570983887	0	3.1536191148182668	-3	3	0	0.34227034449577332	0.34227034449577332	6357	0	0
0	9	30	14494	2757	1	97061	0	0.092243753862892297	0.82128405570983887	0.82128405570983887	0	2.9838584134168835	-2	2	0.3351365451871014	0.20088756084442139	0.20088756084442139	1277	0	0
0	10	29	30461	14494	0	209465	0.092243753862892297	0.10816722128876614	0.82128405570983887	0.72904030184694657	-0.38792554346943192	2.6248550386511034	-3	2	0.14778932084142232	0.32208704948425293	0.32208704948425293	463	0	0
0	11	28	86831	30461	0	402493	0.10816722128876614	0.11090024774589885	0.82128405570983887	0.71311683442107276	-0.14985070445390633	2.4205675976227119	-2	2	0.061907258694645716	0.41062316298484802	0.41062316298484802	194	0	0
0	12	27	239189	86831	0	669471	0.11090024774589885	0.11525641894570847	0.82128405570983887	0.71038380796394007	-0.17118022078808942	2.1859873247846116	-2	2	0.078307965854722453	0.42949208617210388	0.42949208617210388	89	0	0
0	13	26	509422	239189	0	947077	0.11525641894570847	0.12639036944057233	0.82128405570983887	0.70602763676413038	-0.24678062948810256	1.9651571029034565	-2	1	0.12557806656958476	0.4598715603351593	0.4598715603351593	41	0	0
0	14	25	1137617	509422	0	1194217	0.12639036944057233	0.16988426450504235	0.82128405570983887	0.69489368626926651	0.49173109340500504	1.9654984352244356	-1	2	-0.25018137109269967	0.37033787369728088	0.37033787369728088	15	0	0
0	15	24	2413166	1137617	0	1184751	0.16988426450504235	0.18437665774401371	0.82128405570983887	0.65139979120479652	-0.27203131522527341	1.8237808612319568	-2	1	0.14915789556071848	0.46661069989204407	0.46661069989204407	7	0	0
0	16	23	5105952	2413166	0	1093157	0.18437665774401371	0.18749094987113385	0.82128405570983887	0.63690739796582518	-0.13959013686396496	1.9962420788224429	-2	1	0.069926457489718555	0.49231442809104919	0.49231442809104919	3	0	0
0	17	22	8163033	5105952	0	846068	0.18749094987113385	0.22346796183960502	0.82128405570983887	0.63379310583870496	0.42680455412312596	1.7913904510402712	-1	2	-0.23825322607658089	0.40737733244895935	0.40737733244895935	1	0	0
0	18	21	-1	8163033	0	649028	0.22346796183960502	0.24930022892003201	0.82128405570983887	0.59781609387023382	-0.34339160600458585	1.6519321862870151	-1	1	0.20787270134642394	0.50444221496582031	0.50444221496582031	0	0	0
0	19	20	-1	-1	0	506623	0.24930022892003201	0.269337927423141	0.82128405570983887	0.57198382678980686	0.30491376396637504	1.6290896508492969	-1	1	-0.18716819163844892	0	0	0	0	0
0	20	19	-1	-1	0	366526	0.269337927423141	0.27795581508670492	0.82128405570983887	0.55194612828669787	-0.18517992875840233	1.4819782982826528	-1	1	0.12495454823663252	0	0	0	0	0
0	21	18	-1	-1	0	274720	0.27795581508670492	0.30066312096128678	0.82128405570983887	0.54332824062313401	0.30998216632300546	1.5162996805612863	-1	1	-0.20443331242295049	0	0	0	0	0
0	22	17	-1	-1	0	197686	0.30066312096128678	0.33521739612622437	0.82128405570983887	0.52062093474855209	0.36860657981445272	1.4307804700515421	-1	1	-0.25762623094874515	0	0	0	0	0
0	23	16	-1	-1	0	128398	0.33521739612622437	0.37323829369792172	0.82128405570983887	0.4860666595836145	-0.34857563136634417	1.2463320306481642	-1	0	0.27968119473352926	0	0	0	0	0
0	24	15	-1	-1	0	78732	0.37323829369792172	0.41259868185712995	0.82128405570983887	0.44804576201191715	0.33647097910774498	1.1352175917392784	0	1	-0.29639338004992893	0	0	0	0	0
0	25	14	-1	-1	0	44950	0.41259868185712995	0.4368847586135145	0.82128405570983887	0.40868537385270892	-0.24865943772617924	1.0200484806533145	-1	0	0.24377217597238057	0	0	0	0	0
0	26	13	-1	-1	0	23244	0.4368847586135145	0.43769343487648577	0.82128405570983887	0.38439929709632437	-0.041989083043290201	0.9154620284120083	0	0	0.045866547972640545	0	0	0	0	0
0	27	12	-1	-1	0	12056	0.43769343487648577	0.52156220834497291	0.82128405570983887	0.3835906208333531	-0.43573070154846061	0.93186286503881455	-1	0	0.46759101354501481	0	0	0	0	0
0	28	11	-1	-1	0	6332	0.52156220834497291	0.52489110437548159	0.82128405570983887	0.29972184736486596	-0.087897343098083239	0.83403606852086365	0	0	0.10538793994121425	0	0	0	0	0
0	29	10	-1	-1	0	3098	0.52489110437548159	0.54001953876568032	0.82128405570983887	0.29639295133435734	0.17539485761149901	0.7763432811061427	0	0	-0.22592435830911606	0	0	0	0	0
0	30	9	-1	-1	0	1314	0.54001953876568032	0.58241189481314759	0.82128405570983887	0.28126451694415855	-0.27444766242980234	0.7069248242528875	0	0	0.38822750738715667	0	0	0	0	0
0	31	8	-1	-1	0	566	0.58241189481314759	0.58262088997314532	0.82128405570983887	0.23887216089669128	-0.019798030979088131	0.66932439531750554	0	0	0.029579126530561606	0	0	0	0	0
0	32	7	-1	-1	0	184	0.58262088997314532	0.64019729174568529	0.82128405570983887	0.23866316573669358	0.30204466373657674	0.61495254867294324	0	0	-0.4911674313544741	0	0	0	0	0
0	33	6	-1	-1	0	76	0.64019729174568529	0.65612852382889364	0.82128405570983887	0.1810867639641536	-0.16367769809683114	0.55183365105925242	0	0	0.29660695353146643	0	0	0	0	0
0	34	5	-1	-1	0	32	0.65612852382889364	0.72356617311950366	0.82128405570983887	0.16515553188094528	-0.33019170264017433	0.5167274183260987	0	0	0.63900557804694513	0	0	0	0	0
0	35	4	-1	-1	0	10	0.72356617311950366	0.72407534641970694	0.82128405570983887	0.097717882590335203	-0.025694594612258235	0.35595572554222088	0	0	0.072184804930776503	0	0	0	0	0
0	36	3	-1	-1	0	2	0.72407534641970694	0.78540777719125654	0.82128405570983887	0.097208709290131923	-0.27321201533148148	0.34395948860252612	0	0	0.79431451779834661	0	0	0	0	0
0	37	2	-1	-1	0	0	0.78540777719125654	0.81916079535187114	0.82128405570983887	0.035876278518582293	0.20151760355356826	0.20775925381779511	0	0	-0.96995729360050176	0	0	0	0	0
0	38	1	-1	-1	0	0	0.81916079535187114	0.81921558186590826	0.82128405570983887	0.0021232603579677553	-0.0079698921704145827	0.049615484595683809	0	0	0.16063316191227742	0	0	0	0	0
0	39	0	-1	-1	0	0	0.81921558186590826	0.82128405570983887	0.82128405570983887	0.0020684738439306102	-0.0496268075202266	0.049626807539980493	0	0	0.99999999960195118	0	0	0	0	0
