phase	depth	coefficient	nodes
0	0	-1	1
0	1	38	7
0	2	37	37
0	3	36	147
0	4	35	545
0	5	34	1789
0	6	33	5295
0	7	32	14293
0	8	31	33175
0	9	30	77747
0	10	29	161229
0	11	28	295519
0	12	27	481211
0	13	26	762207
0	14	25	1015485
0	15	24	1236009
0	16	23	1249405
0	17	22	1027543
0	18	21	764970
0	19	20	547043
0	20	19	412918
0	21	18	312605
0	22	17	232527
0	23	16	151076
0	24	15	99388
0	25	14	56850
0	26	13	30776
0	27	12	16039
0	28	11	7430
0	29	10	3542
0	30	9	1810
0	31	8	798
0	32	7	344
0	33	6	142
0	34	5	70
0	35	4	18
0	36	3	4
0	37	2	4
0	38	1	2
0	39	0	0
