phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	38	1	0	0	7	0	0	0.74532556533813477	0.74532556533813477	0	3.6361406402287906	-3	3	0	0.31214699149131775	0.31214699149131775	3729053	0	0
0	2	37	3	1	0	37	0	0	0.74532556533813477	0.74532556533813477	0	3.3396422175504266	-3	3	0	0.32956013083457947	0.32956013083457947	1635339	0	0
0	3	36	16	3	0	147	0	0	0.74532556533813477	0.74532556533813477	0	2.912844936504289	-2	2	0	0.39791005849838257	0.39791005849838257	788227	0	0
0	4	35	51	16	0	545	0	0	0.74532556533813477	0.74532556533813477	0	3.1394992846017282	-3	3	0	0.34330007433891296	0.34330007433891296	348907	0	0
0	5	34	138	51	0	1789	0	0	0.74532556533813477	0.74532556533813477	0	3.0526070330519834	-3	3	0	0.34985703229904175	0.34985703229904175	154678	0	0
0	6	33	399	138	0	5295	0	0	0.74532556533813477	0.74532556533813477	0	2.9948173517358825	-2	2	0	0.39190641045570374	0.39190641045570374	67645	0	0
0	7	32	1110	399	0	14293	0	0	0.74532556533813477	0.74532556533813477	0	2.9626068012568694	-2	2	0	0.39422434568405151	0.39422434568405151	28610	0	0
0	8	31	2927	1110	0	33175	0	0	0.74532556533813477	0.74532556533813477	0	2.7199333440424103	-2	2	0	0.41351780295372009	0.41351780295372009	13134	0	0
0	9	30	7096	2927	0	77747	0	0	0.74532556533813477	0.74532556533813477	0	2.8848981801468012	-2	2	0	0.40003782510757446	0.40003782510757446	5254	0	0
0	10	29	14787	7096	0	161229	0	0	0.74532556533813477	0.74532556533813477	0	2.6824961094772366	-2	2	0	0.41681402921676636	0.41681402921676636	2190	0	0
0	11	28	30780	14787	0	295519	0	0	0.74532556533813477	0.74532556533813477	0	2.4782283564515954	-2	2	0	0.43658187985420227	0.43658187985420227	1008	0	0
0	12	27	72539	30780	0	481211	0	0	0.74532556533813477	0.74532556533813477	0	2.2968236802846391	-2	2	0	0.45708808302879333	0.45708808302879333	501	0	0
0	13	26	153814	72539	0	762207	0	0	0.74532556533813477	0.74532556533813477	0	2.3266268064577065	-2	2	0	0.45350232720375061	0.45350232720375061	229	0	0
