phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	38	1	0	0	7	0	0	0.91626572608947754	0.91626572608947754	0	3.395341059685113	-3	3	0	0.32604107260704041	0.32604107260704041	3301452	0	0
0	2	37	3	1	0	39	0	0	0.91626572608947754	0.91626572608947754	0	3.5408390091345403	-3	3	0	0.3174041211605072	0.3174041211605072	1184222	0	0
0	3	36	16	3	0	173	0	0	0.91626572608947754	0.91626572608947754	0	3.3065012167318204	-3	3	0	0.33171382546424866	0.33171382546424866	440241	0	0
0	4	35	49	16	0	641	0	0	0.91626572608947754	0.91626572608947754	0	3.2640793207893233	-3	3	0	0.33453834056854248	0.33453834056854248	164738	0	0
0	5	34	156	49	0	2301	0	0	0.91626572608947754	0.91626572608947754	0	3.3785110623911105	-3	3	0	0.32709139585494995	0.32709139585494995	60362	0	0
0	6	33	479	156	0	7579	0	0	0.91626572608947754	0.91626572608947754	0	3.3432962404723416	-3	3	0	0.32932546734809875	0.32932546734809875	22181	0	0
0	7	32	1376	479	0	20871	0	0	0.91626572608947754	0.91626572608947754	0	3.0112887396632204	-3	3	0	0.35311391949653625	0.35311391949653625	8666	0	0
0	8	31	4245	1376	0	52129	0	0	0.91626572608947754	0.91626572608947754	0	2.9158252463509524	-2	2	0	0.39768564701080322	0.39768564701080322	3446	0	0
0	9	30	13082	4245	0	130205	0	0	0.91626572608947754	0.91626572608947754	0	3.063672193005246	-3	3	0	0.34900039434432983	0.34900039434432983	1331	0	0
0	10	29	30019	13082	0	272381	0	0	0.91626572608947754	0.91626572608947754	0	2.7104935478881726	-2	2	0	0.41434016823768616	0.41434016823768616	552	0	0
0	11	28	74506	30019	0	533095	0	0	0.91626572608947754	0.91626572608947754	0	2.6500876090060461	-2	2	0	0.41974428296089172	0.41974428296089172	231	0	0
0	12	27	136029	74506	0	979483	0	0	0.91626572608947754	0.91626572608947754	0	2.6564695179903217	-2	2	0	0.41916149854660034	0.41916149854660034	97	0	0
