phase	depth	coefficient	nodes
0	0	-1	1
0	1	38	7
0	2	37	31
0	3	36	141
0	4	35	529
0	5	34	1883
0	6	33	5953
0	7	32	16783
0	8	31	38609
0	9	30	81101
0	10	29	155119
0	11	28	261759
0	12	27	425987
0	13	26	628975
0	14	25	897977
0	15	24	1118573
0	16	23	1213932
0	17	22	1101293
0	18	21	868166
0	19	20	663190
0	20	19	468090
0	21	18	349637
0	22	17	236372
0	23	16	168404
0	24	15	116728
0	25	14	79672
0	26	13	48664
0	27	12	26014
0	28	11	13706
0	29	10	7024
0	30	9	3286
0	31	8	1434
0	32	7	574
0	33	6	250
0	34	5	90
0	35	4	24
0	36	3	16
0	37	2	6
0	38	1	0
0	39	0	0
