phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	38	1	0	0	7	0	0	0.81061768531799316	0.81061768531799316	0	3.201043498087941	-3	3	0	0.33888179063796997	0.33888179063796997	4147830	0	0
0	2	37	3	1	0	31	0	0	0.81061768531799316	0.81061768531799316	0	3.1208099235738636	-3	3	0	0.34467810392379761	0.34467810392379761	1918833	0	0
0	3	36	16	3	0	141	0	0	0.81061768531799316	0.81061768531799316	0	3.3749187246759935	-3	3	0	0.32731702923774719	0.32731702923774719	794063	0	0
0	4	35	47	16	0	529	0	0	0.81061768531799316	0.81061768531799316	0	3.2129403497594078	-3	3	0	0.33804824948310852	0.33804824948310852	335867	0	0
0	5	34	134	47	0	1883	0	0	0.81061768531799316	0.81061768531799316	0	3.3683399992201308	-3	3	0	0.32773154973983765	0.32773154973983765	123630	0	0
0	6	33	417	134	0	5953	0	0	0.81061768531799316	0.81061768531799316	0	3.2102117988388446	-3	3	0	0.33823883533477783	0.33823883533477783	46671	0	0
0	7	32	1224	417	0	16783	0	0	0.81061768531799316	0.81061768531799316	0	3.0393896425520035	-3	3	0	0.35088884830474854	0.35088884830474854	18144	0	0
0	8	31	3273	1224	0	38609	0	0	0.81061768531799316	0.81061768531799316	0	2.6634610671453602	-2	2	0	0.418526291847229	0.418526291847229	8261	0	0
0	9	30	9188	3273	0	81101	0	0	0.81061768531799316	0.81061768531799316	0	2.5880687053131544	-2	2	0	0.4255598783493042	0.4255598783493042	3742	0	0
0	10	29	18863	9188	0	155119	0	0	0.81061768531799316	0.81061768531799316	0	2.475481100025374	-2	2	0	0.43687012791633606	0.43687012791633606	1745	0	0
0	11	28	41080	18863	0	261759	0	0	0.81061768531799316	0.81061768531799316	0	2.2837117508878833	-2	2	0	0.45869466662406921	0.45869466662406921	890	0	0
0	12	27	86305	41080	0	425987	0	0	0.81061768531799316	0.81061768531799316	0	2.3006311045470431	-2	2	0	0.45662489533424377	0.45662489533424377	431	0	0
