phase	depth	coefficient	nodes
0	0	-1	1
0	1	39	7
0	2	38	39
0	3	37	183
0	4	36	719
0	5	35	2521
0	6	34	8597
0	7	33	25981
0	8	32	67011
0	9	31	162967
0	10	30	352435
0	11	29	804417
0	12	28	1414685
0	13	27	1668450
0	14	26	1287584
0	15	25	969073
0	16	24	678365
0	17	23	481277
0	18	22	348078
0	19	21	241388
0	20	20	158634
0	21	19	111280
0	22	18	79288
0	23	17	54124
0	24	16	35394
0	25	15	21246
0	26	14	12584
0	27	13	7016
0	28	12	3454
0	29	11	1792
0	30	10	826
0	31	9	336
0	32	8	158
0	33	7	62
0	34	6	18
0	35	5	8
0	36	4	2
0	37	3	0
0	38	2	0
0	39	1	0
0	40	0	0
