phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	39	1	0	0	7	0	0	1.0270435810089111	1.0270435810089111	0	3.3890652681267959	-3	3	0	0.32643145322799683	0.32643145322799683	3304308	0	0
0	2	38	3	1	0	39	0	0	1.0270435810089111	1.0270435810089111	0	3.7434738802199772	-3	3	0	0.30656987428665161	0.30656987428665161	1144127	0	0
0	3	37	16	3	0	183	0	0	1.0270435810089111	1.0270435810089111	0	3.3856562840695847	-3	3	0	0.32664412260055542	0.32664412260055542	419851	0	0
0	4	36	55	16	0	719	0	0	1.0270435810089111	1.0270435810089111	0	3.3539657771648925	-3	3	0	0.3286433219909668	0.3286433219909668	154696	0	0
0	5	35	154	55	0	2521	0	0	1.0270435810089111	1.0270435810089111	0	3.3252961404775556	-3	3	0	0.33048683404922485	0.33048683404922485	57180	0	0
0	6	34	497	154	0	8597	0	0	1.0270435810089111	1.0270435810089111	0	3.4540780814942491	-3	3	0	0.3224608302116394	0.3224608302116394	20365	0	0
0	7	33	1498	497	0	25981	0	0	1.0270435810089111	1.0270435810089111	0	3.3150226221602428	-3	3	0	0.33115571737289429	0.33115571737289429	7462	0	0
0	8	32	4589	1498	0	67011	0	0	1.0270435810089111	1.0270435810089111	0	3.0118041836856673	-3	3	0	0.35307270288467407	0.35307270288467407	2913	0	0
0	9	31	13966	4589	0	162967	0	0	1.0270435810089111	1.0270435810089111	0	2.9854336402907768	-2	2	0	0.39257633686065674	0.39257633686065674	1144	0	0
0	10	30	40651	13966	0	352435	0	0	1.0270435810089111	1.0270435810089111	0	2.7998332286028749	-2	2	0	0.40678468346595764	0.40678468346595764	465	0	0
0	11	29	92726	40651	0	804417	0	0	1.0270435810089111	1.0270435810089111	0	3.0998128839412784	-3	3	0	0.34624704718589783	0.34624704718589783	174	0	0
