phase	depth	coefficient	nodes
0	0	-1	1
0	1	39	7
0	2	38	37
0	3	37	181
0	4	36	703
0	5	35	2353
0	6	34	6957
0	7	33	19493
0	8	32	47809
0	9	31	104791
0	10	30	228313
0	11	29	463029
0	12	28	890969
0	13	27	1298685
0	14	26	1352305
0	15	25	1086759
0	16	24	862341
0	17	23	685640
0	18	22	550218
0	19	21	416425
0	20	20	319774
0	21	19	227480
0	22	18	164934
0	23	17	108876
0	24	16	68018
0	25	15	43902
0	26	14	25662
0	27	13	13226
0	28	12	6092
0	29	11	2780
0	30	10	1270
0	31	9	552
0	32	8	234
0	33	7	104
0	34	6	52
0	35	5	22
0	36	4	4
0	37	3	2
0	38	2	0
0	39	1	0
0	40	0	0
