phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	39	1	0	0	7	0	0	0.85318374633789062	0.85318374633789062	0	3.5512589209142367	-3	3	0	0.31681457161903381	0.31681457161903381	3226840	0	0
0	2	38	3	1	0	37	0	0	0.85318374633789062	0.85318374633789062	0	3.248568058954334	-3	3	0	0.33559063076972961	0.33559063076972961	1224397	0	0
0	3	37	16	3	0	181	0	0	0.85318374633789062	0.85318374633789062	0	3.5137774784308209	-3	3	0	0.31895270943641663	0.31895270943641663	440672	0	0
0	4	36	51	16	0	703	0	0	0.85318374633789062	0.85318374633789062	0	3.3915325056493546	-3	3	0	0.32627779245376587	0.32627779245376587	161525	0	0
0	5	35	148	51	0	2353	0	0	0.85318374633789062	0.85318374633789062	0	3.2556209008524988	-3	3	0	0.33511084318161011	0.33511084318161011	60498	0	0
0	6	34	487	148	0	6957	0	0	0.85318374633789062	0.85318374633789062	0	3.0176792900049807	-3	3	0	0.35260412096977234	0.35260412096977234	23611	0	0
0	7	33	1462	487	0	19493	0	0	0.85318374633789062	0.85318374633789062	0	3.0528471510884772	-3	3	0	0.34983837604522705	0.34983837604522705	9153	0	0
0	8	32	4263	1462	0	47809	0	0	0.85318374633789062	0.85318374633789062	0	2.8630460138975931	-2	2	0	0.40173152089118958	0.40173152089118958	3677	0	0
0	9	31	11734	4263	0	104791	0	0	0.85318374633789062	0.85318374633789062	0	2.6834321657521802	-2	2	0	0.41673046350479126	0.41673046350479126	1532	0	0
0	10	30	22677	11734	0	228313	0	0	0.85318374633789062	0.85318374633789062	0	2.8234848989816554	-2	2	0	0.40486669540405273	0.40486669540405273	621	0	0
0	11	29	55700	22677	0	463029	0	0	0.85318374633789062	0.85318374633789062	0	2.747617880204114	-2	2	0	0.41113933920860291	0.41113933920860291	256	0	0
0	12	28	114903	55700	0	890969	0	0	0.85318374633789062	0.85318374633789062	0	2.7487382290482927	-2	2	0	0.41104415059089661	0.41104415059089661	105	0	0
0	13	27	242884	114903	0	1298685	0	0	0.85318374633789062	0.85318374633789062	0	2.4502456365391909	-2	2	0	0.43954840302467346	0.43954840302467346	46	0	0
0	14	26	505421	242884	0	1352305	0	0	0.85318374633789062	0.85318374633789062	0	2.3601200749861495	-2	2	0	0.44957879185676575	0.44957879185676575	21	0	0
0	15	25	1162156	505421	0	1086759	0	0	0.85318374633789062	0.85318374633789062	0	2.1718064986239689	-2	2	0	0.47317215800285339	0.47317215800285339	10	0	0
0	16	24	2404265	1162156	0	862341	0	0	0.85318374633789062	0.85318374633789062	0	2.1124897860456056	-2	2	0	0.48144331574440002	0.48144331574440002	5	0	0
0	17	23	5418290	2404265	0	685640	0	0	0.85318374633789062	0.85318374633789062	0	2.0643628943222612	-2	2	0	0.48848500847816467	0.48848500847816467	1	0	0
0	18	22	-1	5418290	0	550218	0	0	0.85318374633789062	0.85318374633789062	0	2.041754014076246	-2	2	0	0.49190071225166321	0.49190071225166321	0	0	0
0	19	21	-1	-1	0	416425	0	0	0.85318374633789062	0.85318374633789062	0	1.8972723974486891	-1	1	0	0	0	0	0	0
0	20	20	-1	-1	0	319774	0	0	0.85318374633789062	0.85318374633789062	0	1.9201168077357944	-1	1	0	0	0	0	0	0
0	21	19	-1	-1	0	227480	0	0	0.85318374633789062	0.85318374633789062	0	1.7999204485648153	-1	1	0	0	0	0	0	0
0	22	18	-1	-1	0	164934	0	0	0.85318374633789062	0.85318374633789062	0	1.8570306514027501	-1	1	0	0	0	0	0	0
0	23	17	-1	-1	0	108876	0	0	0.85318374633789062	0.85318374633789062	0	1.6976522803459146	-1	1	0	0	0	0	0	0
0	24	16	-1	-1	0	68018	0	0	0.85318374633789062	0.85318374633789062	0	1.6134970609520127	-1	1	0	0	0	0	0	0
0	25	15	-1	-1	0	43902	0	0	0.85318374633789062	0.85318374633789062	0	1.6955063032895001	-1	1	0	0	0	0	0	0
0	26	14	-1	-1	0	25662	0	0	0.85318374633789062	0.85318374633789062	0	1.5410574118631373	-1	1	0	0	0	0	0	0
0	27	13	-1	-1	0	13226	0	0	0.85318374633789062	0.85318374633789062	0	1.4097400558245232	-1	1	0	0	0	0	0	0
0	28	12	-1	-1	0	6092	0	0	0.85318374633789062	0.85318374633789062	0	1.2809989715336207	-1	1	0	0	0	0	0	0
0	29	11	-1	-1	0	2780	0	0	0.85318374633789062	0.85318374633789062	0	1.3071588408772032	-1	1	0	0	0	0	0	0
0	30	10	-1	-1	0	1270	0	0	0.85318374633789062	0.85318374633789062	0	1.2529479122119103	-1	1	0	0	0	0	0	0
0	31	9	-1	-1	0	552	0	0	0.85318374633789062	0.85318374633789062	0	1.199121027157896	-1	1	0	0	0	0	0	0
0	32	8	-1	-1	0	234	0	0	0.85318374633789062	0.85318374633789062	0	1.2023936308140015	-1	1	0	0	0	0	0	0
0	33	7	-1	-1	0	104	0	0	0.85318374633789062	0.85318374633789062	0	1.2046943397146292	-1	1	0	0	0	0	0	0
0	34	6	-1	-1	0	52	0	0	0.85318374633789062	0.85318374633789062	0	1.12933767399598	-1	1	0	0	0	0	0	0
0	35	5	-1	-1	0	22	0	0	0.85318374633789062	0.85318374633789062	0	1.1872971502323961	-1	1	0	0	0	0	0	0
0	36	4	-1	-1	0	4	0	0	0.85318374633789062	0.85318374633789062	0	1.1435930014412148	-1	1	0	0	0	0	0	0
