phase	depth	coefficient	nodes
0	0	-1	1
0	1	39	7
0	2	38	47
0	3	37	219
0	4	36	887
0	5	35	3395
0	6	34	10847
0	7	33	31485
0	8	32	84035
0	9	31	208681
0	10	30	509989
0	11	29	1130723
0	12	28	1863709
0	13	27	1627635
0	14	26	1146499
0	15	25	758573
0	16	24	546115
0	17	23	409786
0	18	22	276267
0	19	21	170912
0	20	20	100188
0	21	19	55446
0	22	18	30288
0	23	17	16410
0	24	16	8926
0	25	15	4684
0	26	14	2352
0	27	13	1078
0	28	12	502
0	29	11	196
0	30	10	82
0	31	9	22
0	32	8	10
0	33	7	4
0	34	6	0
0	35	5	0
0	36	4	0
0	37	3	0
0	38	2	0
0	39	1	0
0	40	0	0
