phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	39	1	0	0	7	0	0	0.91868042945861816	0.91868042945861816	0	3.8687750437691375	-3	3	0	0.30048021674156189	0.30048021674156189	3051825	0	0
0	2	38	11	1	1	47	0	0.061708805818399513	0.91868042945861816	0.91868042945861816	0	3.8584125483925513	-3	3	0.25917394458418108	0.17922729253768921	0.17922729253768921	610083	0	0
0	3	37	33	11	0	219	0.061708805818399513	0.074892462918740091	0.91868042945861816	0.85697162364021862	0.42473901101682793	3.4244231389626343	-2	3	-0.1240322804107365	0.27933338284492493	0.27933338284492493	175690	0	0
0	4	36	105	33	0	887	0.074892462918740091	0.078599132815746764	0.91868042945861816	0.84378796653987809	0.21395126469275519	3.2280448955659118	-3	3	-0.066278899957879056	0.30618560314178467	0.30618560314178467	60059	0	0
0	5	35	364	105	0	3395	0.078599132815746764	0.084128818728734248	0.91868042945861816	0.84008129664287134	-0.27678938088560573	3.4116137032361613	-3	3	0.081131512815489942	0.28779986500740051	0.28779986500740051	18198	0	0
0	6	34	1217	364	0	10847	0.084128818728734248	0.093239133987926867	0.91868042945861816	0.83455161072988393	0.32845216181181225	3.1436343209774087	-2	3	-0.10448166939139759	0.30636590719223022	0.30636590719223022	5726	0	0
0	7	33	3944	1217	0	31485	0.093239133987926867	0.09875838231052575	0.91868042945861816	0.82544129547069134	0.24675998282083703	3.0177124890545008	-2	3	-0.081770541002781541	0.32740402221679688	0.32740402221679688	1968	0	0
0	8	32	12656	3944	0	84035	0.09875838231052575	0.099031141737291828	0.91868042945861816	0.81992204714809236	-0.053390439862639673	2.9272505518861558	-2	2	0.018239108308729456	0.38797417283058167	0.38797417283058167	764	0	0
0	9	31	40992	12656	0	208681	0.099031141737291828	0.10607919229663502	0.91868042945861816	0.81964928772132628	-0.26736809566548442	2.8832952086935992	-3	2	0.092730045421407628	0.33151799440383911	0.33151799440383911	262	0	0
0	10	30	98409	40992	0	509989	0.10607919229663502	0.11206488918953628	0.91868042945861816	0.81260123716198318	-0.25546131147507062	2.9765043151175976	-3	2	0.085825950319503463	0.32819941639900208	0.32819941639900208	86	0	0
0	11	29	292242	98409	0	1130723	0.11206488918953628	0.12006104406860192	0.91868042945861816	0.80661554026908189	-0.28493368533427166	2.8617816129869	-3	2	0.099565139436646452	0.32940909266471863	0.32940909266471863	28	0	0
0	12	28	916129	292242	0	1863709	0.12006104406860192	0.14150244220988248	0.91868042945861816	0.7986193853900162	0.46272876897253523	2.8240336989844272	-2	3	-0.16385384109932566	0.29577094316482544	0.29577094316482544	8	0	0
0	13	27	2317346	916129	0	1627635	0.14150244220988248	0.14753668221222183	0.91868042945861816	0.77717798724873566	0.21629078046989808	2.4546352325601384	-2	2	-0.088115243194122519	0.39255577325820923	0.39255577325820923	3	0	0
0	14	26	6077862	2317346	0	1146499	0.14753668221222183	0.15784352082095321	0.91868042945861816	0.77114374724639634	0.28878480675828666	2.4979243052726976	-2	2	-0.11560991105643616	0.3725966215133667	0.3725966215133667	1	0	0
0	15	25	-1	6077862	0	758573	0.15784352082095321	0.16169360240329866	0.91868042945861816	0.76083690863766495	0.15756642553123618	2.2150039396628296	-2	2	-0.071135957236816982	0.42974787950515747	0.42974787950515747	0	0	0
0	16	24	-1	-1	0	546115	0.16169360240329866	0.1658294780614602	0.91868042945861816	0.7569868270553195	-0.15453185312546247	2.0906360595061049	-2	1	0.073916190444916235	0	0	0	0	0
0	17	23	-1	-1	0	409786	0.1658294780614602	0.20502930102315794	0.91868042945861816	0.75285095139715796	-0.47892795007980676	2.0988559461761569	-2	1	0.22818524108448285	0	0	0	0	0
0	18	22	-1	-1	0	276267	0.20502930102315794	0.2135325916727642	0.91868042945861816	0.71365112843546019	0.20245219438776588	1.8546926673060606	-1	2	-0.10915673413527185	0	0	0	0	0
0	19	21	-1	-1	0	170912	0.2135325916727642	0.23004151047124302	0.91868042945861816	0.70514783778585399	-0.25980238446991627	1.6979461254800998	-1	1	0.15300979257893493	0	0	0	0	0
0	20	20	-1	-1	0	100188	0.23004151047124302	0.25911521487471861	0.91868042945861816	0.68863891898737517	-0.32700782820852448	1.5914893832453345	-1	1	0.20547283045124459	0	0	0	0	0
0	21	19	-1	-1	0	55446	0.25911521487471861	0.26678746787432112	0.91868042945861816	0.65956521458389961	0.15792382481153505	1.4642494427234662	-1	1	-0.10785308855422938	0	0	0	0	0
0	22	18	-1	-1	0	30288	0.26678746787432112	0.27031408656564926	0.91868042945861816	0.6518929615842971	-0.10614680230339812	1.4431644061928408	-1	1	0.073551427576723644	0	0	0	0	0
0	23	17	-1	-1	0	16410	0.27031408656564926	0.29886454877815188	0.91868042945861816	0.64836634289296891	-0.30181422078416542	1.4382797244615591	-1	1	0.20984389590637798	0	0	0	0	0
0	24	16	-1	-1	0	8926	0.29886454877815188	0.30107592800043081	0.91868042945861816	0.61981588068046622	0.085693659608548078	1.4346581420491689	-1	1	-0.0597310656085282	0	0	0	0	0
0	25	15	-1	-1	0	4684	0.30107592800043081	0.31845288745243078	0.91868042945861816	0.61760450145818735	0.23297222353527086	1.3889047948353299	-1	1	-0.16773807996169549	0	0	0	0	0
0	26	14	-1	-1	0	2352	0.31845288745243078	0.32075447193063544	0.91868042945861816	0.60022754200618733	0.082471129518842196	1.3318227906721896	-1	1	-0.061923500706289818	0	0	0	0	0
0	27	13	-1	-1	0	1078	0.32075447193063544	0.39683837396251392	0.91868042945861816	0.59792595752798272	0.45589616082476303	1.2780364786661746	0	1	-0.35671607848045145	0	0	0	0	0
0	28	12	-1	-1	0	502	0.39683837396251392	0.40897909099610047	0.91868042945861816	0.52184205549610418	-0.16409288371944378	1.0758138146647809	-1	0	0.1525290728587404	0	0	0	0	0
0	29	11	-1	-1	0	196	0.40897909099610047	0.41982059828154705	0.91868042945861816	0.50970133846251764	-0.14143706615070184	0.96978685497929296	-1	0	0.14584345562584658	0	0	0	0	0
0	30	10	-1	-1	0	82	0.41982059828154705	0.42002535233822225	0.91868042945861816	0.49885983117707111	0.019882666588291659	0.98140358509558512	0	1	-0.020259419152575401	0	0	0	0	0
0	31	9	-1	-1	0	22	0.42002535233822225	0.42646115223925596	0.91868042945861816	0.49865507712039592	-0.11884720023365848	1.0461351906317851	-1	0	0.11360596727645107	0	0	0	0	0
