phase	depth	coefficient	nodes
0	0	-1	1
0	1	39	7
0	2	38	41
0	3	37	183
0	4	36	725
0	5	35	2935
0	6	34	9333
0	7	33	26819
0	8	32	69165
0	9	31	163397
0	10	30	337529
0	11	29	641239
0	12	28	1133297
0	13	27	1426351
0	14	26	1375746
0	15	25	1033314
0	16	24	812147
0	17	23	616727
0	18	22	468798
0	19	21	307700
0	20	20	218620
0	21	19	148212
0	22	18	91978
0	23	17	54578
0	24	16	29876
0	25	15	16388
0	26	14	8058
0	27	13	3878
0	28	12	1868
0	29	11	704
0	30	10	258
0	31	9	82
0	32	8	30
0	33	7	14
0	34	6	2
0	35	5	0
0	36	4	0
0	37	3	0
0	38	2	0
0	39	1	0
0	40	0	0
