phase	depth	coefficient	nodes
0	0	-1	1
0	1	39	7
0	2	38	43
0	3	37	209
0	4	36	809
0	5	35	2755
0	6	34	8909
0	7	33	25741
0	8	32	73695
0	9	31	184779
0	10	30	409709
0	11	29	797139
0	12	28	1407323
0	13	27	1651912
0	14	26	1311762
0	15	25	981136
0	16	24	679503
0	17	23	472194
0	18	22	326964
0	19	21	230548
0	20	20	164216
0	21	19	105058
0	22	18	67038
0	23	17	42424
0	24	16	25602
0	25	15	14858
0	26	14	7928
0	27	13	4312
0	28	12	1960
0	29	11	888
0	30	10	386
0	31	9	126
0	32	8	44
0	33	7	18
0	34	6	2
0	35	5	2
0	36	4	0
0	37	3	0
0	38	2	0
0	39	1	0
0	40	0	0
