phase	depth	coefficient	nodes
0	0	-1	1
0	1	39	7
0	2	38	39
0	3	37	175
0	4	36	747
0	5	35	2625
0	6	34	8833
0	7	33	25617
0	8	32	65045
0	9	31	157075
0	10	30	374289
0	11	29	803323
0	12	28	1373783
0	13	27	1565719
0	14	26	1222371
0	15	25	876461
0	16	24	711016
0	17	23	577232
0	18	22	444680
0	19	21	313110
0	20	20	201868
0	21	19	118590
0	22	18	72288
0	23	17	41952
0	24	16	22680
0	25	15	11110
0	26	14	5162
0	27	13	2360
0	28	12	1100
0	29	11	410
0	30	10	188
0	31	9	86
0	32	8	32
0	33	7	12
0	34	6	6
0	35	5	4
0	36	4	4
0	37	3	0
0	38	2	0
0	39	1	0
0	40	0	0
