phase	depth	coefficient	nodes
0	0	-1	1
0	1	39	7
0	2	38	37
0	3	37	161
0	4	36	631
0	5	35	2307
0	6	34	8053
0	7	33	23541
0	8	32	58583
0	9	31	135557
0	10	30	278923
0	11	29	578507
0	12	28	1101925
0	13	27	1560603
0	14	26	1402209
0	15	25	1021158
0	16	24	795642
0	17	23	590688
0	18	22	464778
0	19	21	335459
0	20	20	238886
0	21	19	158546
0	22	18	103234
0	23	17	62388
0	24	16	37912
0	25	15	20918
0	26	14	10444
0	27	13	5136
0	28	12	2264
0	29	11	960
0	30	10	358
0	31	9	128
0	32	8	40
0	33	7	12
0	34	6	2
0	35	5	2
0	36	4	0
0	37	3	0
0	38	2	0
0	39	1	0
0	40	0	0
