phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	39	1	0	0	9	0	0	0.83586263656616211	0.83586263656616211	0	4.0854360910171783	-4	4	0	0.26882940530776978	0.26882940530776978	2939321	0	0
0	2	38	3	1	0	51	0	0	0.83586263656616211	0.83586263656616211	0	3.8339609509100607	-3	3	0	0.30212906002998352	0.30212906002998352	999694	0	0
0	3	37	19	3	0	239	0	0	0.83586263656616211	0.83586263656616211	0	3.68892074199674	-3	3	0	0.30936083197593689	0.30936083197593689	347203	0	0
0	4	36	67	19	0	1053	0	0	0.83586263656616211	0.83586263656616211	0	3.7096385407257015	-3	3	0	0.3082905113697052	0.3082905113697052	118614	0	0
0	5	35	218	67	0	4231	0	0	0.83586263656616211	0.83586263656616211	0	3.7380120098022176	-3	3	0	0.30684536695480347	0.30684536695480347	39244	0	0
0	6	34	701	218	0	15531	0	0	0.83586263656616211	0.83586263656616211	0	3.7434364122274157	-3	3	0	0.30657175183296204	0.30657175183296204	12400	0	0
0	7	33	2190	701	0	47117	0	0	0.83586263656616211	0.83586263656616211	0	3.3250950994942925	-3	3	0	0.33049988746643066	0.33049988746643066	4525	0	0
0	8	32	7025	2190	0	128389	0	0	0.83586263656616211	0.83586263656616211	0	3.1653303399652266	-3	3	0	0.3414236307144165	0.3414236307144165	1709	0	0
0	9	31	19864	7025	0	324747	0	0	0.83586263656616211	0.83586263656616211	0	3.1151087002904987	-3	3	0	0.34510189294815063	0.34510189294815063	650	0	0
0	10	30	62845	19864	0	700851	0	0	0.83586263656616211	0.83586263656616211	0	2.7952277884971464	-2	2	0	0.40716204047203064	0.40716204047203064	265	0	0
0	11	29	180210	62845	0	1316795	0	0	0.83586263656616211	0.83586263656616211	0	2.6290521950353072	-2	2	0	0.42168557643890381	0.42168557643890381	112	0	0
0	12	28	376425	180210	0	1784996	0	0	0.83586263656616211	0.83586263656616211	0	2.467247736831141	-2	2	0	0.43773794174194336	0.43773794174194336	49	0	0
0	13	27	995298	376425	0	1590056	0	0	0.83586263656616211	0.83586263656616211	0	2.3966301574567939	-2	2	0	0.44542527198791504	0.44542527198791504	22	0	0
0	14	26	1957397	995298	0	1073416	0	0	0.83586263656616211	0.83586263656616211	0	2.2539661935836373	-2	2	0	0.46240693330764771	0.46240693330764771	11	0	0
0	15	25	3267874	1957397	0	682281	0	0	0.83586263656616211	0.83586263656616211	0	2.0764956675714048	-2	2	0	0.48668080568313599	0.48668080568313599	5	0	0
0	16	24	5795337	3267874	0	485289	0	0	0.83586263656616211	0.83586263656616211	0	2.1822837696080049	-2	2	0	0.47175592184066772	0.47175592184066772	1	0	0
0	17	23	-1	5795337	0	317036	0	0	0.83586263656616211	0.83586263656616211	0	1.982948035227623	-1	1	0	0.57821547985076904	0.57821547985076904	0	0	0
0	18	22	-1	-1	0	208222	0	0	0.83586263656616211	0.83586263656616211	0	1.9675764062018231	-1	1	0	0	0	0	0	0
0	19	21	-1	-1	0	127380	0	0	0.83586263656616211	0.83586263656616211	0	1.8425782911648272	-1	1	0	0	0	0	0	0
0	20	20	-1	-1	0	80232	0	0	0.83586263656616211	0.83586263656616211	0	1.881841697492848	-1	1	0	0	0	0	0	0
