phase	depth	coefficient	nodes
0	0	-1	1
0	1	39	7
0	2	38	41
0	3	37	159
0	4	36	621
0	5	35	2045
0	6	34	5719
0	7	33	15081
0	8	32	38743
0	9	31	92515
0	10	30	193467
0	11	29	394645
0	12	28	724579
0	13	27	1147971
0	14	26	1338621
0	15	25	1117121
0	16	24	894831
0	17	23	752381
0	18	22	614693
0	19	21	498167
0	20	20	370372
0	21	19	270192
0	22	18	198832
0	23	17	136028
0	24	16	84566
0	25	15	50420
0	26	14	29184
0	27	13	14982
0	28	12	7692
0	29	11	3560
0	30	10	1610
0	31	9	660
0	32	8	288
0	33	7	126
0	34	6	50
0	35	5	22
0	36	4	4
0	37	3	4
0	38	2	0
0	39	1	0
0	40	0	0
