phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	39	1	0	0	7	0	0	0.81474208831787109	0.81474208831787109	0	3.4610052197938108	-3	3	0	0.32204714417457581	0.32204714417457581	3486512	0	0
0	2	38	3	1	0	41	0	0	0.81474208831787109	0.81474208831787109	0	3.4711293595613015	-3	3	0	0.32144567370414734	0.32144567370414734	1264426	0	0
0	3	37	16	3	0	159	0	0	0.81474208831787109	0.81474208831787109	0	3.2115473812186761	-3	3	0	0.33814552426338196	0.33814552426338196	477361	0	0
0	4	36	51	16	0	621	0	0	0.81474208831787109	0.81474208831787109	0	3.1969048611083868	-3	3	0	0.33917328715324402	0.33917328715324402	180632	0	0
0	5	35	160	51	0	2045	0	0	0.81474208831787109	0.81474208831787109	0	3.1190789735885658	-3	3	0	0.34480658173561096	0.34480658173561096	69249	0	0
0	6	34	453	160	0	5719	0	0	0.81474208831787109	0.81474208831787109	0	2.8732819205683029	-2	2	0	0.4009348452091217	0.4009348452091217	27764	0	0
0	7	33	1332	453	0	15081	0	0	0.81474208831787109	0.81474208831787109	0	2.8962123197940564	-2	2	0	0.39917129278182983	0.39917129278182983	11083	0	0
0	8	32	2813	1332	0	38743	0	0	0.81474208831787109	0.81474208831787109	0	2.9884359536819818	-2	2	0	0.39236152172088623	0.39236152172088623	4348	0	0
0	9	31	8418	2813	0	92515	0	0	0.81474208831787109	0.81474208831787109	0	2.9360287655709865	-2	2	0	0.3961767852306366	0.3961767852306366	1723	0	0
0	10	30	20005	8418	0	193467	0	0	0.81474208831787109	0.81474208831787109	0	2.6970540556858329	-2	2	0	0.41552114486694336	0.41552114486694336	716	0	0
0	11	29	42684	20005	0	394645	0	0	0.81474208831787109	0.81474208831787109	0	2.7623496791632829	-2	2	0	0.40989363193511963	0.40989363193511963	293	0	0
0	12	28	81647	42684	0	724579	0	0	0.81474208831787109	0.81474208831787109	0	2.5971113402829826	-2	2	0	0.42469438910484314	0.42469438910484314	125	0	0
0	13	27	175994	81647	0	1147971	0	0	0.81474208831787109	0.81474208831787109	0	2.4729074618083313	-2	2	0	0.43714079260826111	0.43714079260826111	55	0	0
0	14	26	434587	175994	0	1338621	0	0	0.81474208831787109	0.81474208831787109	0	2.3276186551560634	-2	2	0	0.45338451862335205	0.45338451862335205	25	0	0
0	15	25	978168	434587	0	1117121	0	0	0.81474208831787109	0.81474208831787109	0	2.1214873068637385	-2	2	0	0.48016035556793213	0.48016035556793213	12	0	0
0	16	24	2117117	978168	0	894831	0	0	0.81474208831787109	0.81474208831787109	0	2.1371291196602922	-2	2	0	0.47795447707176208	0.47795447707176208	5	0	0
0	17	23	4817040	2117117	0	752381	0	0	0.81474208831787109	0.81474208831787109	0	2.1848756923206216	-2	2	0	0.47140753269195557	0.47140753269195557	1	0	0
0	18	22	-1	4817040	0	614693	0	0	0.81474208831787109	0.81474208831787109	0	2.0429073576506478	-2	2	0	0.49172475934028625	0.49172475934028625	0	0	0
0	19	21	-1	-1	0	498167	0	0	0.81474208831787109	0.81474208831787109	0	1.9787033154495084	-1	1	0	0	0	0	0	0
0	20	20	-1	-1	0	370372	0	0	0.81474208831787109	0.81474208831787109	0	1.8087954501881147	-1	1	0	0	0	0	0	0
0	21	19	-1	-1	0	270192	0	0	0.81474208831787109	0.81474208831787109	0	1.7898696420639713	-1	1	0	0	0	0	0	0
0	22	18	-1	-1	0	198832	0	0	0.81474208831787109	0.81474208831787109	0	1.825655269405527	-1	1	0	0	0	0	0	0
0	23	17	-1	-1	0	136028	0	0	0.81474208831787109	0.81474208831787109	0	1.7245308874175955	-1	1	0	0	0	0	0	0
0	24	16	-1	-1	0	84566	0	0	0.81474208831787109	0.81474208831787109	0	1.5682594685855367	-1	1	0	0	0	0	0	0
0	25	15	-1	-1	0	50420	0	0	0.81474208831787109	0.81474208831787109	0	1.5240352668481767	-1	1	0	0	0	0	0	0
0	26	14	-1	-1	0	29184	0	0	0.81474208831787109	0.81474208831787109	0	1.4943305924594064	-1	1	0	0	0	0	0	0
0	27	13	-1	-1	0	14982	0	0	0.81474208831787109	0.81474208831787109	0	1.3662195033276741	-1	1	0	0	0	0	0	0
0	28	12	-1	-1	0	7692	0	0	0.81474208831787109	0.81474208831787109	0	1.360223653267757	-1	1	0	0	0	0	0	0
0	29	11	-1	-1	0	3560	0	0	0.81474208831787109	0.81474208831787109	0	1.2676051863099926	-1	1	0	0	0	0	0	0
0	30	10	-1	-1	0	1610	0	0	0.81474208831787109	0.81474208831787109	0	1.2787596753826114	-1	1	0	0	0	0	0	0
0	31	9	-1	-1	0	660	0	0	0.81474208831787109	0.81474208831787109	0	1.2575595703127125	-1	1	0	0	0	0	0	0
0	32	8	-1	-1	0	288	0	0	0.81474208831787109	0.81474208831787109	0	1.1598042338547896	-1	1	0	0	0	0	0	0
0	33	7	-1	-1	0	126	0	0	0.81474208831787109	0.81474208831787109	0	1.2220213870686967	-1	1	0	0	0	0	0	0
0	34	6	-1	-1	0	50	0	0	0.81474208831787109	0.81474208831787109	0	1.0717694198109364	-1	1	0	0	0	0	0	0
0	35	5	-1	-1	0	22	0	0	0.81474208831787109	0.81474208831787109	0	1.0349757424323309	-1	1	0	0	0	0	0	0
0	36	4	-1	-1	0	4	0	0	0.81474208831787109	0.81474208831787109	0	1.0870773724500855	-1	1	0	0	0	0	0	0
0	37	3	-1	-1	0	4	0	0	0.81474208831787109	0.81474208831787109	0	1.1108870898344776	-1	1	0	0	0	0	0	0
0	38	2	-1	-1	0	0	0	0	0.81474208831787109	0.81474208831787109	0	1.0281442234365392	-1	1	0	0	0	0	0	0
0	39	1	-1	-1	0	0	0	0	0.81474208831787109	0.81474208831787109	0	0.96613234834549244	0	0	0	0	0	0	0	0
0	40	0	-1	-1	1	0	0	0.81474208831787109	0.81474208831787109	0.81474208831787109	0	1.000000000002	-1	1	0.99999999999800004	0	0	0	0	0
