phase	depth	coefficient	nodes
0	0	-1	1
0	1	39	7
0	2	38	35
0	3	37	165
0	4	36	623
0	5	35	2155
0	6	34	6965
0	7	33	19123
0	8	32	44203
0	9	31	95831
0	10	30	193331
0	11	29	380525
0	12	28	755985
0	13	27	1316525
0	14	26	1526395
0	15	25	1273126
0	16	24	970628
0	17	23	733098
0	18	22	538813
0	19	21	380114
0	20	20	266222
0	21	19	189216
0	22	18	128278
0	23	17	80116
0	24	16	48950
0	25	15	25760
0	26	14	12570
0	27	13	6132
0	28	12	2920
0	29	11	1336
0	30	10	550
0	31	9	186
0	32	8	74
0	33	7	28
0	34	6	6
0	35	5	4
0	36	4	4
0	37	3	0
0	38	2	0
0	39	1	0
0	40	0	0
