phase	depth	coefficient	nodes
0	0	-1	1
0	1	39	9
0	2	38	53
0	3	37	277
0	4	36	1281
0	5	35	5387
0	6	34	20087
0	7	33	65041
0	8	32	201133
0	9	31	568451
0	10	30	1508733
0	11	29	2184171
0	12	28	1432929
0	13	27	864198
0	14	26	624953
0	15	25	472279
0	16	24	334720
0	17	23	246233
0	18	22	176380
0	19	21	119656
0	20	20	73270
0	21	19	45214
0	22	18	26016
0	23	17	14184
0	24	16	7962
0	25	15	4046
0	26	14	1916
0	27	13	858
0	28	12	348
0	29	11	130
0	30	10	50
0	31	9	20
0	32	8	8
0	33	7	6
0	34	6	0
0	35	5	0
0	36	4	0
0	37	3	0
0	38	2	0
0	39	1	0
0	40	0	0
