phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	29	5	0
0	2	28	19	0
0	3	27	59	0
0	4	26	153	0
0	5	25	353	0
0	6	24	651	0
0	7	23	1171	0
0	8	22	1865	0
0	9	21	2643	0
0	10	20	3635	0
0	11	19	4533	0
0	12	18	5243	0
0	13	17	5789	0
0	14	16	5873	0
0	15	15	5536	0
0	16	14	4661	0
0	17	13	3604	0
0	18	12	2521	0
0	19	11	1699	0
0	20	10	1243	0
0	21	9	0	11
0	22	8	0	16
0	23	7	0	9
0	24	6	0	8
0	25	5	0	3
0	26	4	0	6
0	27	3	0	5
0	28	2	0	2
0	29	1	0	1
0	30	0	0	3
1	0	-1	1	0
1	1	29	5	0
1	2	28	17	0
1	3	27	51	0
1	4	26	125	0
1	5	25	251	0
1	6	24	441	0
1	7	23	729	0
1	8	22	1145	0
1	9	21	1519	0
1	10	20	1929	0
1	11	19	2441	0
1	12	18	2747	0
1	13	17	2731	0
1	14	16	2873	0
1	15	15	2815	0
1	16	14	2525	0
1	17	13	2041	0
1	18	12	1523	0
1	19	11	1057	0
1	20	10	687	0
1	21	9	0	25
1	22	8	0	27
1	23	7	0	27
1	24	6	0	16
1	25	5	0	14
1	26	4	0	7
1	27	3	0	3
1	28	2	0	2
1	29	1	0	1
1	30	0	0	2
