phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	30	1	0	0	5	0	0	1.0995783805847168	0	2.2529495643894974	-2	2	506	-0.99802371541501977	0
0	2	29	2	1	0	17	0	0	1.0995783805847168	0	2.2896870276399319	-2	2	438	-0.99771689497716898	0
0	3	28	3	2	0	53	0	0	1.0995783805847168	0	2.3510407006767702	-2	2	376	-0.99734042553191493	0
0	4	27	325	3	-1	137	0	0.20363920064094124	1.0995783805847168	0	2.3237125544168253	-2	2	28	-1	0
0	5	26	326	325	0	323	0.20363920064094124	0.21713977949104499	1.0995783805847168	-0.25408680657009675	2.0698800779038189	-2	1	15	-1	0
0	6	25	5415	326	-1	661	0.21713977949104499	0.30863177543939269	1.0995783805847168	-0.39779508352749188	1.870229893960891	-2	1	7	-1	0
0	7	24	5416	5415	-1	1147	0.30863177543939269	0.31537791142811916	1.0995783805847168	-0.84249172498170888	1.7054909244686709	-2	0	4	-1	0
0	8	23	5417	5416	-1	1840	0.31537791142811916	0.33153923619216957	1.0995783805847168	-1.2311946540772714	1.6104708107016179	-2	0	3	-1	0
0	9	22	5418	5417	0	2793	0.33153923619216957	0.33195002234414472	1.0995783805847168	0.039473133259934186	1.706810795186557	-1	1	2	-1	0
0	10	21	5419	5418	1	3865	0.33195002234414472	0.38875290678229452	1.0995783805847168	1.4395123140752406	1.6157023543495488	0	3	1	-1	0
0	11	20	51595	5419	1	4726	0.38875290678229452	0.51731971736000926	1.0995783805847168	0.385773302390438	1.4442612055053061	-1	1	0	0	0
0	12	19	51596	51595	0	5242	0.51731971736000926	0.52544912202570893	1.0995783805847168	-0.14543612334471254	1.2308380061016662	-1	1	0	0	0
0	13	18	51597	51596	-1	5242	0.52544912202570893	0.54287585479945866	1.0995783805847168	-0.80132075267436753	1.1403793909990767	-1	0	0	0	0
0	14	17	51598	51597	-1	5370	0.54287585479945866	0.57760529869296362	1.0995783805847168	-1.2946521412159353	1.1797019103405297	-2	-1	0	0	0
0	15	16	51599	51598	1	5066	0.57760529869296362	0.59548021613535973	1.0995783805847168	0.7977903241426646	1.0927076013277772	0	1	0	0	0
0	16	15	51600	51599	1	4438	0.59548021613535973	0.59860345532778814	1.0995783805847168	0.92135722770250328	0.99911102157217346	0	1	0	0	0
0	17	14	51601	51600	-1	3578	0.59860345532778814	0.59967497547777548	1.0995783805847168	-1.0429459407825854	0.92860270476049445	-1	-1	0	0	0
0	18	13	51602	51601	-1	2763	0.59967497547777548	0.60100032980388085	1.0995783805847168	-0.95319816078034303	0.90894994522062433	-1	-1	0	0	0
0	19	12	51603	51602	-1	2031	0.60100032980388085	0.64127523128354191	1.0995783805847168	-1.240989890721871	0.84790687977664658	-2	-1	0	0	0
0	20	11	51604	51603	-1	1371	0.64127523128354191	0.65077005328956317	1.0995783805847168	-1.1142475304446606	0.79374285355415064	-1	-1	0	0	0
0	21	10	51605	51604	1	946	0.65077005328956317	0.65230176919720939	1.0995783805847168	0.95466987826720007	0.77594015480723366	1	1	0	0	0
0	22	9	-1	-1	0	0	0.65230176919720939	0.67525631469073533	1.0995783805847168	-0.17275924292338385	0.76259690379982792	0	0	0	0	0
0	23	8	-1	-1	2	0	0.67525631469073533	0.68978843671017998	1.0995783805847168	1.8624048344192465	0.74350940369296725	2	2	0	0	0
0	24	7	-1	-1	3	0	0.68978843671017998	0.69199937622786067	1.0995783805847168	3.0536410980946505	0.73028079057796247	3	3	0	0	0
0	25	6	-1	-1	0	0	0.69199937622786067	0.69289208975845784	1.0995783805847168	-0.033583239928382913	0.71758348600283728	0	0	0	0	0
0	26	5	-1	-1	0	0	0.69289208975845784	0.76961462242362733	1.0995783805847168	-0.28533584746946533	0.6569383836984023	0	0	0	0	0
0	27	4	-1	-1	2	0	0.76961462242362733	0.78477179795936136	1.0995783805847168	2.1226406904124087	0.57221411611077777	2	2	0	0	0
0	28	3	-1	-1	-3	0	0.78477179795936136	1.0402775497723487	1.0995783805847168	-2.4706990319303608	0.58752215770626348	-3	-2	0	0	0
0	29	2	-1	-1	-3	0	1.0402775497723487	1.0456742280699725	1.0995783805847168	-3.0711532207830103	0.23586401516747715	-3	-3	0	0	0
0	30	1	-1	-1	-1	0	1.0456742280699725	1.0485347817586899	1.0995783805847168	-0.94897614767081406	0.2214926425346031	-1	-1	0	0	0
0	31	0	-1	-1	0	0	1.0485347817586899	1.0486516952514648	1.0995783805847168	0.010311437681890977	0.21545548127030639	0	0	0	0	0
