phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	30	1	0	0	5	0	0	1.1572451591491699	0	2.2213364205744428	-2	2	989	-0.99887507947097676	0.87594564577901601
0	2	29	2	1	0	19	0	0	1.1572451591491699	0	2.6501866073394003	-2	2	703	-0.99841743043640974	0.87594564577901601
0	3	28	3	2	0	61	0	0	1.1572451591491699	0	2.4195143016588214	-2	2	593	-0.99812386778549078	0.87594564577901601
0	4	27	4	3	0	173	0	0	1.1572451591491699	0	2.3668469609625804	-2	2	549	-0.99797350381930061	0.87594564577901601
0	5	26	5	4	0	457	0	0	1.1572451591491699	0	2.3009118185920765	-2	2	509	-0.99781425068132812	0.87594564577901601
0	6	25	6	5	0	1055	0	0	1.1572451591491699	0	2.2609629133218361	-2	2	471	-0.99763790572568156	0.87594564577901601
0	7	24	7	6	0	2155	0	0	1.1572451591491699	0	2.1022831031474269	-2	2	361	-1	0
0	8	23	8	7	0	3705	0	0	1.1572451591491699	0	2.0320199906938696	-2	2	285	-1	0
0	9	22	9	8	0	5441	0	0	1.1572451591491699	0	1.9046459020514621	-1	1	221	-1	0
0	10	21	10	9	0	7759	0	0	1.1572451591491699	0	1.9664599431686987	-1	1	155	-1	0
0	11	20	11	10	0	9601	0	0	1.1572451591491699	0	1.7894326192374206	-1	1	117	-1	0
0	12	19	12	11	0	11927	0	0	1.1572451591491699	0	1.9016718016385412	-1	1	65	-1	0
0	13	18	13	12	0	13076	0	0	1.1572451591491699	0	1.754955298806308	-1	1	43	-1	0
0	14	17	14	13	0	14117	0	0	1.1572451591491699	0	1.7738403140576922	-1	1	20	-1	0
0	15	16	15	14	0	13046	0	0	1.1572451591491699	0	1.5854484245123439	-1	1	11	-1	0
0	16	15	16	15	0	11329	0	0	1.1572451591491699	0	1.5294456365047666	-1	1	6	-1	0
0	17	14	125242	16	-1	10024	0	0.45623109764878095	1.1572451591491699	0	1.5926496269318486	-1	1	1	-1	0
0	18	13	125867	125242	1	8520	0.45623109764878095	0.61694863376004572	1.1572451591491699	0.42844744510382565	1.1936799584990121	0	1	0	0	0
0	19	12	125868	125867	1	6342	0.61694863376004572	0.64488679435953389	1.1572451591491699	0.78677417275198558	0.93768504716346024	0	1	0	0	0
0	20	11	125869	125868	0	4307	0.64488679435953389	0.71064646516888774	1.1572451591491699	-0.30275316718225537	0.84507605318670287	-1	0	0	0	0
0	21	10	125870	125869	0	2759	0.71064646516888774	0.72728176909303943	1.1572451591491699	-0.14725415063131497	0.76297603934540159	0	0	0	0	0
0	22	9	-1	-1	-1	0	0.72728176909303943	0.79310216508916298	1.1572451591491699	-0.73004085248034689	0.6899752966387166	-1	-1	0	0	0
0	23	8	-1	-1	0	0	0.79310216508916298	0.87510618317658972	1.1572451591491699	-0.28855401515159301	0.6080587393568373	0	0	0	0	0
0	24	7	-1	-1	0	0	0.87510618317658972	0.94998362125356706	1.1572451591491699	0.28345441743089073	0.55022368871843097	0	0	0	0	0
0	25	6	-1	-1	-1	0	0.94998362125356706	0.97142105981930993	1.1572451591491699	-0.8521860689832661	0.45960873997661461	-1	-1	0	0	0
0	26	5	-1	-1	1	0	0.97142105981930993	1.0164564076752436	1.1572451591491699	1.2068929497796701	0.4202618317130743	1	1	0	0	0
0	27	4	-1	-1	0	0	1.0164564076752436	1.035217796561593	1.1572451591491699	0.1284431069904638	0.35185383458958813	0	0	0	0	0
0	28	3	-1	-1	1	0	1.035217796561593	1.1244368837162333	1.1572451591491699	0.71664332130678243	0.33138525311036127	1	1	0	0	0
0	29	2	-1	-1	0	0	1.1244368837162333	1.132790267186971	1.1572451591491699	0.083072719777658108	0.16463376920217801	0	0	0	0	0
0	30	1	-1	-1	0	0	1.132790267186971	1.1475540330690455	1.1572451591491699	0.10616492615040853	0.13663606977976805	0	0	0	0	0
0	31	0	-1	-1	0	0	1.1475540330690455	1.1479272842407227	1.1572451591491699	-0.016152794906836437	0.082306514545419637	0	0	0	0	0
