phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	31	1	0	0	5	0	0	1.1406412124633789	0	2.5309766619647909	-2	2	1652	-0.99690139896365126	0.95345332332034227
0	2	30	67	1	-1	19	0	0.21251406219347382	1.1406412124633789	0	2.3167581157839869	-2	2	113	-1	0
0	3	29	750	67	1	65	0.21251406219347382	0.29377485330772968	1.1406412124633789	0.38309801805036564	2.0848719246207015	-1	2	53	-1	0
0	4	28	751	750	0	179	0.29377485330772968	0.29377606924568728	1.1406412124633789	-0.0024069166571262929	2.0086893880742709	-2	2	44	-1	0
0	5	27	752	751	0	417	0.29377606924568728	0.31238503059314332	1.1406412124633789	-0.27787582181424569	1.8745491075122995	-2	1	32	-1	0
0	6	26	753	752	0	847	0.31238503059314332	0.3160036179930138	1.1406412124633789	-0.12156182772092582	1.8391198460478775	-1	1	25	-1	0
0	7	25	754	753	0	1505	0.3160036179930138	0.3565477580309962	1.1406412124633789	0.39011137532508572	1.7593657473438786	-1	2	14	-1	0
0	8	24	755	754	0	2357	0.3565477580309962	0.3679909130845852	1.1406412124633789	-0.19247424214920461	1.5932489509522203	-1	1	13	-1	0
0	9	23	756	755	0	3568	0.3679909130845852	0.36799290171883664	1.1406412124633789	0.0024801545011985584	1.5459404722220189	-1	1	13	-1	0
0	10	22	757	756	0	5082	0.36799290171883664	0.40120001162475416	1.1406412124633789	0.32343986822126353	1.560159289514772	-1	1	9	-1	0
0	11	21	758	757	0	6342	0.40120001162475416	0.40332666042835802	1.1406412124633789	-0.073143173957996771	1.3638849486610014	-1	1	9	-1	0
0	12	20	759	758	0	7280	0.40332666042835802	0.45083101022815064	1.1406412124633789	-0.33072579368058708	1.3029500922986177	-1	0	5	-1	0
0	13	19	760	759	0	8405	0.45083101022815064	0.49369576697232909	1.1406412124633789	-0.33458998050760219	1.3422319009388723	-1	1	3	-1	0
0	14	18	761	760	1	8559	0.49369576697232909	0.52909499710237218	1.1406412124633789	0.73029754377214362	1.1529801304051119	0	1	2	-1	0
0	15	17	762	761	0	9034	0.52909499710237218	0.53710804295897574	1.1406412124633789	-0.13992697638779014	1.2224110783796542	-1	1	2	-1	0
0	16	16	763	762	0	8555	0.53710804295897574	0.58845866554090565	1.1406412124633789	0.32137005180149231	1.1017501486883765	0	1	1	-1	0
0	17	15	94835	763	0	8034	0.58845866554090565	0.71138118179596688	1.1406412124633789	0.50360586455520084	1.0673734496993599	0	1	0	0	0
0	18	14	94836	94835	0	7413	0.71138118179596688	0.74022022192250791	1.1406412124633789	0.24801606088183523	0.95686271227616082	0	1	0	0	0
0	19	13	94837	94836	0	6050	0.74022022192250791	0.79587222979660643	1.1406412124633789	0.3102620644478678	0.83223634235278732	0	1	0	0	0
0	20	12	94838	94837	0	4735	0.79587222979660643	0.80622109272130393	1.1406412124633789	-0.1316522836678081	0.759882028277168	0	0	0	0	0
0	21	11	94839	94838	-1	3737	0.80622109272130393	0.80625092079159211	1.1406412124633789	-0.99291340709148301	0.75036247190372274	-1	-1	0	0	0
0	22	10	94840	94839	0	2671	0.80625092079159211	0.81234790215629549	1.1406412124633789	0.095520804824088645	0.70740376881273515	0	0	0	0	0
0	23	9	-1	-1	-1	0	0.81234790215629549	0.81662111610225663	1.1406412124633789	-1.0803496036028046	0.70426715818147423	-1	-1	0	0	0
0	24	8	-1	-1	0	0	0.81662111610225663	0.82225492726940019	1.1406412124633789	-0.089407750733237368	0.67804731347116243	0	0	0	0	0
0	25	7	-1	-1	1	0	0.82225492726940019	0.82532792721808201	1.1406412124633789	0.94034968075784364	0.60716771639985145	1	1	0	0	0
0	26	6	-1	-1	0	0	0.82532792721808201	0.82797602043794616	1.1406412124633789	0.052363283922503175	0.57138834197542987	0	0	0	0	0
0	27	5	-1	-1	1	0	0.82797602043794616	0.8379969582315665	1.1406412124633789	0.89964196579344224	0.56058016936590527	1	1	0	0	0
0	28	4	-1	-1	-1	0	0.8379969582315665	0.90703928463420125	1.1406412124633789	-0.75693491176054606	0.50889840920302132	-1	-1	0	0	0
0	29	3	-1	-1	-1	0	0.90703928463420125	0.95366655143482293	1.1406412124633789	-0.78275051817747054	0.48626944485084744	-1	-1	0	0	0
0	30	2	-1	-1	-1	0	0.95366655143482293	0.95371357733193829	1.1406412124633789	-1.006337718896295	0.3996279039477858	-1	-1	0	0	0
0	31	1	-1	-1	0	0	0.95371357733193829	0.95375483667460637	1.1406412124633789	0.0055323444772983057	0.37237868811844926	0	0	0	0	0
0	32	0	-1	-1	2	0	0.95375483667460637	0.97572994232177734	1.1406412124633789	2.1347258621382306	0.3928930138844331	2	2	0	0	0
