phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	31	1	0	0	5	0	0	1.2784585952758789	0	2.3040293702486787	-2	2	40	-1	0
0	2	30	417	1	1	21	0	0.19560478262895536	1.2784585952758789	0	2.5565459271330129	-2	2	11	-1	0
0	3	29	418	417	0	69	0.19560478262895536	0.21052591229869921	1.2784585952758789	0.27026803848265019	2.3023892688266283	-2	2	4	-1	0
0	4	28	419	418	0	166	0.21052591229869921	0.24629242637143647	1.2784585952758789	-0.44796932588631355	2.4478336969756498	-2	1	1	-1	0
0	5	27	17925	419	-1	318	0.24629242637143647	0.36856360579852765	1.2784585952758789	-0.21990992806763193	2.2665093246404235	-2	2	0	0	0
0	6	26	17926	17925	-1	471	0.36856360579852765	0.38052650285016276	1.2784585952758789	-0.78176540396680805	1.9032728527064029	-2	1	0	0	0
0	7	25	17927	17926	1	711	0.38052650285016276	0.42550377763516362	1.2784585952758789	0.56996194854696314	1.9214631653361722	-1	2	0	0	0
0	8	24	17928	17927	-1	966	0.42550377763516362	0.42800910649797358	1.2784585952758789	-1.094264976187828	1.739326062316779	-2	0	0	0	0
0	9	23	17929	17928	0	1209	0.42800910649797358	0.42926248391829347	1.2784585952758789	-0.064641312759425529	1.6838115979750252	-1	1	0	0	0
0	10	22	17930	17929	0	1494	0.42926248391829347	0.43442650134666611	1.2784585952758789	0.13304295422353699	1.7060903580527964	-1	1	0	0	0
0	11	21	17931	17930	1	1744	0.43442650134666611	0.43520990395997067	1.2784585952758789	1.0505078280013525	1.6578516477769214	0	2	0	0	0
0	12	20	17932	17931	0	1766	0.43520990395997067	0.46719176979355936	1.2784585952758789	0.29709110766687358	1.5255118740625511	-1	1	0	0	0
0	13	19	17933	17932	0	1783	0.46719176979355936	0.46725348915446729	1.2784585952758789	0.01280790206998359	1.4684161306976322	-1	1	0	0	0
0	14	18	17934	17933	-1	1689	0.46725348915446729	0.46727764919437553	1.2784585952758789	-0.99229971399618822	1.4109881623065073	-2	0	0	0	0
0	15	17	17935	17934	0	1457	0.46727764919437553	0.47436782249696141	1.2784585952758789	-0.13005810476212745	1.3911304800336433	-1	1	0	0	0
0	16	16	17936	17935	1	1178	0.47436782249696141	0.52847025906862166	1.2784585952758789	0.65396510210937953	1.3340251795205327	0	1	0	0	0
0	17	15	17937	17936	-1	928	0.52847025906862166	0.53090950616578814	1.2784585952758789	-0.93030742968576063	1.2220411723389366	-2	0	0	0	0
0	18	14	17938	17937	0	733	0.53090950616578814	0.55037450774914032	1.2784585952758789	-0.20434453912081313	1.2663555929410575	-1	1	0	0	0
0	19	13	17939	17938	1	525	0.55037450774914032	0.58037714946423202	1.2784585952758789	1.2418213500162061	1.1912575420713574	1	2	0	0	0
0	20	12	17940	17939	1	375	0.58037714946423202	0.58311382421292812	1.2784585952758789	0.93097502555806977	1.1024215890852871	0	2	0	0	0
0	21	11	17941	17940	1	259	0.58311382421292812	0.63193135031686709	1.2784585952758789	0.74338647499225841	0.96848245051471393	0	1	0	0	0
0	22	10	17942	17941	0	160	0.63193135031686709	0.68616349497414086	1.2784585952758789	0.2741787395954528	0.94667040747203235	0	1	0	0	0
0	23	9	-1	-1	0	0	0.68616349497414086	0.75288243000252963	1.2784585952758789	-0.27426058076759746	0.81716152190968949	-1	0	0	0	0
0	24	8	-1	-1	0	0	0.75288243000252963	0.7569729334485259	1.2784585952758789	0.073133807579422241	0.82898683619550306	0	0	0	0	0
0	25	7	-1	-1	1	0	0.7569729334485259	0.76392513245926852	1.2784585952758789	0.91265939726345691	0.75644311246893381	1	1	0	0	0
0	26	6	-1	-1	0	0	0.76392513245926852	0.83942138103074826	1.2784585952758789	-0.29408137177372506	0.7677355335593713	-1	0	0	0	0
0	27	5	-1	-1	1	0	0.83942138103074826	0.85075621361336407	1.2784585952758789	0.89025683767919994	0.68299980955735928	1	1	0	0	0
0	28	4	-1	-1	0	0	0.85075621361336407	0.97019601760119889	1.2784585952758789	0.32813699734320873	0.62094265322831066	0	0	0	0	0
0	29	3	-1	-1	0	0	0.97019601760119889	1.0008441232288012	1.2784585952758789	-0.15604203284400336	0.4948803210523916	0	0	0	0	0
0	30	2	-1	-1	0	0	1.0008441232288012	1.0056898737802185	1.2784585952758789	0.065106341168925372	0.49279218715691875	0	0	0	0	0
0	31	1	-1	-1	0	0	1.0056898737802185	1.1390387293191115	1.2784585952758789	0.320898404629264	0.4589550952227886	0	0	0	0	0
0	32	0	-1	-1	1	0	1.1390387293191115	1.1432161331176758	1.2784585952758789	1.0553984199404745	0.32004163457018486	1	1	0	0	0
