phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	31	5	0
0	2	30	21	0
0	3	29	63	0
0	4	28	225	0
0	5	27	585	0
0	6	26	1259	0
0	7	25	2631	0
0	8	24	4716	0
0	9	23	7663	0
0	10	22	10950	0
0	11	21	13782	0
0	12	20	16727	0
0	13	19	19171	0
0	14	18	21497	0
0	15	17	20965	0
0	16	16	20796	0
0	17	15	18121	0
0	18	14	15976	0
0	19	13	12424	0
0	20	12	8765	0
0	21	11	6084	0
0	22	10	3897	0
0	23	9	0	110
0	24	8	0	112
0	25	7	0	94
0	26	6	0	61
0	27	5	0	37
0	28	4	0	13
0	29	3	0	11
0	30	2	0	3
0	31	1	0	1
0	32	0	0	6
1	0	-1	1	0
1	1	31	5	0
1	2	30	21	0
1	3	29	57	0
1	4	28	147	0
1	5	27	357	0
1	6	26	807	0
1	7	25	1697	0
1	8	24	3201	0
1	9	23	5013	0
1	10	22	7439	0
1	11	21	9693	0
1	12	20	12609	0
1	13	19	15033	0
1	14	18	15675	0
1	15	17	15957	0
1	16	16	15043	0
1	17	15	12513	0
1	18	14	9515	0
1	19	13	6827	0
1	20	12	4911	0
1	21	11	3123	0
1	22	10	2039	0
1	23	9	0	17
1	24	8	0	28
1	25	7	0	16
1	26	6	0	11
1	27	5	0	9
1	28	4	0	4
1	29	3	0	2
1	30	2	0	0
1	31	1	0	0
1	32	0	0	2
