phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	31	1	0	0	5	0	0	1.2188858985900879	0	2.4936277230825485	-2	2	129	-0.97306347230373225	2.4217402053109658
0	2	30	2	1	0	19	0	0	1.2188858985900879	0	2.719024084874897	-2	2	117	-0.97030075151437145	2.4217402053109658
0	3	29	3	2	0	53	0	0	1.2188858985900879	0	2.6525658112145245	-2	2	105	-0.96690655168744255	2.4217402053109658
0	4	28	724	3	-1	109	0	0.2018255419265774	1.2188858985900879	0	2.4574996389296428	-2	2	3	-1	0
0	5	27	725	724	0	189	0.2018255419265774	0.24686504454103494	1.2188858985900879	0.46663333533546902	2.2174423161557075	-1	2	1	-1	0
0	6	26	15426	725	-1	308	0.24686504454103494	0.32965730645887414	1.2188858985900879	-0.39239564907978886	2.0819188262701456	-2	1	0	0	0
0	7	25	15427	15426	1	448	0.32965730645887414	0.35948172562051867	1.2188858985900879	0.64536251321960325	1.9364458301872098	-1	2	0	0	0
0	8	24	15428	15427	0	670	0.35948172562051867	0.38396811648766965	1.2188858985900879	0.315564582515443	1.86949623269587	-1	2	0	0	0
0	9	23	15429	15428	0	923	0.38396811648766965	0.38489095128832435	1.2188858985900879	0.058807833943134026	1.7688664996887395	-1	1	0	0	0
0	10	22	15430	15429	0	1154	0.38489095128832435	0.38906627201298755	1.2188858985900879	0.11861101244477873	1.6763388192716857	-1	1	0	0	0
0	11	21	15431	15430	1	1358	0.38906627201298755	0.40781155985639	1.2188858985900879	0.74824270361107537	1.6750503287957981	0	2	0	0	0
0	12	20	15432	15431	1	1485	0.40781155985639	0.41241751340023619	1.2188858985900879	1.1138961157751677	1.5114001723577606	0	2	0	0	0
0	13	19	15433	15432	-1	1512	0.41241751340023619	0.41509762271294864	1.2188858985900879	-1.0863908838003977	1.4985986484582712	-2	0	0	0	0
0	14	18	15434	15433	1	1468	0.41509762271294864	0.41907391719613662	1.2188858985900879	0.90303210295716319	1.3786675080462643	0	2	0	0	0
0	15	17	15435	15434	-1	1228	0.41907391719613662	0.45867720774804249	1.2188858985900879	-0.71451481434923014	1.2829563885111031	-1	0	0	0	0
0	16	16	15436	15435	0	1058	0.45867720774804249	0.46383753370187786	1.2188858985900879	0.10651964965765273	1.2928780941636568	-1	1	0	0	0
0	17	15	15437	15436	-2	903	0.46383753370187786	0.49506596602394526	1.2188858985900879	-1.7481611125329855	1.2383262703193483	-2	-1	0	0	0
0	18	14	15438	15437	0	791	0.49506596602394526	0.55751408656418455	1.2188858985900879	-0.35707187288983183	1.2156574743409487	-1	0	0	0	0
0	19	13	15439	15438	0	672	0.55751408656418455	0.56000756615790814	1.2188858985900879	0.068785062969239807	1.1202477248907849	-1	1	0	0	0
0	20	12	15440	15439	0	517	0.56000756615790814	0.56500098018993095	1.2188858985900879	0.088329679773031466	1.0146364972858972	0	1	0	0	0
0	21	11	15441	15440	0	360	0.56500098018993095	0.6751240983634712	1.2188858985900879	-0.38953496096423285	0.94920026805568647	-1	0	0	0	0
0	22	10	15442	15441	0	223	0.6751240983634712	0.67567288180100249	1.2188858985900879	0.025384325055361409	0.79904174648355208	0	0	0	0	0
0	23	9	-1	-1	1	0	0.67567288180100249	0.67579242725007904	1.2188858985900879	0.98849139284883358	0.77578490646421117	1	1	0	0	0
0	24	8	-1	-1	-1	0	0.67579242725007904	0.74326877693984772	1.2188858985900879	-0.73953148328876939	0.73895286584075992	-1	-1	0	0	0
0	25	7	-1	-1	0	0	0.74326877693984772	0.74544149040181973	1.2188858985900879	-0.04779350270581853	0.70712529503187427	0	0	0	0	0
0	26	6	-1	-1	0	0	0.74544149040181973	0.74958116402789765	1.2188858985900879	0.06424133043087811	0.68701460721223861	0	0	0	0	0
0	27	5	-1	-1	-1	0	0.74958116402789765	0.79158905184464046	1.2188858985900879	-1.2043877210328247	0.68315121687546332	-1	-1	0	0	0
0	28	4	-1	-1	0	0	0.79158905184464046	0.80126296718105483	1.2188858985900879	-0.10233368218720303	0.68011492288343856	0	0	0	0	0
0	29	3	-1	-1	0	0	0.80126296718105483	0.87914060070209321	1.2188858985900879	-0.25889489644409813	0.59952774337291148	0	0	0	0	0
0	30	2	-1	-1	0	0	0.87914060070209321	1.0608863151734911	1.2188858985900879	-0.3669516985764722	0.5017109042996063	0	0	0	0	0
0	31	1	-1	-1	1	0	1.0608863151734911	1.0911402564695067	1.2188858985900879	0.85158432159283803	0.33916948548679765	1	1	0	0	0
0	32	0	-1	-1	0	0	1.0911402564695067	1.1121864318847656	1.2188858985900879	0.11997670127340716	0.29558566676772985	0	0	0	0	0
