phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	32	1	0	0	5	0	0	1.2032837867736816	0	2.7890240989741275	-2	2	389	-0.99742930591259638	0
0	2	31	2	1	0	21	0	0	1.2032837867736816	0	2.65034486423141	-2	2	329	-0.99696048632218848	0
0	3	30	3	2	0	73	0	0	1.2032837867736816	0	2.4750981581877776	-2	2	275	-0.99636363636363634	0
0	4	29	4	3	0	231	0	0	1.2032837867736816	0	2.5997680732768611	-2	2	225	-0.99555555555555553	0
0	5	28	5	4	0	585	0	0	1.2032837867736816	0	2.4311087826624327	-2	2	183	-0.99453551912568305	0
0	6	27	6	5	0	1093	0	0	1.2032837867736816	0	2.2205761065162375	-2	2	147	-0.99319727891156462	0
0	7	26	7	6	0	1727	0	0	1.2032837867736816	0	2.0590390414896573	-2	2	117	-0.99145299145299148	0
0	8	25	10661	7	-1	2886	0	0.23234182806186338	1.2032837867736816	0	2.2757278871927809	-2	2	13	-1	0
0	9	24	25716	10661	-1	4096	0.23234182806186338	0.31707565192634324	1.2032837867736816	-0.46342267061605463	1.8163542373339336	-2	1	6	-1	0
0	10	23	25717	25716	0	5200	0.31707565192634324	0.32070354618577246	1.2032837867736816	-0.10713756926914353	1.6744891770154011	-1	1	3	-1	0
0	11	22	25718	25717	0	6107	0.32070354618577246	0.32774344894524227	1.2032837867736816	0.14254754416624615	1.5960757878650798	-1	1	1	-1	0
0	12	21	68088	25718	1	6383	0.32774344894524227	0.43858253386343016	1.2032837867736816	0.48012334621526354	1.4611403324954604	0	1	0	0	0
0	13	20	68089	68088	0	6558	0.43858253386343016	0.45019229144932388	1.2032837867736816	-0.17202110407914234	1.3960984849650042	-1	1	0	0	0
0	14	19	68090	68089	1	6102	0.45019229144932388	0.45162773335120071	1.2032837867736816	1.0552164799327661	1.2647357026605894	0	2	0	0	0
0	15	18	68091	68090	1	5713	0.45162773335120071	0.45428325745254888	1.2032837867736816	0.92127780673981596	1.3244380261543078	0	2	0	0	0
0	16	17	68092	68091	-1	4960	0.45428325745254888	0.50124361532310446	1.2032837867736816	-1.3162276822245893	1.2629182766312799	-2	-1	0	0	0
0	17	16	68093	68092	1	4263	0.50124361532310446	0.60929015760401284	1.2032837867736816	0.51086535183901571	1.2468206103517403	0	1	0	0	0
0	18	15	68094	68093	0	3706	0.60929015760401284	0.64949518489386204	1.2032837867736816	-0.31054170760146133	1.1936325397958691	-1	0	0	0	0
0	19	14	68095	68094	-1	2908	0.64949518489386204	0.67838601508934537	1.2032837867736816	-0.76005533898463673	1.050517004116138	-1	0	0	0	0
0	20	13	68096	68095	-1	2214	0.67838601508934537	0.70143712004096137	1.2032837867736816	-0.7924573199269519	0.99037327191929614	-1	0	0	0	0
0	21	12	68097	68096	0	1569	0.70143712004096137	0.73278546392393795	1.2032837867736816	0.22821266621495903	0.91309920724850058	0	1	0	0	0
0	22	11	68098	68097	0	1043	0.73278546392393795	0.84780020173679782	1.2032837867736816	-0.4063523526833927	0.8218736778468857	-1	0	0	0	0
0	23	10	68099	68098	-1	678	0.84780020173679782	0.89196986844722692	1.2032837867736816	-1.2457648550650839	0.69721623685263179	-1	-1	0	0	0
0	24	9	-1	-1	-1	0	0.89196986844722692	0.90081063444834875	1.2032837867736816	-1.101379213371853	0.6015936424848376	-1	-1	0	0	0
0	25	8	-1	-1	0	0	0.90081063444834875	0.92309554234400837	1.2032837867736816	0.14991457227834989	0.55230864940152602	0	0	0	0	0
0	26	7	-1	-1	2	0	0.92309554234400837	0.94256257959354539	1.2032837867736816	1.8581509965677552	0.5381474839061029	2	2	0	0	0
0	27	6	-1	-1	-1	0	0.94256257959354539	0.95494831957383752	1.2032837867736816	-0.89158118948459808	0.49742984442013549	-1	-1	0	0	0
0	28	5	-1	-1	0	0	0.95494831957383752	0.96320933532349873	1.2032837867736816	0.096875732273643309	0.53115056543502503	0	0	0	0	0
0	29	4	-1	-1	-1	0	0.96320933532349873	0.96336875861925009	1.2032837867736816	-1.0125801950677709	0.48818502840071837	-1	-1	0	0	0
0	30	3	-1	-1	1	0	0.96336875861925009	0.9652156371931484	1.2032837867736816	1.0392284562749889	0.44710628308590539	1	1	0	0	0
0	31	2	-1	-1	1	0	0.9652156371931484	1.0857232218756887	1.2032837867736816	0.70331439125388373	0.41700372819499015	1	1	0	0	0
0	32	1	-1	-1	1	0	1.0857232218756887	1.0925604647774607	1.2032837867736816	0.92661503902379039	0.30429680695073974	1	1	0	0	0
0	33	0	-1	-1	-3	0	1.0925604647774607	1.0976066589355469	1.2032837867736816	-2.9361152526319119	0.29925041209087383	-3	-3	0	0	0
