phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	32	5	0
0	2	31	21	0
0	3	30	73	0
0	4	29	195	0
0	5	28	483	0
0	6	27	1101	0
0	7	26	2069	0
0	8	25	3503	0
0	9	24	5727	0
0	10	23	8325	0
0	11	22	11421	0
0	12	21	13817	0
0	13	20	16999	0
0	14	19	18171	0
0	15	18	18123	0
0	16	17	17583	0
0	17	16	15105	0
0	18	15	12507	0
0	19	14	9823	0
0	20	13	7307	0
0	21	12	5319	0
0	22	11	3511	0
0	23	10	2377	0
0	24	9	0	25
0	25	8	0	21
0	26	7	0	9
0	27	6	0	6
0	28	5	0	2
0	29	4	0	0
0	30	3	0	0
0	31	2	0	0
0	32	1	0	0
0	33	0	0	2
