phase	depth	k	node	parent	z_k	tree_nodes_at_depth	parent_rho	rho	bound_r2	center	delta	legal_lo	legal_hi	N	Q	M
0	1	32	1	0	0	5	0	0	1.0020828247070312	0	2.4382957809602774	-2	2	486	-0.99141755359782546	1.4253329763114688
0	2	31	2	1	0	19	0	0	1.0020828247070312	0	2.3132393732698175	-2	2	456	-0.99085291896610339	1.4253329763114688
0	3	30	3	2	0	69	0	0	1.0020828247070312	0	2.4410933508518036	-2	2	428	-0.9902545117956616	1.4253329763114688
0	4	29	4	3	0	199	0	0	1.0020828247070312	0	2.6303524137113188	-2	2	276	-1	0
0	5	28	5	4	0	425	0	0	1.0020828247070312	0	2.5075625168241809	-2	2	178	-1	0
0	6	27	6	5	0	771	0	0	1.0020828247070312	0	2.2422398154452203	-2	2	125	-1	0
0	7	26	7	6	0	1252	0	0	1.0020828247070312	0	2.0685296242618048	-2	2	105	-1	0
0	8	25	8	7	0	1872	0	0	1.0020828247070312	0	1.9717689689354536	-1	1	89	-1	0
0	9	24	9	8	0	2769	0	0	1.0020828247070312	0	2.0104222397377103	-2	2	61	-1	0
0	10	23	10	9	0	3772	0	0	1.0020828247070312	0	1.9107993326521318	-1	1	39	-1	0
0	11	22	11	10	0	4830	0	0	1.0020828247070312	0	1.8116075219496943	-1	1	27	-1	0
0	12	21	12	11	0	5982	0	0	1.0020828247070312	0	1.7926368456458781	-1	1	13	-1	0
0	13	20	73489	12	-1	7017	0	0.33145992000905905	1.0020828247070312	0	1.7387466196504289	-1	1	3	-1	0
0	14	19	73490	73489	0	7809	0.33145992000905905	0.34640304457090609	1.0020828247070312	-0.20829213509185898	1.3953763393494405	-1	1	3	-1	0
0	15	18	73491	73490	0	8258	0.34640304457090609	0.34640645141746162	1.0020828247070312	0.0029984927988708715	1.3154447713237694	-1	1	3	-1	0
0	16	17	73492	73491	0	7978	0.34640645141746162	0.34877960630262045	1.0020828247070312	0.074598300552355071	1.2399685191754639	-1	1	3	-1	0
0	17	16	73493	73492	0	6767	0.34877960630262045	0.37788887046249753	1.0020828247070312	-0.23213878745769959	1.0997386712294606	-1	0	2	-1	0
0	18	15	73494	73493	0	5244	0.37788887046249753	0.40495973303578187	1.0020828247070312	0.20866503598202554	1.0019785316140917	0	1	2	-1	0
0	19	14	73495	73494	0	4328	0.40495973303578187	0.4105787428126928	1.0020828247070312	-0.1065028378697257	1.0979010980008246	-1	0	2	-1	0
0	20	13	73496	73495	0	3366	0.4105787428126928	0.41474566111658873	1.0020828247070312	-0.086107267435305168	1.025914545802074	-1	0	2	-1	0
0	21	12	73497	73496	0	2466	0.41474566111658873	0.50364157553700561	1.0020828247070312	-0.39339450612244414	1.0111861919073397	-1	0	1	-1	0
0	22	11	77731	73497	-1	1615	0.50364157553700561	0.71869263729949906	1.0020828247070312	-0.44980044614947029	0.83763810615241119	-1	0	0	0	0
0	23	10	77732	77731	0	951	0.71869263729949906	0.72233547322775671	1.0020828247070312	0.066751663468486933	0.58875511263539249	0	0	0	0	0
0	24	9	-1	-1	0	0	0.72233547322775671	0.72858858301800355	1.0020828247070312	-0.086508178904093014	0.57861825937627442	0	0	0	0	0
0	25	8	-1	-1	1	0	0.72858858301800355	0.75954231487860369	1.0020828247070312	0.82481551084044802	0.52073076464457846	1	1	0	0	0
0	26	7	-1	-1	-1	0	0.75954231487860369	0.77240313853855869	1.0020828247070312	-0.89524875464221521	0.45490105726485502	-1	-1	0	0	0
0	27	6	-1	-1	1	0	0.77240313853855869	0.77265904464567159	1.0020828247070312	1.0141993868698169	0.4253932161491335	1	1	0	0	0
0	28	5	-1	-1	0	0	0.77265904464567159	0.79814063684248715	1.0020828247070312	0.13123151072256872	0.39377130361707202	0	0	0	0	0
0	29	4	-1	-1	-1	0	0.79814063684248715	0.82365511561436522	1.0020828247070312	-0.86053192345038776	0.39430746404523631	-1	-1	0	0	0
0	30	3	-1	-1	-1	0	0.82365511561436522	0.8745066191512163	1.0020828247070312	-0.81527930297801032	0.34601490682201275	-1	-1	0	0	0
0	31	2	-1	-1	-1	0	0.8745066191512163	0.93092063394249791	1.0020828247070312	-0.80372584817462056	0.2951579231012969	-1	-1	0	0	0
0	32	1	-1	-1	-1	0	0.93092063394249791	0.94145367648792022	1.0020828247070312	-1.0815130529959502	0.21187264832904704	-1	-1	0	0	0
0	33	0	-1	-1	-1	0	0.94145367648792022	0.94153642654418945	1.0020828247070312	-1.0076364992741544	0.2067049607046276	-1	-1	0	0	0
