phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	32	5	0
0	2	31	19	0
0	3	30	55	0
0	4	29	151	0
0	5	28	340	0
0	6	27	669	0
0	7	26	1259	0
0	8	25	2016	0
0	9	24	3428	0
0	10	23	4864	0
0	11	22	6198	0
0	12	21	7503	0
0	13	20	8536	0
0	14	19	9094	0
0	15	18	8956	0
0	16	17	8380	0
0	17	16	7159	0
0	18	15	6081	0
0	19	14	4975	0
0	20	13	3753	0
0	21	12	2763	0
0	22	11	1731	0
0	23	10	1063	0
0	24	9	0	7
0	25	8	0	16
0	26	7	0	7
0	27	6	0	7
0	28	5	0	4
0	29	4	0	3
0	30	3	0	2
0	31	2	0	2
0	32	1	0	2
0	33	0	0	3
1	0	-1	1	0
1	1	32	5	0
1	2	31	17	0
1	3	30	47	0
1	4	29	137	0
1	5	28	327	0
1	6	27	673	0
1	7	26	1217	0
1	8	25	1945	0
1	9	24	3155	0
1	10	23	4497	0
1	11	22	5759	0
1	12	21	6883	0
1	13	20	7517	0
1	14	19	7755	0
1	15	18	7685	0
1	16	17	6961	0
1	17	16	6365	0
1	18	15	5349	0
1	19	14	4251	0
1	20	13	3183	0
1	21	12	2221	0
1	22	11	1353	0
1	23	10	721	0
1	24	9	0	11
1	25	8	0	18
1	26	7	0	12
1	27	6	0	2
1	28	5	0	3
1	29	4	0	0
1	30	3	0	0
1	31	2	0	0
1	32	1	0	0
1	33	0	0	2
