phase	depth	coefficient	tree_nodes	enumeration_nodes
0	0	-1	1	0
0	1	32	5	0
0	2	31	17	0
0	3	30	51	0
0	4	29	131	0
0	5	28	293	0
0	6	27	627	0
0	7	26	1145	0
0	8	25	2037	0
0	9	24	3235	0
0	10	23	4609	0
0	11	22	6251	0
0	12	21	7655	0
0	13	20	8889	0
0	14	19	9829	0
0	15	18	9995	0
0	16	17	9629	0
0	17	16	8795	0
0	18	15	6941	0
0	19	14	4889	0
0	20	13	3687	0
0	21	12	2803	0
0	22	11	2053	0
0	23	10	1235	0
0	24	9	0	15
0	25	8	0	4
0	26	7	0	0
0	27	6	0	1
0	28	5	0	0
0	29	4	0	0
0	30	3	0	0
0	31	2	0	0
0	32	1	0	0
0	33	0	0	3
