phase,elapsed_s,work_nodes,tree_nodes,enumeration_nodes,rollout_jobs,exact_candidates,active_rollouts,rate_work_nodes_s,search_radius_over_gh,best_over_gh,radius_drops
0,2.000166,40160,40031,129,118,0,0,20077.837726,1.1300148717,1.1300148717,0
0,4.000287,80084,79876,208,229,0,0,19960.789648,1.1300148717,1.1300148717,0
0,6.000392,120402,120177,225,363,0,0,20157.939168,1.1300148717,1.1300148717,0
0,8.000483,161342,161011,331,537,0,0,20469.067163,1.1300148717,1.1300148717,0
0,10.000607,201688,201321,367,686,0,0,20171.756109,1.1300148717,1.1300148717,0
0,12.000762,241875,241490,385,837,0,0,20091.943688,1.1300148717,1.1300148717,0
0,14.000914,282605,282204,401,1028,0,0,20363.445017,1.1300148717,1.1300148717,0
0,16.001080,323999,323520,479,1243,0,0,20695.284951,1.1300148717,1.1300148717,0
0,18.001250,364684,364163,521,1448,0,0,20340.766255,1.1300148717,1.1300148717,0
0,20.001360,406219,405664,555,1669,0,0,20766.359304,1.1300148717,1.1300148717,0
0,22.001477,447330,446737,593,1877,0,0,20554.302424,1.1300148717,1.1300148717,0
0,24.001578,489469,488811,658,2143,0,0,21068.434559,1.1300148717,1.1300148717,0
0,26.001662,531984,531264,720,2499,1,0,21256.609656,1.0591209593,1.0591209593,1
0,28.001750,573705,572950,755,2912,2,0,20859.575650,0.9980060495,0.9980060495,2
0,30.001846,615093,614318,775,3254,3,0,20693.010895,0.9980060495,0.9980060495,2
0,32.001961,657894,657038,856,3897,3,0,21399.269061,0.9980060495,0.9980060495,2
0,34.002073,696478,695616,862,4086,3,0,19290.921965,0.9980060495,0.9980060495,2
0,36.002228,733075,732179,896,4348,3,0,18297.081885,0.9980060495,0.9980060495,2
0,38.002379,768370,767472,898,4435,3,0,17646.166365,0.9980060495,0.9980060495,2
0,40.002470,806632,805724,908,4674,3,0,19130.133166,0.9980060495,0.9980060495,2
0,40.082091,808272,807364,908,4706,3,0,20165.430564,0.9980060495,0.9980060495,2
1,2.000169,39538,39530,8,87,1,0,19766.828685,0.9980060495,0.9980060495,0
1,4.000292,79200,79190,10,195,1,0,19829.776681,0.9980060495,0.9980060495,0
1,6.000387,118680,118670,10,309,1,0,19739.069688,0.9980060495,0.9980060495,0
1,8.000476,158544,158530,14,482,1,0,19931.106548,0.9980060495,0.9980060495,0
1,10.000563,197959,197941,18,705,1,0,19706.648781,0.9980060495,0.9980060495,0
1,12.000654,236785,236767,18,879,1,0,19412.118146,0.9980060495,0.9980060495,0
1,14.000747,275303,275285,18,1013,1,0,19258.102245,0.9980060495,0.9980060495,0
1,16.000855,313779,313761,18,1161,1,0,19236.964801,0.9980060495,0.9980060495,0
1,16.013939,313930,313912,18,1161,1,0,19603.592154,0.9980060495,0.9980060495,0
